Year,UNIT_MEASURE,Административно подручје,Value
1999,Број,Република Српска,457.0
2000,Број,Република Српска,393.0
2001,Број,Република Српска,382.0
2002,Број,Република Српска,334.0
2003,Број,Република Српска,325.0
2004,Број,Република Српска,307.0
2005,Број,Република Српска,263.0
2006,Број,Република Српска,278.0
2007,Број,Федерација БиХ,351.0
2007,Број,Република Српска,313.0
2008,Број,Федерација БиХ,348.0
2008,Број,Република Српска,310.0
2009,Број,Федерација БиХ,361.0
2009,Број,Република Српска,306.0
2010,Број,Федерација БиХ,368.0
2010,Број,Република Српска,305.0
2011,Број,Федерација БиХ,368.0
2011,Број,Република Српска,308.0
2012,Број,Федерација БиХ,366.0
2012,Број,Република Српска,319.0
2013,Број,Федерација БиХ,350.0
2013,Број,Република Српска,320.0
2014,Број,Федерација БиХ,358.0
2014,Број,Република Српска,326.0
2015,Број,Федерација БиХ,357.0
2015,Број,Република Српска,400.0
2016,Број,Федерација БиХ,377.0
2016,Број,Република Српска,400.0
2017,Број,Федерација БиХ,373.0
2017,Број,Република Српска,395.0
2018,Број,Федерација БиХ,362.0
2018,Број,Република Српска,420.0
2019,Број,Федерација БиХ,359.0
2018,Број,Брчко дистрикт БиХ,365.24
