Year,UNIT_MEASURE,Године,FORM_OF_VIOLENCE,Ентитет,Value
2013,_%,15+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,47.2
2013,_%,15+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,47.2
2013,_%,15+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,47.3
2013,_%,18-24,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,56.8
2013,_%,18-24,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,54.0
2013,_%,18-24,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,63.2
2013,_%,25-34,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,56.4
2013,_%,25-35,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,54.4
2013,_%,25-36,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,60.2
2013,_%,34-44,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,46.8
2013,_%,34-45,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,46.4
2013,_%,34-46,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,47.6
2013,_%,45-54,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,47.5
2013,_%,45-55,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,47.0
2013,_%,45-56,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,48.4
2013,_%,55-64,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,44.2
2013,_%,55-64,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,43.7
2013,_%,55-64,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,45.1
2013,_%,65+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,44.2
2013,_%,65+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,46.3
2013,_%,65+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,41.2
