Year,UNIT_MEASURE,Пол,Врста образовне установе,Value
2001,Број,Оба пола,Предшколски одгој и образовање,15004.0
2002,Број,Оба пола,Предшколски одгој и образовање,11692.0
2003,Број,Оба пола,Предшколски одгој и образовање,13548.0
2004,Број,Оба пола,Предшколски одгој и образовање,13135.0
2005,Број,Оба пола,Предшколски одгој и образовање,12989.0
2006,Број,Оба пола,Предшколски одгој и образовање,13384.0
2007,Број,Оба пола,Предшколски одгој и образовање,14517.0
2008,Број,Оба пола,Предшколски одгој и образовање,16260.0
2009,Број,Оба пола,Предшколски одгој и образовање,16789.0
2010,Број,Оба пола,Предшколски одгој и образовање,17028.0
2011,Број,Оба пола,Предшколски одгој и образовање,17293.0
2012,Број,Оба пола,Предшколски одгој и образовање,18817.0
2013,Број,Оба пола,Предшколски одгој и образовање,19880.0
2014,Број,Оба пола,Предшколски одгој и образовање,21490.0
2015,Број,Оба пола,Предшколски одгој и образовање,22901.0
2016,Број,Оба пола,Предшколски одгој и образовање,24918.0
2017,Број,Оба пола,Предшколски одгој и образовање,25889.0
2018,Број,Оба пола,Предшколски одгој и образовање,28511.0
2019,Број,Оба пола,Предшколски одгој и образовање,30587.0
2020,Број,Оба пола,Предшколски одгој и образовање,27698.0
2001,Број,M,Предшколски одгој и образовање,7873.0
2002,Број,M,Предшколски одгој и образовање,7671.0
2003,Број,M,Предшколски одгој и образовање,7147.0
2004,Број,M,Предшколски одгој и образовање,6897.0
2005,Број,M,Предшколски одгој и образовање,6877.0
2006,Број,M,Предшколски одгој и образовање,7085.0
2007,Број,M,Предшколски одгој и образовање,7619.0
2008,Број,M,Предшколски одгој и образовање,8497.0
2009,Број,M,Предшколски одгој и образовање,8706.0
2010,Број,M,Предшколски одгој и образовање,8962.0
2011,Број,M,Предшколски одгој и образовање,9082.0
2012,Број,M,Предшколски одгој и образовање,9859.0
2013,Број,M,Предшколски одгој и образовање,10497.0
2014,Број,M,Предшколски одгој и образовање,11200.0
2015,Број,M,Предшколски одгој и образовање,11918.0
2016,Број,M,Предшколски одгој и образовање,13086.0
2017,Број,M,Предшколски одгој и образовање,13436.0
2018,Број,M,Предшколски одгој и образовање,14855.0
2019,Број,M,Предшколски одгој и образовање,15857.0
2020,Број,M,Предшколски одгој и образовање,14477.0
2001,Број,Ж,Предшколски одгој и образовање,7131.0
2002,Број,Ж,Предшколски одгој и образовање,4021.0
2003,Број,Ж,Предшколски одгој и образовање,6401.0
2004,Број,Ж,Предшколски одгој и образовање,6238.0
2005,Број,Ж,Предшколски одгој и образовање,6112.0
2006,Број,Ж,Предшколски одгој и образовање,6299.0
2007,Број,Ж,Предшколски одгој и образовање,6898.0
2008,Број,Ж,Предшколски одгој и образовање,7763.0
2009,Број,Ж,Предшколски одгој и образовање,8083.0
2010,Број,Ж,Предшколски одгој и образовање,8066.0
2011,Број,Ж,Предшколски одгој и образовање,8211.0
2012,Број,Ж,Предшколски одгој и образовање,8958.0
2013,Број,Ж,Предшколски одгој и образовање,9383.0
2014,Број,Ж,Предшколски одгој и образовање,10290.0
2015,Број,Ж,Предшколски одгој и образовање,10983.0
2016,Број,Ж,Предшколски одгој и образовање,11832.0
2017,Број,Ж,Предшколски одгој и образовање,12453.0
2018,Број,Ж,Предшколски одгој и образовање,13656.0
2019,Број,Ж,Предшколски одгој и образовање,14730.0
2020,Број,Ж,Предшколски одгој и образовање,13221.0
1996,Број,Оба пола,Основна школа,390399.0
1997,Број,Оба пола,Основна школа,396103.0
1998,Број,Оба пола,Основна школа,402912.0
1999,Број,Оба пола,Основна школа,391533.0
2000,Број,Оба пола,Основна школа,369709.0
2001,Број,Оба пола,Основна школа,364481.0
2002,Број,Оба пола,Основна школа,360959.0
2003,Број,Оба пола,Основна школа,374915.0
2004,Број,Оба пола,Основна школа,380686.0
2005,Број,Оба пола,Основна школа,374707.0
2006,Број,Оба пола,Основна школа,367176.0
2007,Број,Оба пола,Основна школа,362474.0
2008,Број,Оба пола,Основна школа,359925.0
2009,Број,Оба пола,Основна школа,351118.0
