Year,UNIT_MEASURE,school_year,Пол,Value
2013,Број,2011/2012,Оба пола,2861
2013,Број,2012/2013,Оба пола,3156
2013,Број,2013/2014,Оба пола,3228
2013,Број,2014/2015,Оба пола,3534
2013,Број,2015/2016,Оба пола,3780
2013,Број,2016/2017,Оба пола,4453
2013,Број,2017/2018,Оба пола,4884
2013,Број,2018/2019,Оба пола,5663
2013,Број,2019/2020,Оба пола,6076
2013,Број,2020/2021,Оба пола,5751
2013,Број,2011/2012,M,1528
2013,Број,2012/2013,M,1616
2013,Број,2013/2014,M,1719
2013,Број,2014/2015,M,1808
2013,Број,2015/2016,M,2009
2013,Број,2016/2017,M,2403
2013,Број,2017/2018,M,2535
2013,Број,2018/2019,M,2948
2013,Број,2019/2020,M,3137
2013,Број,2020/2021,M,2854
2013,Број,2011/2012,Ж,1333
2013,Број,2012/2013,Ж,1540
2013,Број,2013/2014,Ж,1509
2013,Број,2014/2015,Ж,1726
2013,Број,2015/2016,Ж,1771
2013,Број,2016/2017,Ж,2050
2013,Број,2017/2018,Ж,2349
2013,Број,2018/2019,Ж,2715
2013,Број,2019/2020,Ж,2939
2013,Број,2020/2021,Ж,2897
