Year,UNIT_MEASURE,school_year_end,Пол,Value
2013,Број,2010/2011,Оба пола,50567
2013,Број,2011/2012,Оба пола,41834
2013,Број,2012/2013,Оба пола,33672
2013,Број,2013/2014,Оба пола,36993
2013,Број,2014/2015,Оба пола,36434
2013,Број,2015/2016,Оба пола,36126
2013,Број,2016/2017,Оба пола,35694
2013,Број,2017/2018,Оба пола,32144
2013,Број,2018/2019,Оба пола,31728
2013,Број,2019/2020,Оба пола,30463
2013,Број,2010/2011,M,25977
2013,Број,2011/2012,M,21761
2013,Број,2012/2013,M,17181
2013,Број,2013/2014,M,18730
2013,Број,2014/2015,M,18662
2013,Број,2015/2016,M,18441
2013,Број,2016/2017,M,18266
2013,Број,2017/2018,M,16159
2013,Број,2018/2019,M,16244
2013,Број,2019/2020,M,15564
2013,Број,2010/2011,Ж,24590
2013,Број,2011/2012,Ж,20073
2013,Број,2012/2013,Ж,16491
2013,Број,2013/2014,Ж,18263
2013,Број,2014/2015,Ж,17772
2013,Број,2015/2016,Ж,17685
2013,Број,2016/2017,Ж,17428
2013,Број,2017/2018,Ж,15985
2013,Број,2018/2019,Ж,15484
2013,Број,2019/2020,Ж,14899
