Year,UNIT_MEASURE,QUANTITY,Ентитет,Value
1997,Број,total_millions,BiH,"6,752"
1998,Број,total_millions,BiH,"7,650"
1999,Број,total_millions,BiH,"8,604"
2000,Број,total_millions,BiH,"9,611"
2001,Број,total_millions,BiH,"10,480"
2002,Број,total_millions,BiH,"11,651"
2003,Број,total_millions,BiH,"12,303"
2004,Број,total_millions,BiH,"13,497"
2005,Број,total_millions,BiH,"17,649"
2006,Број,total_millions,BiH,"20,056"
2007,Број,total_millions,BiH,"22,548"
2008,Број,total_millions,BiH,"25,519"
2009,Број,total_millions,BiH,"24,799"
2010,Број,total_millions,BiH,"25,365"
2011,Број,total_millions,BiH,"26,231"
2012,Број,total_millions,BiH,"26,223"
2013,Број,total_millions,BiH,"26,779"
2014,Број,total_millions,BiH,"27,358"
2015,Број,total_millions,BiH,"28,589"
2016,Број,total_millions,BiH,"29,905"
2017,Број,total_millions,BiH,"31,377"
2018,Број,total_millions,BiH,"33,445"
2019,Број,total_millions,BiH,"35,295"
1997,Број,total_millions,Федерација БиХ,4943.00
1998,Број,total_millions,Федерација БиХ,5606.00
1999,Број,total_millions,Федерација БиХ,6142.00
2000,Број,total_millions,Федерација БиХ,6723.00
2001,Број,total_millions,Федерација БиХ,7274.00
2002,Број,total_millions,Федерација БиХ,7943.00
2003,Број,total_millions,Федерација БиХ,8268.00
2004,Број,total_millions,Федерација БиХ,8897.00
2005,Број,total_millions,Федерација БиХ,11506.00
2006,Број,total_millions,Федерација БиХ,13036.00
2007,Број,total_millions,Федерација БиХ,14629.00
2008,Број,total_millions,Федерација БиХ,16426.00
2009,Број,total_millions,Федерација БиХ,15987.00
2010,Број,total_millions,Федерација БиХ,16461.00
2011,Број,total_millions,Федерација БиХ,16927.00
2012,Број,total_millions,Федерација БиХ,17013.00
2013,Број,total_millions,Федерација БиХ,17379.00
2014,Број,total_millions,Федерација БиХ,17827.00
2015,Број,total_millions,Федерација БиХ,18688.00
2016,Број,total_millions,Федерација БиХ,19540.00
2017,Број,total_millions,Федерација БиХ,20540.00
2018,Број,total_millions,Федерација БиХ,21984.00
2019,Број,total_millions,Федерација БиХ,23179.00
1997,Број,total_millions,Република Српска,1809.00
1998,Број,total_millions,Република Српска,2044.00
1999,Број,total_millions,Република Српска,2462.00
2000,Број,total_millions,Република Српска,2734.00
2001,Број,total_millions,Република Српска,2993.00
2002,Број,total_millions,Република Српска,3417.00
2003,Број,total_millions,Република Српска,3717.00
2004,Број,total_millions,Република Српска,4226.00
2005,Број,total_millions,Република Српска,5695.00
2006,Број,total_millions,Република Српска,6550.00
2007,Број,total_millions,Република Српска,7366.00
2008,Број,total_millions,Република Српска,8507.00
2009,Број,total_millions,Република Српска,8257.00
2010,Број,total_millions,Република Српска,8336.00
2011,Број,total_millions,Република Српска,8703.00
2012,Број,total_millions,Република Српска,8615.00
2013,Број,total_millions,Република Српска,8793.00
2014,Број,total_millions,Република Српска,8887.00
2015,Број,total_millions,Република Српска,9205.00
2016,Број,total_millions,Република Српска,9631.00
2017,Број,total_millions,Република Српска,10077.00
2018,Број,total_millions,Република Српска,10680.00
2019,Број,total_millions,Република Српска,11251.00
2000,Број,total_millions,Брчко Дистрикт БиХ,154.00
2001,Број,total_millions,Брчко Дистрикт БиХ,213.00
2002,Број,total_millions,Брчко Дистрикт БиХ,291.00
2003,Број,total_millions,Брчко Дистрикт БиХ,318.00
2004,Број,total_millions,Брчко Дистрикт БиХ,374.00
2005,Број,total_millions,Брчко Дистрикт БиХ,448.00
2006,Број,total_millions,Брчко Дистрикт БиХ,470.00
2007,Број,total_millions,Брчко Дистрикт БиХ,553.00
2008,Број,total_millions,Брчко Дистрикт БиХ,586.00
2009,Број,total_millions,Брчко Дистрикт БиХ,555.00
2010,Број,total_millions,Брчко Дистрикт БиХ,568.00
2011,Број,total_millions,Брчко Дистрикт БиХ,601.00
2012,Број,total_millions,Брчко Дистрикт БиХ,595.00
