Year,UNIT_MEASURE,Пол,Године,Value
1971,Број,Оба пола или без подјеле по полу, 0,78188
1971,Број,Мушкарци, 0,39855
1971,Број,Жене, 0,38333
1981,Број,Оба пола или без подјеле по полу, 0,71881
1981,Број,Мушкарци, 0,36601
1981,Број,Жене, 0,35280
1991,Број,Оба пола или без подјеле по полу, 0,62844
1991,Број,Мушкарци, 0,32274
1991,Број,Жене, 0,30570
2013,Број,Оба пола или без подјеле по полу, 0,32986
2013,Број,Мушкарци, 0,16903
2013,Број,Жене, 0,16083
1971,Број,Оба пола или без подјеле по полу,. 1,78436
1971,Број,Мушкарци, . 1,40140
1971,Број,Жене, . 1,38296
1981,Број,Оба пола или без подјеле по полу, . 1,69965
1981,Број,Мушкарци, . 1,35731
1981,Број,Жене, . 1,34234
1991,Број,Оба пола или без подјеле по полу, . 1,63482
1991,Број,Мушкарци,. 1,32468
1991,Број,Жене,. 1,31014
2013,Број,Оба пола или без подјеле по полу,. 1,34294
2013,Број,Мушкарци,. 1,17554
2013,Број,Жене,. 1,16740
1971,Број,Оба пола или без подјеле по полу, 2,79185
1971,Број,Мушкарци, 2,40345
1971,Број,Жене, 2,38840
1981,Број,Оба пола или без подјеле по полу, 2,67249
1981,Број,Мушкарци, 2,34457
1981,Број,Жене, 2,32792
1991,Број,Оба пола или без подјеле по полу, 2,64263
1991,Број,Мушкарци, 2,32868
1991,Број,Жене, 2,31395
2013,Број,Оба пола или без подјеле по полу, 2,34389
2013,Број,Мушкарци, 2,17702
2013,Број,Жене, 2,16687
