Year,UNIT_MEASURE,Пол,Године,Municipality,Value
2013,Број,Оба пола,Total,Banja Luka,185042
2013,Број,Мушкарци,Total,Banja Luka,89148
2013,Број,Жене,Total,Banja Luka,95894
2013,Број,Оба пола,Total,Banovići,22773
2013,Број,Мушкарци,Total,Banovići,11392
2013,Број,Жене,Total,Banovići,11381
2013,Број,Оба пола,Total,Berkovići,2114
2013,Број,Мушкарци,Total,Berkovići,1059
2013,Број,Жене,Total,Berkovići,1055
2013,Број,Оба пола,Total,Bihać,56261
2013,Број,Мушкарци,Total,Bihać,27041
2013,Број,Жене,Total,Bihać,29220
2013,Број,Оба пола,Total,Bijeljina,107715
2013,Број,Мушкарци,Total,Bijeljina,52827
2013,Број,Жене,Total,Bijeljina,54888
2013,Број,Оба пола,Total,Bileća,10807
2013,Број,Мушкарци,Total,Bileća,5454
2013,Број,Жене,Total,Bileća,5353
2013,Број,Оба пола,Total,Bosanska Krupa,25545
2013,Број,Мушкарци,Total,Bosanska Krupa,12548
2013,Број,Жене,Total,Bosanska Krupa,12997
2013,Број,Оба пола,Total,Bosanski Petrovac,7328
2013,Број,Мушкарци,Total,Bosanski Petrovac,3678
2013,Број,Жене,Total,Bosanski Petrovac,3650
2013,Број,Оба пола,Total,Bosansko Grahovo,2449
2013,Број,Мушкарци,Total,Bosansko Grahovo,1287
2013,Број,Жене,Total,Bosansko Grahovo,1162
2013,Број,Оба пола,Total,Bratunac,20340
2013,Број,Мушкарци,Total,Bratunac,10091
2013,Број,Жене,Total,Bratunac,10249
2013,Број,Оба пола,Total,Brčko,83516
2013,Број,Мушкарци,Total,Brčko,41250
2013,Број,Жене,Total,Brčko,42266
2013,Број,Оба пола,Total,Breza,14168
2013,Број,Мушкарци,Total,Breza,6952
2013,Број,Жене,Total,Breza,7216
2013,Број,Оба пола,Total,Brod,16619
2013,Број,Мушкарци,Total,Brod,8143
2013,Број,Жене,Total,Brod,8476
2013,Број,Оба пола,Total,Bugojno,31470
2013,Број,Мушкарци,Total,Bugojno,15635
2013,Број,Жене,Total,Bugojno,15835
2013,Број,Оба пола,Total,Busovača,17910
2013,Број,Мушкарци,Total,Busovača,9134
