Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Пол,Административно подручје,Value
1971,%,Укупан омјер економске подршке,Оба пола,BiH,65.4
1971,%,Укупан омјер економске подршке,M,BiH,67.9
1971,%,Укупан омјер економске подршке,Ж,BiH,63.0
1981,%,Укупан омјер економске подршке,Оба пола,BiH,52.3
1981,%,Укупан омјер економске подршке,M,BiH,53.0
1981,%,Укупан омјер економске подршке,Ж,BiH,51.6
1991,%,Укупан омјер економске подршке,Оба пола,BiH,48.3
1991,%,Укупан омјер економске подршке,M,BiH,46.8
1991,%,Укупан омјер економске подршке,Ж,BiH,49.7
2013,%,Укупан омјер економске подршке,Оба пола,BiH,42.1
2013,%,Укупан омјер економске подршке,M,BiH,39.2
2013,%,Укупан омјер економске подршке,Ж,BiH,44.9
1971,%,Омјер економске подршке младима,Оба пола,BiH,57.0
1971,%,Омјер економске подршке младима,M,BiH,60.2
1971,%,Омјер економске подршке младима,Ж,BiH,53.9
1981,%,Омјер економске подршке младима,Оба пола,BiH,42.5
1981,%,Омјер економске подршке младима,M,BiH,44.5
1981,%,Омјер економске подршке младима,Ж,BiH,40.6
1991,%,Омјер економске подршке младима,Оба пола,BiH,35.6
1991,%,Омјер економске подршке младима,M,BiH,36.6
1991,%,Омјер економске подршке младима,Ж,BiH,34.6
2013,%,Омјер економске подршке младима,Оба пола,BiH,21.9
2013,%,Омјер економске подршке младима,M,BiH,22.4
2013,%,Омјер економске подршке младима,Ж,BiH,21.3
1971,%,Омјер економске подршке старијим лицима,Оба пола,BiH,8.4
1971,%,Омјер економске подршке старијим лицима,M,BiH,7.7
1971,%,Омјер економске подршке старијим лицима,Ж,BiH,9.1
1981,%,Омјер економске подршке старијим лицима,Оба пола,BiH,9.8
1981,%,Омјер економске подршке старијим лицима,M,BiH,8.5
1981,%,Омјер економске подршке старијим лицима,Ж,BiH,11.0
1991,%,Омјер економске подршке старијим лицима,Оба пола,BiH,12.7
1991,%,Омјер економске подршке старијим лицима,M,BiH,10.1
1991,%,Омјер економске подршке старијим лицима,Ж,BiH,15.2
2013,%,Омјер економске подршке старијим лицима,Оба пола,BiH,20.2
2013,%,Омјер економске подршке старијим лицима,M,BiH,16.8
2013,%,Омјер економске подршке старијим лицима,Ж,BiH,23.6
1971,%,Омјер старијих и младих,Оба пола,BiH,14.8
1971,%,Омјер старијих и младих,M,BiH,12.8
1971,%,Омјер старијих и младих,Ж,BiH,16.9
1981,%,Омјер старијих и младих,Оба пола,BiH,23.1
1981,%,Омјер старијих и младих,M,BiH,19.2
1981,%,Омјер старијих и младих,Ж,BiH,27.2
1991,%,Омјер старијих и младих,Оба пола,BiH,35.6
1991,%,Омјер старијих и младих,M,BiH,27.7
1991,%,Омјер старијих и младих,Ж,BiH,43.8
2013,%,Омјер старијих и младих,Оба пола,BiH,92.3
2013,%,Омјер старијих и младих,M,BiH,75.0
2013,%,Омјер старијих и младих,Ж,BiH,110.6
2013,%,Укупан омјер економске подршке,Оба пола,Федерација БиХ,40.8
2013,%,Укупан омјер економске подршке,M,Федерација БиХ,38.4
2013,%,Укупан омјер економске подршке,Ж,Федерација БиХ,43.1
2013,%,Омјер економске подршке младима,Оба пола,Федерација БиХ,22.6
2013,%,Омјер економске подршке младима,M,Федерација БиХ,23.3
2013,%,Омјер економске подршке младима,Ж,Федерација БиХ,22.0
2013,%,Омјер економске подршке старијим лицима,Оба пола,Федерација БиХ,18.1
2013,%,Омјер економске подршке старијим лицима,M,Федерација БиХ,15.1
2013,%,Омјер економске подршке старијим лицима,Ж,Федерација БиХ,21.1
2013,%,Омјер старијих и младих,Оба пола,Федерација БиХ,80.1
2013,%,Омјер старијих и младих,M,Федерација БиХ,65.0
2013,%,Омјер старијих и младих,Ж,Федерација БиХ,96.1
2013,%,Укупан омјер економске подршке,Оба пола,Република Српска,44.4
2013,%,Укупан омјер економске подршке,M,Република Српска,40.6
2013,%,Укупан омјер економске подршке,Ж,Република Српска,48.2
2013,%,Омјер економске подршке младима,Оба пола,Република Српска,20.4
2013,%,Омјер економске подршке младима,M,Република Српска,20.8
2013,%,Омјер економске подршке младима,Ж,Република Српска,20.1
2013,%,Омјер економске подршке старијим лицима,Оба пола,Република Српска,24.0
2013,%,Омјер економске подршке старијим лицима,M,Република Српска,19.8
2013,%,Омјер економске подршке старијим лицима,Ж,Република Српска,28.2
2013,%,Омјер старијих и младих,Оба пола,Република Српска,117.4
2013,%,Омјер старијих и младих,M,Република Српска,95.6
2013,%,Омјер старијих и младих,Ж,Република Српска,140.3
2013,%,Укупан омјер економске подршке,Оба пола,Брчко дистрикт БиХ,43.3
2013,%,Укупан омјер економске подршке,M,Брчко дистрикт БиХ,40.6
2013,%,Укупан омјер економске подршке,Ж,Брчко дистрикт БиХ,46.0
2013,%,Омјер економске подршке младима,Оба пола,Брчко дистрикт БиХ,22.4
2013,%,Омјер економске подршке младима,M,Брчко дистрикт БиХ,23.3
2013,%,Омјер економске подршке младима,Ж,Брчко дистрикт БиХ,21.6
2013,%,Омјер економске подршке старијим лицима,Оба пола,Брчко дистрикт БиХ,20.8
2013,%,Омјер економске подршке старијим лицима,M,Брчко дистрикт БиХ,17.3
2013,%,Омјер економске подршке старијим лицима,Ж,Брчко дистрикт БиХ,24.4
2013,%,Омјер старијих и младих,Оба пола,Брчко дистрикт БиХ,92.8
2013,%,Омјер старијих и младих,M,Брчко дистрикт БиХ,74.5
2013,%,Омјер старијих и младих,Ж,Брчко дистрикт БиХ,112.7
