Year,UNIT_MEASURE,Пол,Value
1996,Број на 1000 живорођених,Оба пола,5.82
1997,Број на 1000 живорођених,Оба пола,4.96
1998,Број на 1000 живорођених,Оба пола,4.49
1999,Број на 1000 живорођених,Оба пола,5.28
2000,Број на 1000 живорођених,Оба пола,4.02
2001,Број на 1000 живорођених,Оба пола,5.12
2002,Број на 1000 живорођених,Оба пола,3.88
2003,Број на 1000 живорођених,Оба пола,4.26
2004,Број на 1000 живорођених,Оба пола,4.78
2005,Број на 1000 живорођених,Оба пола,4.25
2006,Број на 1000 живорођених,Оба пола,4.03
2007,Број на 1000 живорођених,Оба пола,5.14
2008,Број на 1000 живорођених,Оба пола,5.0
2009,Број на 1000 живорођених,Оба пола,3.94
2010,Број на 1000 живорођених,Оба пола,4.27
2011,Број на 1000 живорођених,Оба пола,3.71
2012,Број на 1000 живорођених,Оба пола,3.69
2013,Број на 1000 живорођених,Оба пола,3.32
2014,Број на 1000 живорођених,Оба пола,2.54
2015,Број на 1000 живорођених,Оба пола,3.83
2016,Број на 1000 живорођених,Оба пола,3.64
2017,Број на 1000 живорођених,Оба пола,3.41
2018,Број на 1000 живорођених,Оба пола,2.99
2019,Број на 1000 живорођених,Оба пола,2.89
