Year,UNIT_MEASURE,Пол,Административно подручје,Value
2004,Старосна доб,Оба пола,BiH,37.8
2007,Старосна доб,Оба пола,BiH,38.3
2011,Старосна доб,Оба пола,BiH,39.7
2013,Старосна доб,Оба пола,BiH,39.5
2015,Старосна доб,Оба пола,BiH,41.9
2004,Старосна доб,Оба пола,Федерација БиХ,36.4
2007,Старосна доб,Оба пола,Федерација БиХ,37.0
2011,Старосна доб,Оба пола,Федерација БиХ,38.5
2013,Старосна доб,Оба пола,Федерација БиХ,38.5
2015,Старосна доб,Оба пола,Федерација БиХ,40.7
2004,Старосна доб,Оба пола,Република Српска,40.1
2007,Старосна доб,Оба пола,Република Српска,40.8
2011,Старосна доб,Оба пола,Република Српска,42.0
2013,Старосна доб,Оба пола,Република Српска,41.4
2015,Старосна доб,Оба пола,Република Српска,44.4
2004,Старосна доб,Оба пола,Брчко дистрикт БиХ,38.3
2007,Старосна доб,Оба пола,Брчко дистрикт БиХ,39.5
2011,Старосна доб,Оба пола,Брчко дистрикт БиХ,40.4
2013,Старосна доб,Оба пола,Брчко дистрикт БиХ,39.7
2015,Старосна доб,Оба пола,Брчко дистрикт БиХ,40.8
2004,Старосна доб,M,BiH,36.8
2007,Старосна доб,M,BiH,37.2
2011,Старосна доб,M,BiH,38.6
2013,Старосна доб,M,BiH,38.2
2015,Старосна доб,M,BiH,40.5
2004,Старосна доб,M,Федерација БиХ,35.6
2007,Старосна доб,M,Федерација БиХ,35.8
2011,Старосна доб,M,Федерација БиХ,37.6
2013,Старосна доб,M,Федерација БиХ,37.2
2015,Старосна доб,M,Федерација БиХ,39.2
2004,Старосна доб,M,Република Српска,39.0
2007,Старосна доб,M,Република Српска,39.6
2011,Старосна доб,M,Република Српска,40.5
2013,Старосна доб,M,Република Српска,40.0
2015,Старосна доб,M,Република Српска,43.0
2004,Старосна доб,M,Брчко дистрикт БиХ,37.2
2007,Старосна доб,M,Брчко дистрикт БиХ,38.7
2011,Старосна доб,M,Брчко дистрикт БиХ,39.2
2013,Старосна доб,M,Брчко дистрикт БиХ,38.4
2015,Старосна доб,M,Брчко дистрикт БиХ,39.8
2004,Старосна доб,Ж,BiH,38.7
2007,Старосна доб,Ж,BiH,39.4
2011,Старосна доб,Ж,BiH,40.8
2013,Старосна доб,Ж,BiH,40.7
2015,Старосна доб,Ж,BiH,43.3
2004,Старосна доб,Ж,Федерација БиХ,37.2
2007,Старосна доб,Ж,Федерација БиХ,38.1
2011,Старосна доб,Ж,Федерација БиХ,39.4
2013,Старосна доб,Ж,Федерација БиХ,39.7
2015,Старосна доб,Ж,Федерација БиХ,42.2
2004,Старосна доб,Ж,Република Српска,41.1
2007,Старосна доб,Ж,Република Српска,42.0
2011,Старосна доб,Ж,Република Српска,43.6
2013,Старосна доб,Ж,Република Српска,42.7
2015,Старосна доб,Ж,Република Српска,45.7
2004,Старосна доб,Ж,Брчко дистрикт БиХ,39.3
2007,Старосна доб,Ж,Брчко дистрикт БиХ,40.2
2011,Старосна доб,Ж,Брчко дистрикт БиХ,41.7
2013,Старосна доб,Ж,Брчко дистрикт БиХ,40.9
2015,Старосна доб,Ж,Брчко дистрикт БиХ,41.7
