Year,UNIT_MEASURE,Ентитет,Value
1971,Број,BiH,6.6
1972,Број,BiH,7.0
1973,Број,BiH,6.4
1974,Број,BiH,6.0
1975,Број,BiH,6.4
1976,Број,BiH,6.2
1977,Број,BiH,6.1
1978,Број,BiH,6.3
1979,Број,BiH,6.1
1980,Број,BiH,6.4
1981,Број,BiH,6.3
1982,Број,BiH,6.4
1983,Број,BiH,7.2
1984,Број,BiH,6.9
1985,Број,BiH,6.9
1986,Број,BiH,6.9
1987,Број,BiH,6.9
1988,Број,BiH,6.9
1989,Број,BiH,7.0
1990,Број,BiH,6.7
1991,Број,BiH,7.2
1996,Број,BiH,6.9
1997,Број,BiH,7.5
1998,Број,BiH,7.9
1999,Број,BiH,7.7
2000,Број,BiH,8.1
2001,Број,BiH,8.0
2002,Број,BiH,7.9
2003,Број,BiH,8.3
2004,Број,BiH,8.5
2005,Број,BiH,9.0
2006,Број,BiH,8.6
2007,Број,BiH,9.1
2008,Број,BiH,8.9
2009,Број,BiH,9.1
2010,Број,BiH,9.1
2011,Број,BiH,9.1
2012,Број,BiH,9.3
2013,Број,BiH,10.1
2014,Број,BiH,10.2
2015,Број,BiH,10.8
2016,Број,BiH,10.4
2017,Број,BiH,10.8
2018,Број,BiH,10.8
2019,Број,BiH,11.1
1996,Број,Федерација БиХ,6.3
1997,Број,Федерација БиХ,6.9
1998,Број,Федерација БиХ,7.3
1999,Број,Федерација БиХ,7.1
2000,Број,Федерација БиХ,7.4
2001,Број,Федерација БиХ,7.3
2002,Број,Федерација БиХ,7.4
2003,Број,Федерација БиХ,7.9
2004,Број,Федерација БиХ,7.9
2005,Број,Федерација БиХ,8.3
2006,Број,Федерација БиХ,8.0
2007,Број,Федерација БиХ,8.7
2008,Број,Федерација БиХ,8.3
2009,Број,Федерација БиХ,8.3
2010,Број,Федерација БиХ,8.6
2011,Број,Федерација БиХ,8.8
2012,Број,Федерација БиХ,8.7
2013,Број,Федерација БиХ,8.9
2014,Број,Федерација БиХ,8.7
2015,Број,Федерација БиХ,9.8
2016,Број,Федерација БиХ,9.6
2017,Број,Федерација БиХ,9.9
2018,Број,Федерација БиХ,9.8
2019,Број,Федерација БиХ,10.1
1996,Број,Република Српска,8.9
1997,Број,Република Српска,9.6
1998,Број,Република Српска,10.1
1999,Број,Република Српска,10.2
2000,Број,Република Српска,10.8
2001,Број,Република Српска,10.8
2002,Број,Република Српска,10.9
2003,Број,Република Српска,10.9
2004,Број,Република Српска,11.0
2005,Број,Република Српска,11.6
2006,Број,Република Српска,11.2
2007,Број,Република Српска,12.0
2008,Број,Република Српска,11.4
2009,Број,Република Српска,11.7
2010,Број,Република Српска,11.5
2011,Број,Република Српска,11.6
2012,Број,Република Српска,11.8
2013,Број,Република Српска,11.9
2014,Број,Република Српска,12.3
2015,Број,Република Српска,13.0
2016,Број,Република Српска,12.1
2017,Број,Република Српска,12.7
2018,Број,Република Српска,12.9
2019,Број,Република Српска,13.2
2004,Број,Брчко Дистрикт БиХ,10.5
2005,Број,Брчко Дистрикт БиХ,11.0
2006,Број,Брчко Дистрикт БиХ,9.8
2007,Број,Брчко Дистрикт БиХ,10.8
2008,Број,Брчко Дистрикт БиХ,11.8
2009,Број,Брчко Дистрикт БиХ,12.1
2010,Број,Брчко Дистрикт БиХ,12.0
2011,Број,Брчко Дистрикт БиХ,12.6
2012,Број,Брчко Дистрикт БиХ,12.2
2013,Број,Брчко Дистрикт БиХ,11.2
2014,Број,Брчко Дистрикт БиХ,12.0
2015,Број,Брчко Дистрикт БиХ,13.4
2016,Број,Брчко Дистрикт БиХ,11.9
2017,Број,Брчко Дистрикт БиХ,13.2
2018,Број,Брчко Дистрикт БиХ,12.4
2019,Број,Брчко Дистрикт БиХ,13.6
