Year,Пол,Ентитет,UNIT_MEASURE,Value
1971,Оба пола,BiH,Број,22.0
1981,Оба пола,BiH,Број,17.2
1991,Оба пола,BiH,Број,14.9
1996,Оба пола,BiH,Број,14.01468
1997,Оба пола,BiH,Број,12.41812509
1998,Оба пола,BiH,Број,10.97607039
1999,Оба пола,BiH,Број,10.14977393
2000,Оба пола,BiH,Број,9.680762328
2001,Оба пола,BiH,Број,7.609300846
2002,Оба пола,BiH,Број,9.385449743
2003,Оба пола,BiH,Број,7.60628938
2004,Оба пола,BiH,Број,7.197519274
2005,Оба пола,BiH,Број,6.728853207
2006,Оба пола,BiH,Број,7.492727647
2007,Оба пола,BiH,Број,6.827249889
2008,Оба пола,BiH,Број,6.876170412
2009,Оба пола,BiH,Број,6.483357453
2010,Оба пола,BiH,Број,6.442376521
2011,Оба пола,BiH,Број,5.784162711
2012,Оба пола,BiH,Број,5.438289243
2013,Оба пола,BiH,Број,5.898839786
2014,Оба пола,BiH,Број,5.153957975
2015,Оба пола,BiH,Број,6.113537118
2016,Оба пола,BiH,Број,5.897359441
2017,Оба пола,BiH,Број,6.490066225
2018,Оба пола,BiH,Број,6.210336987
2019,Оба пола,BiH,Број,6.699576869
1996,Мушкарци,BiH,Број,14.75530781
1997,Мушкарци,BiH,Број,14.58670989
1998,Мушкарци,BiH,Број,12.89220918
1999,Мушкарци,BiH,Број,11.18506193
2000,Мушкарци,BiH,Број,10.7806145
2001,Мушкарци,BiH,Број,8.195876289
2002,Мушкарци,BiH,Број,10.43886976
2003,Мушкарци,BiH,Број,8.40152755
2004,Мушкарци,BiH,Број,8.327358959
2005,Мушкарци,BiH,Број,7.473169635
2006,Мушкарци,BiH,Број,9.004388215
2007,Мушкарци,BiH,Број,7.528230866
2008,Мушкарци,BiH,Број,7.44953085
2009,Мушкарци,BiH,Број,6.44408644
2010,Мушкарци,BiH,Број,7.235052382
2011,Мушкарци,BiH,Број,6.714657311
2012,Мушкарци,BiH,Број,6.611078023
2013,Мушкарци,BiH,Број,6.883485949
2014,Мушкарци,BiH,Број,4.744502148
2015,Мушкарци,BiH,Број,6.140580089
2016,Мушкарци,BiH,Број,7.062865869
2017,Мушкарци,BiH,Број,6.698991961
2018,Мушкарци,BiH,Број,5.96017815
2019,Мушкарци,BiH,Број,6.889099014
1996,Жене,BiH,Број,13.20057668
1997,Жене,BiH,Број,10.04329004
1998,Жене,BiH,Број,8.896302474
1999,Жене,BiH,Број,9.074323027
2000,Жене,BiH,Број,8.509083316
2001,Жене,BiH,Број,6.988043894
2002,Жене,BiH,Број,8.270676692
2003,Жене,BiH,Број,6.743965925
2004,Жене,BiH,Број,5.993653778
2005,Жене,BiH,Број,5.941770648
2006,Жене,BiH,Број,5.883780177
2007,Жене,BiH,Број,6.07324704
2008,Жене,BiH,Број,6.268458803
2009,Жене,BiH,Број,6.526074083
2010,Жене,BiH,Број,5.599655406
2011,Жене,BiH,Број,4.777486911
2012,Жене,BiH,Број,4.188614584
2013,Жене,BiH,Број,4.848811368
2014,Жене,BiH,Број,5.589257719
2015,Жене,BiH,Број,6.084912184
2016,Жене,BiH,Број,4.631229695
2017,Жене,BiH,Број,6.264628941
2018,Жене,BiH,Број,6.47932953
2019,Жене,BiH,Број,6.492548325
1996,Оба пола,Федерација БиХ,Број,13.8
1997,Оба пола,Федерација БиХ,Број,12.97224813
1998,Оба пола,Федерација БиХ,Број,12.13468869
1999,Оба пола,Федерација БиХ,Број,11.15720212
2000,Оба пола,Федерација БиХ,Број,11.03578748
2001,Оба пола,Федерација БиХ,Број,8.909984179
2002,Оба пола,Федерација БиХ,Број,10.5371812
2003,Оба пола,Федерација БиХ,Број,8.718922652
2004,Оба пола,Федерација БиХ,Број,8.539325843
2005,Оба пола,Федерација БиХ,Број,8.844715966
2006,Оба пола,Федерација БиХ,Број,9.48986205
2007,Оба пола,Федерација БиХ,Број,8.887865531
2008,Оба пола,Федерација БиХ,Број,8.464223386
2009,Оба пола,Федерација БиХ,Број,7.550298957
2010,Оба пола,Федерација БиХ,Број,7.684746671
2011,Оба пола,Федерација БиХ,Број,6.642170718
2012,Оба пола,Федерација БиХ,Број,6.473546945
2013,Оба пола,Федерација БиХ,Број,7.346736163
2014,Оба пола,Федерација БиХ,Број,6.38832998
2015,Оба пола,Федерација БиХ,Број,7.95536729
2016,Оба пола,Федерација БиХ,Број,7.479012974
2017,Оба пола,Федерација БиХ,Број,8.171912833
2018,Оба пола,Федерација БиХ,Број,8.3602307
2019,Оба пола,Федерација БиХ,Број,9.267994894
1997,Мушкарци,Федерација БиХ,Број,15.36662769
1998,Мушкарци,Федерација БиХ,Број,14.37836515
1999,Мушкарци,Федерација БиХ,Број,12.2173852
2000,Мушкарци,Федерација БиХ,Број,12.45415648
2001,Мушкарци,Федерација БиХ,Број,9.556977403
2002,Мушкарци,Федерација БиХ,Број,11.56553805
2003,Мушкарци,Федерација БиХ,Број,10.09683026
2004,Мушкарци,Федерација БиХ,Број,9.323806204
2005,Мушкарци,Федерација БиХ,Број,10.01151768
2006,Мушкарци,Федерација БиХ,Број,11.33220309
2007,Мушкарци,Федерација БиХ,Број,10.09474896
2008,Мушкарци,Федерација БиХ,Број,9.377664109
2009,Мушкарци,Федерација БиХ,Број,7.325698889
2010,Мушкарци,Федерација БиХ,Број,9.08225932
2011,Мушкарци,Федерација БиХ,Број,7.717450518
2012,Мушкарци,Федерација БиХ,Број,7.620584544
2013,Мушкарци,Федерација БиХ,Број,8.468867289
2014,Мушкарци,Федерација БиХ,Број,6.18556701
2015,Мушкарци,Федерација БиХ,Број,8.498583569
2016,Мушкарци,Федерација БиХ,Број,8.517720775
2017,Мушкарци,Федерација БиХ,Број,8.490289841
2018,Мушкарци,Федерација БиХ,Број,8.314514473
2019,Мушкарци,Федерација БиХ,Број,9.526867908
1997,Жене,Федерација БиХ,Број,10.3408187
1998,Жене,Федерација БиХ,Број,9.711945032
1999,Жене,Федерација БиХ,Број,10.05684303
2000,Жене,Федерација БиХ,Број,9.524584826
2001,Жене,Федерација БиХ,Број,8.225516237
2002,Жене,Федерација БиХ,Број,9.453131902
