Year,Пол,UNIT_MEASURE,Value
2020,Оба пола,Број на 1.000 становника,10.9
2025,Оба пола,Број на 1.000 становника,11.9
2030,Оба пола,Број на 1.000 становника,13.0
2035,Оба пола,Број на 1.000 становника,14.4
2040,Оба пола,Број на 1.000 становника,15.9
2045,Оба пола,Број на 1.000 становника,17.4
2050,Оба пола,Број на 1.000 становника,18.6
2055,Оба пола,Број на 1.000 становника,19.7
2060,Оба пола,Број на 1.000 становника,20.5
2065,Оба пола,Број на 1.000 становника,21.3
2070,Оба пола,Број на 1.000 становника,22.0
2020,M,Број на 1.000 становника,11.4
2025,M,Број на 1.000 становника,12.5
2030,M,Број на 1.000 становника,13.8
2035,M,Број на 1.000 становника,15.3
2040,M,Број на 1.000 становника,16.9
2045,M,Број на 1.000 становника,18.5
2050,M,Број на 1.000 становника,19.8
2055,M,Број на 1.000 становника,20.9
2060,M,Број на 1.000 становника,21.9
2065,M,Број на 1.000 становника,22.6
2070,M,Број на 1.000 становника,23.1
2020,Ж,Број на 1.000 становника,10.52
2025,Ж,Број на 1.000 становника,11.42
2030,Ж,Број на 1.000 становника,12.48
2035,Ж,Број на 1.000 становника,13.75
2040,Ж,Број на 1.000 становника,15.19
2045,Ж,Број на 1.000 становника,16.66
2050,Ж,Број на 1.000 становника,17.9
2055,Ж,Број на 1.000 становника,18.93
2060,Ж,Број на 1.000 становника,19.79
2065,Ж,Број на 1.000 становника,20.64
2070,Ж,Број на 1.000 становника,21.5
