Year,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,UNIT_MEASURE,Value
1971,single_household,Број,82305
1971,2_members,Број,97312
1971,3_members,Број,125680
1971,4_members,Број,174650
1971,5_members,Број,134703
1971,6_members,Број,94479
1971,7_members,Број,60558
1971,8+_members,Број,78858
1971,Укупно,Број,848545
1981,single_household,Број,97423
1981,2_members,Број,143225
1981,3_members,Број,181500
1981,4_members,Број,264179
1981,5_members,Број,151073
1981,6_members,Број,90453
1981,7_members,Број,48831
1981,8+_members,Број,54005
1981,Укупно,Број,1030689
1991,single_household,Број,130222
1991,2_members,Број,201096
1991,3_members,Број,229788
1991,4_members,Број,347705
1991,5_members,Број,156474
1991,6_members,Број,78561
1991,7_members,Број,33655
1991,8+_members,Број,29597
1991,Укупно,Број,1207098
2013,single_household,Број,217613
2013,2_members,Број,277191
2013,3_members,Број,232169
2013,4_members,Број,238625
2013,5_members,Број,107229
2013,6_members,Број,49859
2013,7_members,Број,18818
2013,8+_members,Број,14232
2013,Укупно,Број,1155736
