Year,UNIT_MEASURE,Пол,Године,Municipality,Value
2013,Број,Оба пола,a,Banja Luka,185042
2013,Број,Жене,a,Banja Luka,95894
2013,Број,Мушкарци,a,Banja Luka,89148
2013,Број,Оба пола,a,Bijeljina,107715
2013,Број,Жене,a,Bijeljina,54888
2013,Број,Мушкарци,a,Bijeljina,52827
2013,Број,Оба пола,a,Bosanska Krupa,25545
2013,Број,Жене,a,Bosanska Krupa,12997
2013,Број,Мушкарци,a,Bosanska Krupa,12548
2013,Број,Оба пола,b,Banja Luka,9610
2013,Број,Жене,b,Banja Luka,4712
2013,Број,Мушкарци,b,Banja Luka,4898
2013,Број,Оба пола,b,Bijeljina,5080
2013,Број,Жене,b,Bijeljina,2443
2013,Број,Мушкарци,b,Bijeljina,2637
2013,Број,Оба пола,b,Bosanska Krupa,1423
2013,Број,Жене,b,Bosanska Krupa,688
2013,Број,Мушкарци,b,Bosanska Krupa,735
