Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Пол,Value
2018,%,Укупан омјер економске подршке,Оба пола,44.32
2020,%,Укупан омјер економске подршке,Оба пола,47.11
2025,%,Укупан омјер економске подршке,Оба пола,53.97
2030,%,Укупан омјер економске подршке,Оба пола,62.1
2035,%,Укупан омјер економске подршке,Оба пола,68.98
2040,%,Укупан омјер економске подршке,Оба пола,76.0
2045,%,Укупан омјер економске подршке,Оба пола,84.34
2050,%,Укупан омјер економске подршке,Оба пола,94.16
2055,%,Укупан омјер економске подршке,Оба пола,103.66
2060,%,Укупан омјер економске подршке,Оба пола,110.44
2065,%,Укупан омјер економске подршке,Оба пола,115.81
2070,%,Укупан омјер економске подршке,Оба пола,116.18
2018,%,Омјер економске подршке младима,Оба пола,20.55
2020,%,Омјер економске подршке младима,Оба пола,20.65
2025,%,Омјер економске подршке младима,Оба пола,20.34
2030,%,Омјер економске подршке младима,Оба пола,20.29
2035,%,Омјер економске подршке младима,Оба пола,19.98
2040,%,Омјер економске подршке младима,Оба пола,19.66
2045,%,Омјер економске подршке младима,Оба пола,19.82
2050,%,Омјер економске подршке младима,Оба пола,20.49
2055,%,Омјер економске подршке младима,Оба пола,21.3
2060,%,Омјер економске подршке младима,Оба пола,21.85
2065,%,Омјер економске подршке младима,Оба пола,22.23
2070,%,Омјер економске подршке младима,Оба пола,22.13
2018,%,Омјер економске подршке старијим лицима,Оба пола,23.78
2020,%,Омјер економске подршке старијим лицима,Оба пола,26.46
2025,%,Омјер економске подршке старијим лицима,Оба пола,33.64
2030,%,Омјер економске подршке старијим лицима,Оба пола,41.81
2035,%,Омјер економске подршке старијим лицима,Оба пола,49.0
2040,%,Омјер економске подршке старијим лицима,Оба пола,56.34
2045,%,Омјер економске подршке старијим лицима,Оба пола,64.52
2050,%,Омјер економске подршке старијим лицима,Оба пола,73.67
2055,%,Омјер економске подршке старијим лицима,Оба пола,82.36
2060,%,Омјер економске подршке старијим лицима,Оба пола,88.59
2065,%,Омјер економске подршке старијим лицима,Оба пола,93.58
2070,%,Омјер економске подршке старијим лицима,Оба пола,94.04
2018,%,Омјер старијих и младих,Оба пола,115.71
2020,%,Омјер старијих и младих,Оба пола,128.11
2025,%,Омјер старијих и младих,Оба пола,165.41
2030,%,Омјер старијих и младих,Оба пола,206.01
2035,%,Омјер старијих и младих,Оба пола,245.28
2040,%,Омјер старијих и младих,Оба пола,286.61
2045,%,Омјер старијих и младих,Оба пола,325.51
2050,%,Омјер старијих и младих,Оба пола,359.64
2055,%,Омјер старијих и младих,Оба пола,386.67
2060,%,Омјер старијих и младих,Оба пола,405.45
2065,%,Омјер старијих и младих,Оба пола,420.87
2070,%,Омјер старијих и младих,Оба пола,424.86
2018,%,Укупан омјер економске подршке,M,44.32
2020,%,Укупан омјер економске подршке,M,47.11
2025,%,Укупан омјер економске подршке,M,53.97
2030,%,Укупан омјер економске подршке,M,62.1
2035,%,Укупан омјер економске подршке,M,68.98
2040,%,Укупан омјер економске подршке,M,76.0
2045,%,Укупан омјер економске подршке,M,84.34
2050,%,Укупан омјер економске подршке,M,94.16
2055,%,Укупан омјер економске подршке,M,103.66
2060,%,Укупан омјер економске подршке,M,110.44
2065,%,Укупан омјер економске подршке,M,115.81
2070,%,Укупан омјер економске подршке,M,116.18
2018,%,Омјер економске подршке младима,M,20.55
2020,%,Омјер економске подршке младима,M,20.65
2025,%,Омјер економске подршке младима,M,20.34
2030,%,Омјер економске подршке младима,M,20.29
2035,%,Омјер економске подршке младима,M,19.98
2040,%,Омјер економске подршке младима,M,19.66
2045,%,Омјер економске подршке младима,M,19.82
2050,%,Омјер економске подршке младима,M,20.49
2055,%,Омјер економске подршке младима,M,21.3
2060,%,Омјер економске подршке младима,M,21.85
2065,%,Омјер економске подршке младима,M,22.23
2070,%,Омјер економске подршке младима,M,22.13
2018,%,Омјер економске подршке старијим лицима,M,23.78
2020,%,Омјер економске подршке старијим лицима,M,26.46
2025,%,Омјер економске подршке старијим лицима,M,33.64
2030,%,Омјер економске подршке старијим лицима,M,41.81
2035,%,Омјер економске подршке старијим лицима,M,49.0
2040,%,Омјер економске подршке старијим лицима,M,56.34
2045,%,Омјер економске подршке старијим лицима,M,64.52
2050,%,Омјер економске подршке старијим лицима,M,73.67
2055,%,Омјер економске подршке старијим лицима,M,82.36
