Year,Oпштина,Величина домаћинства,UNIT_MEASURE,Value
1971,Sarajevo,1 члан,Број,82305
1971,Sarajevo,2 члана,Број,97312
1971,Sarajevo,3 члана,Број,125680
1971,Sarajevo,4 члана,Број,174650
1971,Sarajevo,5 чланова,Број,134703
1971,Sarajevo,6 чланова,Број,94479
1971,Sarajevo,7 чланова,Број,60558
1971,Sarajevo,8+ чланова,Број,78858
1981,Sarajevo,1 члан,Број,97423
1981,Sarajevo,2 члана,Број,143225
1981,Sarajevo,3 члана,Број,181500
1981,Sarajevo,4 члана,Број,264179
1981,Sarajevo,5 чланова,Број,151073
1981,Sarajevo,6 чланова,Број,90453
1981,Sarajevo,7 чланова,Број,48831
1981,Sarajevo,8+ чланова,Број,54005
1991,Sarajevo,1 члан,Број,130222
1991,Sarajevo,2 члана,Број,201096
1991,Sarajevo,3 члана,Број,229788
1991,Sarajevo,4 члана,Број,347705
1991,Sarajevo,5 чланова,Број,156474
1991,Sarajevo,6 чланова,Број,78561
1991,Sarajevo,7 чланова,Број,33655
1991,Sarajevo,8+ чланова,Број,29597
2013,Sarajevo,1 члан,Број,217613
2013,Sarajevo,2 члана,Број,277191
2013,Sarajevo,3 члана,Број,232169
2013,Sarajevo,4 члана,Број,238625
2013,Sarajevo,5 чланова,Број,107229
2013,Sarajevo,6 чланова,Број,49859
2013,Sarajevo,7 чланова,Број,18818
2013,Sarajevo,8+ чланова,Број,14232
