Year,UNIT_MEASURE,Административно подручје,Value
2005,Број,BiH,3.0
2005,Број,Република Српска,3.0
2007,Број,BiH,3.0
2007,Број,Република Српска,3.0
2008,Број,BiH,4.0
2008,Број,Република Српска,4.0
2009,Број,BiH,5.0
2009,Број,Република Српска,5.0
2010,Број,BiH,4.0
2010,Број,Република Српска,4.0
2011,Број,BiH,2.0
2011,Број,Република Српска,2.0
2012,Број,BiH,4.0
2012,Број,Република Српска,4.0
2013,Број,BiH,3.0
2013,Број,Република Српска,3.0
2014,Број,BiH,1.0
2014,Број,Република Српска,1.0
2016,Број,BiH,3.0
2016,Број,Република Српска,3.0
2017,Број,BiH,1.0
2017,Број,Република Српска,1.0
2018,Број,BiH,9.0
2018,Број,Федерација БиХ,1.0
2018,Број,Република Српска,8.0
2019,Број,BiH,10.0
2019,Број,Федерација БиХ,10.0
