Year,SOURCE,UNIT_MEASURE,Value
2013,piped_water_in_the_dwelling_unit_connected_to_community_scheme,Број,740276.0
2013,piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,Број,223814.0
2013,piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,Број,138002.0
2013,drinking_fountain_connected_to_community_scheme,Број,2358.0
2013,drinking_fountain_connected_to_own_pump_water_scheme,Број,2033.0
2013,street_drinking_fountain,Број,2393.0
2013,dug_well,Број,9878.0
2013,drilled_(pipe)_well,Број,1737.0
2013,artesian_well,Број,670.0
2013,regulated_water_spring,Број,3662.0
2013,container_(water_tank)_,Број,1101.0
2013,bottled_water_from_shop,Број,1098.0
2013,other,Број,6470.0
2013,Укупно,Број,113349200.0
2013,piped_water_in_the_dwelling_unit_connected_to_community_scheme,_%,65.30932728
2013,piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,_%,19.74552974
2013,piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,_%,12.17494257
2013,drinking_fountain_connected_to_community_scheme,_%,0.208029699
2013,drinking_fountain_connected_to_own_pump_water_scheme,_%,0.179357243
2013,street_drinking_fountain,_%,0.211117502
2013,dug_well,_%,0.87146623
2013,drilled_(pipe)_well,_%,0.153243252
2013,artesian_well,_%,0.059109372
2013,regulated_water_spring,_%,0.323072417
2013,container_(water_tank)_,_%,0.09713346
2013,bottled_water_from_shop,_%,0.096868791
2013,other,_%,0.570802441
2013,Укупно,_%,100.0
2013,public_sewage,Број,542792.0
2013,closed_septic_tank,Број,332937.0
2013,closed_septic_tank_with_overflow,Број,98294.0
2013,other_arrangements,Број,122568.0
2013,no_sewage,Број,36901.0
2013,Укупно,Број,1133492.0
2013,public_sewage,_%,47.88670763
2013,closed_septic_tank,_%,29.37268194
2013,closed_septic_tank_with_overflow,_%,8.67178595
2013,other_arrangements,_%,10.81330967
2013,no_sewage,_%,3.255514816
2013,Укупно,_%,100.0
2013,flush_toilet,Број,1458826.0
2013,no_flush_toilet,Број,19751.0
2013,no_toilet,Број,129421.0
2013,Укупно,Број,1607998.0
2013,flush_toilet,_%,90.72312279
2013,no_flush_toilet,_%,1.228297548
2013,no_toilet,_%,8.048579662
2013,Укупно,_%,100.0
