Year,UNIT_MEASURE,Ентитет,Value
1999,Број,BiH,5470.0
1999,Број,Република Српска,5470.0
2000,Број,BiH,4697.0
2000,Број,Република Српска,4697.0
2001,Број,BiH,4565.0
2001,Број,Република Српска,4565.0
2002,Број,BiH,3985.0
2002,Број,Република Српска,3985.0
2003,Број,BiH,3881.0
2003,Број,Република Српска,3881.0
2004,Број,BiH,3652.0
2004,Број,Република Српска,3652.0
2005,Број,BiH,3804.0
2005,Број,Република Српска,3804.0
2006,Број,BiH,4017.0
2006,Број,Република Српска,4017.0
2007,Број,BiH,12674.0
2007,Број,Федерација БиХ,8165.0
2007,Број,Република Српска,4509.0
2008,Број,BiH,12546.0
2008,Број,Федерација БиХ,8091.0
2008,Број,Република Српска,4455.0
2009,Број,BiH,12795.0
2009,Број,Федерација БиХ,8409.0
2009,Број,Република Српска,4386.0
2010,Број,BiH,12967.0
2010,Број,Федерација БиХ,8597.0
2010,Број,Република Српска,4370.0
2011,Број,BiH,13001.0
2011,Број,Федерација БиХ,8598.0
2011,Број,Република Српска,4403.0
2012,Број,BiH,13107.0
2012,Број,Федерација БиХ,8549.0
2012,Број,Република Српска,4558.0
2013,Број,BiH,12748.0
2013,Број,Федерација БиХ,8183.0
2013,Број,Република Српска,4565.0
2014,Број,,
2014,Број,,
2014,Број,,
2015,Број,,
2015,Број,,
2015,Број,,
2016,Број,,
2016,Број,,
2016,Број,,
2017,Број,,
2017,Број,,
2017,Број,,
2018,Број,,
2018,Број,,
2018,Број,,
2018,Број,,
2019,Број,,
2019,Број,,
