Year,UNIT_MEASURE,FORM_OF_VIOLENCE,Ентитет,SURVEY_IMPLEMENTED_BY,Value
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,UN Women & UNFPA,47.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),BiH,UN Women & UNFPA,11.9
2013,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),BiH,UN Women & UNFPA,37.9
2013,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),BiH,UN Women & UNFPA,0.0
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_18-24_years_of_age,BiH,UN Women & UNFPA,56.8
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_25-34_years_of_age,BiH,UN Women & UNFPA,56.4
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_35-44_years_of_age,BiH,UN Women & UNFPA,46.8
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_45-54_years_of_age,BiH,UN Women & UNFPA,47.5
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_55-64_years_of_age,BiH,UN Women & UNFPA,44.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_65+_years_of_age,BiH,UN Women & UNFPA,44.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_urban_areas,BiH,UN Women & UNFPA,44.3
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_rural_areas,BiH,UN Women & UNFPA,49.2
2013,_%,women_who_have_experienced_psychological_violence_after_the_age_of_15_(ever),BiH,UN Women & UNFPA,41.9
2013,_%,women_who_have_experienced_psychological_violence_after_the_age_of_15_(past_12_months),BiH,UN Women & UNFPA,10.8
2013,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),BiH,UN Women & UNFPA,39.0
2013,_%,women_who_have_experienced_psychological_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),BiH,UN Women & UNFPA,8.2
2013,_%,women_who_have_experienced_psychological_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),BiH,UN Women & UNFPA,8.5
2013,_%,women_who_have_experienced_physical_violence_after_the_age_of_15_(ever),BiH,UN Women & UNFPA,24.3
2013,_%,women_who_have_experienced_physical_violence_after_the_age_of_15_(past_12_months),BiH,UN Women & UNFPA,2.4
2013,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),BiH,UN Women & UNFPA,20.8
2013,_%,women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),BiH,UN Women & UNFPA,19.0
2013,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),BiH,UN Women & UNFPA,4.1
2013,_%,women_who_have_experienced_sexual_violence_after_the_age_of_15_(ever),BiH,UN Women & UNFPA,6.0
2013,_%,women_who_have_experienced_sexual_violence_after_the_age_of_15_(past_12_months),BiH,UN Women & UNFPA,1.3
2013,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),BiH,UN Women & UNFPA,5.1
2013,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),BiH,UN Women & UNFPA,0.0
2013,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(ever),BiH,UN Women & UNFPA,1.3
2013,_%,women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),BiH,UN Women & UNFPA,4.8
2013,_%,women_who_have_experienced_economic_violence_after_the_age_of_15_(past_12_months),BiH,UN Women & UNFPA,1.4
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Федерација БиХ,UN Women & UNFPA,47.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),Федерација БиХ,UN Women & UNFPA,12.7
2013,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),Федерација БиХ,UN Women & UNFPA,37.0
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_18-24_years_of_age,Федерација БиХ,UN Women & UNFPA,54.0
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_25-34_years_of_age,Федерација БиХ,UN Women & UNFPA,54.4
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_35-44_years_of_age,Федерација БиХ,UN Women & UNFPA,46.4
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_45-54_years_of_age,Федерација БиХ,UN Women & UNFPA,47.0
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_55-64_years_of_age,Федерација БиХ,UN Women & UNFPA,43.7
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_65+_years_of_age,Федерација БиХ,UN Women & UNFPA,46.3
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_urban_areas,Федерација БиХ,UN Women & UNFPA,45.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_rural_areas,Федерација БиХ,UN Women & UNFPA,48.5
2013,_%,women_who_have_experienced_psychological_violence_after_the_age_of_15_(ever),Федерација БиХ,UN Women & UNFPA,43.4
2013,_%,women_who_have_experienced_psychological_violence_after_the_age_of_15_(past_12_months),Федерација БиХ,UN Women & UNFPA,11.9
2013,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),Федерација БиХ,UN Women & UNFPA,38.2
2013,_%,women_who_have_experienced_psychological_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),Федерација БиХ,UN Women & UNFPA,8.0
2013,_%,women_who_have_experienced_psychological_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),Федерација БиХ,UN Women & UNFPA,7.5
2013,_%,women_who_have_experienced_physical_violence_after_the_age_of_15_(ever),Федерација БиХ,UN Women & UNFPA,23.0
