Year,UNIT_MEASURE,school_year,Пол,Value
2013,Број,2011/2012,Оба пола,17293
2013,Број,2012/2013,Оба пола,18817
2013,Број,2013/2014,Оба пола,19880
2013,Број,2014/2015,Оба пола,21490
2013,Број,2015/2016,Оба пола,22901
2013,Број,2016/2017,Оба пола,24918
2013,Број,2017/2018,Оба пола,25889
2013,Број,2018/2019,Оба пола,28511
2013,Број,2019/2020,Оба пола,30587
2013,Број,2020/2021,Оба пола,27698
2013,Број,2011/2012,M,9082
2013,Број,2012/2013,M,9859
2013,Број,2013/2014,M,10497
2013,Број,2014/2015,M,11200
2013,Број,2015/2016,M,11918
2013,Број,2016/2017,M,13086
2013,Број,2017/2018,M,13436
2013,Број,2018/2019,M,14855
2013,Број,2019/2020,M,15857
2013,Број,2020/2021,M,14477
2013,Број,2011/2012,Ж,8211
2013,Број,2012/2013,Ж,8958
2013,Број,2013/2014,Ж,9383
2013,Број,2014/2015,Ж,10290
2013,Број,2015/2016,Ж,10983
2013,Број,2016/2017,Ж,11832
2013,Број,2017/2018,Ж,12453
2013,Број,2018/2019,Ж,13656
2013,Број,2019/2020,Ж,14730
2013,Број,2020/2021,Ж,13221
