Year,UNIT_MEASURE,QUANTITY,Ентитет,Value
1997,BAM,total_millions,BiH,6752.0
1998,BAM,total_millions,BiH,7650.0
1999,BAM,total_millions,BiH,8604.0
2000,BAM,total_millions,BiH,9611.0
2001,BAM,total_millions,BiH,10480.0
2002,BAM,total_millions,BiH,11651.0
2003,BAM,total_millions,BiH,12303.0
2004,BAM,total_millions,BiH,13497.0
2005,BAM,total_millions,BiH,17649.0
2006,BAM,total_millions,BiH,20056.0
2007,BAM,total_millions,BiH,22548.0
2008,BAM,total_millions,BiH,25519.0
2009,BAM,total_millions,BiH,24799.0
2010,BAM,total_millions,BiH,25365.0
2011,BAM,total_millions,BiH,26231.0
2012,BAM,total_millions,BiH,26223.0
2013,BAM,total_millions,BiH,26779.0
2014,BAM,total_millions,BiH,27358.0
2015,BAM,total_millions,BiH,28589.0
2016,BAM,total_millions,BiH,29905.0
2017,BAM,total_millions,BiH,31377.0
2018,BAM,total_millions,BiH,33445.0
2019,BAM,total_millions,BiH,35295.0
1997,BAM,total_millions,Федерација БиХ,4943.0
1998,BAM,total_millions,Федерација БиХ,5606.0
1999,BAM,total_millions,Федерација БиХ,6142.0
2000,BAM,total_millions,Федерација БиХ,6723.0
2001,BAM,total_millions,Федерација БиХ,7274.0
2002,BAM,total_millions,Федерација БиХ,7943.0
2003,BAM,total_millions,Федерација БиХ,8268.0
2004,BAM,total_millions,Федерација БиХ,8897.0
2005,BAM,total_millions,Федерација БиХ,11506.0
2006,BAM,total_millions,Федерација БиХ,13036.0
2007,BAM,total_millions,Федерација БиХ,14629.0
2008,BAM,total_millions,Федерација БиХ,16426.0
2009,BAM,total_millions,Федерација БиХ,15987.0
2010,BAM,total_millions,Федерација БиХ,16461.0
2011,BAM,total_millions,Федерација БиХ,16927.0
2012,BAM,total_millions,Федерација БиХ,17013.0
2013,BAM,total_millions,Федерација БиХ,17379.0
2014,BAM,total_millions,Федерација БиХ,17827.0
2015,BAM,total_millions,Федерација БиХ,18688.0
2016,BAM,total_millions,Федерација БиХ,19540.0
2017,BAM,total_millions,Федерација БиХ,20540.0
2018,BAM,total_millions,Федерација БиХ,21984.0
2019,BAM,total_millions,Федерација БиХ,23179.0
1997,BAM,total_millions,Република Српска,1809.0
1998,BAM,total_millions,Република Српска,2044.0
1999,BAM,total_millions,Република Српска,2462.0
2000,BAM,total_millions,Република Српска,2734.0
2001,BAM,total_millions,Република Српска,2993.0
2002,BAM,total_millions,Република Српска,3417.0
2003,BAM,total_millions,Република Српска,3717.0
2004,BAM,total_millions,Република Српска,4226.0
2005,BAM,total_millions,Република Српска,5695.0
2006,BAM,total_millions,Република Српска,6550.0
2007,BAM,total_millions,Република Српска,7366.0
2008,BAM,total_millions,Република Српска,8507.0
2009,BAM,total_millions,Република Српска,8257.0
2010,BAM,total_millions,Република Српска,8336.0
2011,BAM,total_millions,Република Српска,8703.0
2012,BAM,total_millions,Република Српска,8615.0
2013,BAM,total_millions,Република Српска,8793.0
2014,BAM,total_millions,Република Српска,8887.0
2015,BAM,total_millions,Република Српска,9205.0
2016,BAM,total_millions,Република Српска,9631.0
2017,BAM,total_millions,Република Српска,10077.0
2018,BAM,total_millions,Република Српска,10680.0
2019,BAM,total_millions,Република Српска,11251.0
2000,BAM,total_millions,Брчко Дистрикт БиХ,154.0
2001,BAM,total_millions,Брчко Дистрикт БиХ,213.0
2002,BAM,total_millions,Брчко Дистрикт БиХ,291.0
2003,BAM,total_millions,Брчко Дистрикт БиХ,318.0
2004,BAM,total_millions,Брчко Дистрикт БиХ,374.0
2005,BAM,total_millions,Брчко Дистрикт БиХ,448.0
2006,BAM,total_millions,Брчко Дистрикт БиХ,470.0
2007,BAM,total_millions,Брчко Дистрикт БиХ,553.0
2008,BAM,total_millions,Брчко Дистрикт БиХ,586.0
2009,BAM,total_millions,Брчко Дистрикт БиХ,555.0
2010,BAM,total_millions,Брчко Дистрикт БиХ,568.0
2011,BAM,total_millions,Брчко Дистрикт БиХ,601.0
2012,BAM,total_millions,Брчко Дистрикт БиХ,595.0
2013,BAM,total_millions,Брчко Дистрикт БиХ,607.0
2014,BAM,total_millions,Брчко Дистрикт БиХ,644.0
2015,BAM,total_millions,Брчко Дистрикт БиХ,696.0
2016,BAM,total_millions,Брчко Дистрикт БиХ,734.0
2017,BAM,total_millions,Брчко Дистрикт БиХ,760.0
2018,BAM,total_millions,Брчко Дистрикт БиХ,781.0
2019,BAM,total_millions,Брчко Дистрикт БиХ,865.0
1997,_%,real_gdp_growth,BiH,0.34
1998,_%,real_gdp_growth,BiH,0.16
1999,_%,real_gdp_growth,BiH,0.1
2000,_%,real_gdp_growth,BiH,0.06
2001,_%,real_gdp_growth,BiH,0.04
2002,_%,real_gdp_growth,BiH,0.05
2003,_%,real_gdp_growth,BiH,0.04
2004,_%,real_gdp_growth,BiH,0.06
2005,_%,real_gdp_growth,BiH,0.09
2006,_%,real_gdp_growth,BiH,0.05
2007,_%,real_gdp_growth,BiH,0.06
2008,_%,real_gdp_growth,BiH,0.05
2009,_%,real_gdp_growth,BiH,-0.03
2010,_%,real_gdp_growth,BiH,0.01
2011,_%,real_gdp_growth,BiH,0.01
2012,_%,real_gdp_growth,BiH,-0.01
2013,_%,real_gdp_growth,BiH,0.02
2014,_%,real_gdp_growth,BiH,0.01
2015,_%,real_gdp_growth,BiH,0.03
2016,_%,real_gdp_growth,BiH,0.03
2017,_%,real_gdp_growth,BiH,0.02
2018,_%,real_gdp_growth,BiH,0.04
2019,_%,real_gdp_growth,BiH,0.03
1997,BAM,per_capita,BiH,1798.0
1998,BAM,per_capita,BiH,2094.0
1999,BAM,per_capita,BiH,2310.0
2000,BAM,per_capita,BiH,2542.0
2001,BAM,per_capita,BiH,2759.0
2002,BAM,per_capita,BiH,3044.0
2003,BAM,per_capita,BiH,3211.0
2004,BAM,per_capita,BiH,3512.0
2005,BAM,per_capita,BiH,4983.0
2006,BAM,per_capita,BiH,5663.0
2007,BAM,per_capita,BiH,6366.0
2008,BAM,per_capita,BiH,7205.0
2009,BAM,per_capita,BiH,7003.0
2010,BAM,per_capita,BiH,7165.0
2011,BAM,per_capita,BiH,7414.0
2012,BAM,per_capita,BiH,7418.0
2013,BAM,per_capita,BiH,7584.0
2014,BAM,per_capita,BiH,7759.0
2015,BAM,per_capita,BiH,8127.0
2016,BAM,per_capita,BiH,8517.0
2017,BAM,per_capita,BiH,8954.0
2018,BAM,per_capita,BiH,9566.0
2019,BAM,per_capita,BiH,10128.0
1997,EUR,total_millions,BiH,3424.0
1998,EUR,total_millions,BiH,3879.0
1999,EUR,total_millions,BiH,4399.0
2000,EUR,total_millions,BiH,4914.0
2001,EUR,total_millions,BiH,5358.0
2002,EUR,total_millions,BiH,5957.0
2003,EUR,total_millions,BiH,6291.0
2004,EUR,total_millions,BiH,6901.0
2005,EUR,total_millions,BiH,9025.0
2006,EUR,total_millions,BiH,10255.0
2007,EUR,total_millions,BiH,11529.0
2008,EUR,total_millions,BiH,13048.0
2009,EUR,total_millions,BiH,12679.0
2010,EUR,total_millions,BiH,12969.0
2011,EUR,total_millions,BiH,13412.0
2012,EUR,total_millions,BiH,13408.0
2013,EUR,total_millions,BiH,13692.0
2014,EUR,total_millions,BiH,13989.0
2015,EUR,total_millions,BiH,14618.0
2016,EUR,total_millions,BiH,15290.0
2017,EUR,total_millions,BiH,16043.0
2018,EUR,total_millions,BiH,17100.0
2019,EUR,total_millions,BiH,18047.0
1997,Амерички долар,total_millions,BiH,3894.0
1998,Амерички долар,total_millions,BiH,4343.0
1999,Амерички долар,total_millions,BiH,4691.0
2000,Амерички долар,total_millions,BiH,4536.0
2001,Амерички долар,total_millions,BiH,4795.0
2002,Амерички долар,total_millions,BiH,5610.0
2003,Амерички долар,total_millions,BiH,7097.0
2004,Амерички долар,total_millions,BiH,8567.0
2005,Амерички долар,total_millions,BiH,11221.0
2006,Амерички долар,total_millions,BiH,12865.0
2007,Амерички долар,total_millions,BiH,15773.0
2008,Амерички долар,total_millions,BiH,19093.0
2009,Амерички долар,total_millions,BiH,17628.0
2010,Амерички долар,total_millions,BiH,17174.0
2011,Амерички долар,total_millions,BiH,18655.0
2012,Амерички долар,total_millions,BiH,17222.0
2013,Амерички долар,total_millions,BiH,18173.0
2014,Амерички долар,total_millions,BiH,18566.0
2015,Амерички долар,total_millions,BiH,16220.0
2016,Амерички долар,total_millions,BiH,16914.0
2017,Амерички долар,total_millions,BiH,18079.0
2018,Амерички долар,total_millions,BiH,20177.0
2019,Амерички долар,total_millions,BiH,20201.0
