Year,Пол,UNIT_MEASURE,Административно подручје,Value
2004,Оба пола,% од укупно,BiH,18.3
2007,Оба пола,% од укупно,BiH,18.2
2011,Оба пола,% од укупно,BiH,17.9
2015,Оба пола,% од укупно,BiH,16.9
2007,M,% од укупно,BiH,18.3
2011,M,% од укупно,BiH,18.0
2015,M,% од укупно,BiH,17.1
2007,Ж,% од укупно,BiH,18.1
2011,Ж,% од укупно,BiH,17.7
2015,Ж,% од укупно,BiH,16.7
2004,Оба пола,% од укупно,Федерација БиХ,18.8
2007,Оба пола,% од укупно,Федерација БиХ,17.0
2011,Оба пола,% од укупно,Федерација БиХ,17.1
2015,Оба пола,% од укупно,Федерација БиХ,17.1
2007,M,% од укупно,Федерација БиХ,17.1
2011,M,% од укупно,Федерација БиХ,17.5
2015,M,% од укупно,Федерација БиХ,18.8
2007,Ж,% од укупно,Федерација БиХ,16.9
2011,Ж,% од укупно,Федерација БиХ,16.7
2015,Ж,% од укупно,Федерација БиХ,15.9
2004,Оба пола,% од укупно,Република Српска,17.8
2007,Оба пола,% од укупно,Република Српска,20.1
2011,Оба пола,% од укупно,Република Српска,19.5
2015,Оба пола,% од укупно,Република Српска,16.4
2007,M,% од укупно,Република Српска,20.2
2011,M,% од укупно,Република Српска,19.1
2015,M,% од укупно,Република Српска,14.5
2007,Ж,% од укупно,Република Српска,20.1
2011,Ж,% од укупно,Република Српска,19.8
2015,Ж,% од укупно,Република Српска,17.6
2004,Оба пола,% од укупно,Брчко дистрикт БиХ,9.5
2007,Оба пола,% од укупно,Брчко дистрикт БиХ,25.8
2011,Оба пола,% од укупно,Брчко дистрикт БиХ,14.7
2015,Оба пола,% од укупно,Брчко дистрикт БиХ,17.6
2007,M,% од укупно,Брчко дистрикт БиХ,23.4
2011,M,% од укупно,Брчко дистрикт БиХ,14.1
2015,M,% од укупно,Брчко дистрикт БиХ,15.3
2007,Ж,% од укупно,Брчко дистрикт БиХ,28.2
2011,Ж,% од укупно,Брчко дистрикт БиХ,15.3
2015,Ж,% од укупно,Брчко дистрикт БиХ,19.0
