Year,Value,UNIT_MEASURE
1996,1.647,Број дјеце по жени 15-49
1997,1.684,Број дјеце по жени 15-49
1998,1.558,Број дјеце по жени 15-49
1999,1.362,Број дјеце по жени 15-49
2000,1.3,Број дјеце по жени 15-49
2001,1.4,Број дјеце по жени 15-49
2002,1.2,Број дјеце по жени 15-49
2003,1.215,Број дјеце по жени 15-49
2004,1.217,Број дјеце по жени 15-49
2005,1.2,Број дјеце по жени 15-49
2006,1.176,Број дјеце по жени 15-49
2007,1.258,Број дјеце по жени 15-49
2008,1.285,Број дјеце по жени 15-49
2009,1.303,Број дјеце по жени 15-49
2010,1.266,Број дјеце по жени 15-49
2011,1.205,Број дјеце по жени 15-49
2012,1.349,Број дјеце по жени 15-49
2013,1.276,Број дјеце по жени 15-49
2014,1.258,Број дјеце по жени 15-49
2015,1.242,Број дјеце по жени 15-49
2016,1.258,Број дјеце по жени 15-49
2017,1.259,Број дјеце по жени 15-49
2018,1.252,Број дјеце по жени 15-49
2019,1.204,Број дјеце по жени 15-49
