Year,SEX,ADMIN_AREA,UNIT_MEASURE,Value
1996,M,BiH,Age,27.7
1997,M,BiH,Age,28.0
1998,M,BiH,Age,27.9
1999,M,BiH,Age,27.8
2000,M,BiH,Age,27.8
2001,M,BiH,Age,27.8
2002,M,BiH,Age,27.8
2003,M,BiH,Age,28.1
2004,M,BiH,Age,28.0
2005,M,BiH,Age,28.1
2006,M,BiH,Age,28.3
2007,M,BiH,Age,28.3
2008,M,BiH,Age,28.3
2009,M,BiH,Age,28.3
2010,M,BiH,Age,28.9
2011,M,BiH,Age,29.1
2012,M,BiH,Age,29.3
2013,M,BiH,Age,29.6
2014,M,BiH,Age,29.6
2015,M,BiH,Age,29.5
2016,M,BiH,Age,29.4
2017,M,BiH,Age,29.5
2018,M,BiH,Age,29.7
2019,M,BiH,Age,29.5
1996,F,BiH,Age,24.2
1997,F,BiH,Age,24.3
1998,F,BiH,Age,24.3
1999,F,BiH,Age,24.3
2000,F,BiH,Age,24.2
2001,F,BiH,Age,24.2
2002,F,BiH,Age,24.3
2003,F,BiH,Age,24.6
2004,F,BiH,Age,24.5
2005,F,BiH,Age,24.6
2006,F,BiH,Age,24.9
2007,F,BiH,Age,24.9
2008,F,BiH,Age,24.9
2009,F,BiH,Age,24.8
2010,F,BiH,Age,25.7
2011,F,BiH,Age,25.9
2012,F,BiH,Age,26.1
2013,F,BiH,Age,26.4
2014,F,BiH,Age,26.4
2015,F,BiH,Age,26.4
2016,F,BiH,Age,26.4
2017,F,BiH,Age,26.6
2018,F,BiH,Age,27.1
2019,F,BiH,Age,26.8
