Year,ADMIN_AREA,UNIT_MEASURE,Value
1996,BiH,NUMBER,21107
1997,BiH,NUMBER,23220
1998,BiH,NUMBER,22398
1999,BiH,NUMBER,22472
2000,BiH,NUMBER,21897
2001,BiH,NUMBER,20302
2002,BiH,NUMBER,20122
2003,BiH,NUMBER,20733
2004,BiH,NUMBER,22252
2005,BiH,NUMBER,21698
2006,BiH,NUMBER,21501
2007,BiH,NUMBER,23494
2008,BiH,NUMBER,22151
2009,BiH,NUMBER,20633
2010,BiH,NUMBER,19541
2011,BiH,NUMBER,19156
2012,BiH,NUMBER,18235
2013,BiH,NUMBER,17623
2014,BiH,NUMBER,18643
2015,BiH,NUMBER,19686
2016,BiH,NUMBER,19265
2017,BiH,NUMBER,19969
2018,BiH,NUMBER,19911
2019,BiH,NUMBER,18952
1996,FBIH,NUMBER,14692
1997,FBIH,NUMBER,16061
1998,FBIH,NUMBER,14921
1999,FBIH,NUMBER,14285
2000,FBIH,NUMBER,13894
2001,FBIH,NUMBER,12758
2002,FBIH,NUMBER,12889
2003,FBIH,NUMBER,13102
2004,FBIH,NUMBER,13695
2005,FBIH,NUMBER,13620
2006,FBIH,NUMBER,13012
2007,FBIH,NUMBER,14808
2008,FBIH,NUMBER,14909
2009,FBIH,NUMBER,13670
2010,FBIH,NUMBER,12988
2011,FBIH,NUMBER,12589
2012,FBIH,NUMBER,12060
2013,FBIH,NUMBER,11381
2014,FBIH,NUMBER,11982
2015,FBIH,NUMBER,12972
2016,FBIH,NUMBER,12790
2017,FBIH,NUMBER,12994
2018,FBIH,NUMBER,13061
2019,FBIH,NUMBER,12266
1996,RS,NUMBER,6227
1997,RS,NUMBER,6889
1998,RS,NUMBER,7186
1999,RS,NUMBER,7893
2000,RS,NUMBER,7642
2001,RS,NUMBER,7179
2002,RS,NUMBER,7233
2003,RS,NUMBER,6769
2004,RS,NUMBER,7143
2005,RS,NUMBER,6810
2006,RS,NUMBER,6860
2007,RS,NUMBER,7093
2008,RS,NUMBER,6401
2009,RS,NUMBER,6131
2010,RS,NUMBER,5767
2011,RS,NUMBER,5802
2012,RS,NUMBER,5326
2013,RS,NUMBER,5467
2014,RS,NUMBER,5823
2015,RS,NUMBER,5895
2016,RS,NUMBER,5563
2017,RS,NUMBER,5954
2018,RS,NUMBER,5966
2019,RS,NUMBER,5822
2002,BD,NUMBER,644
2003,BD,NUMBER,655
2004,BD,NUMBER,782
2005,BD,NUMBER,669
2006,BD,NUMBER,673
2007,BD,NUMBER,712
2008,BD,NUMBER,680
2009,BD,NUMBER,670
2010,BD,NUMBER,618
2011,BD,NUMBER,613
2012,BD,NUMBER,703
2013,BD,NUMBER,622
2014,BD,NUMBER,663
2015,BD,NUMBER,670
2016,BD,NUMBER,653
2017,BD,NUMBER,718
2018,BD,NUMBER,632
2019,BD,NUMBER,599
