Year,SEX,Entity,UNIT_MEASURE,Value
1971,_T,BiH,NUMBER,22.0
1981,_T,BiH,NUMBER,17.2
1991,_T,BiH,NUMBER,14.9
1996,_T,BiH,NUMBER,14.01468
1997,_T,BiH,NUMBER,12.41812509
1998,_T,BiH,NUMBER,10.97607039
1999,_T,BiH,NUMBER,10.14977393
2000,_T,BiH,NUMBER,9.680762328
2001,_T,BiH,NUMBER,7.609300846
2002,_T,BiH,NUMBER,9.385449743
2003,_T,BiH,NUMBER,7.60628938
2004,_T,BiH,NUMBER,7.197519274
2005,_T,BiH,NUMBER,6.728853207
2006,_T,BiH,NUMBER,7.492727647
2007,_T,BiH,NUMBER,6.827249889
2008,_T,BiH,NUMBER,6.876170412
2009,_T,BiH,NUMBER,6.483357453
2010,_T,BiH,NUMBER,6.442376521
2011,_T,BiH,NUMBER,5.784162711
2012,_T,BiH,NUMBER,5.438289243
2013,_T,BiH,NUMBER,5.898839786
2014,_T,BiH,NUMBER,5.153957975
2015,_T,BiH,NUMBER,6.113537118
2016,_T,BiH,NUMBER,5.897359441
2017,_T,BiH,NUMBER,6.490066225
2018,_T,BiH,NUMBER,6.210336987
2019,_T,BiH,NUMBER,6.699576869
1996,M,BiH,NUMBER,14.75530781
1997,M,BiH,NUMBER,14.58670989
1998,M,BiH,NUMBER,12.89220918
1999,M,BiH,NUMBER,11.18506193
2000,M,BiH,NUMBER,10.7806145
2001,M,BiH,NUMBER,8.195876289
2002,M,BiH,NUMBER,10.43886976
2003,M,BiH,NUMBER,8.40152755
2004,M,BiH,NUMBER,8.327358959
2005,M,BiH,NUMBER,7.473169635
2006,M,BiH,NUMBER,9.004388215
2007,M,BiH,NUMBER,7.528230866
2008,M,BiH,NUMBER,7.44953085
2009,M,BiH,NUMBER,6.44408644
2010,M,BiH,NUMBER,7.235052382
2011,M,BiH,NUMBER,6.714657311
2012,M,BiH,NUMBER,6.611078023
2013,M,BiH,NUMBER,6.883485949
2014,M,BiH,NUMBER,4.744502148
2015,M,BiH,NUMBER,6.140580089
2016,M,BiH,NUMBER,7.062865869
2017,M,BiH,NUMBER,6.698991961
2018,M,BiH,NUMBER,5.96017815
2019,M,BiH,NUMBER,6.889099014
1996,F,BiH,NUMBER,13.20057668
1997,F,BiH,NUMBER,10.04329004
1998,F,BiH,NUMBER,8.896302474
1999,F,BiH,NUMBER,9.074323027
2000,F,BiH,NUMBER,8.509083316
2001,F,BiH,NUMBER,6.988043894
2002,F,BiH,NUMBER,8.270676692
2003,F,BiH,NUMBER,6.743965925
2004,F,BiH,NUMBER,5.993653778
2005,F,BiH,NUMBER,5.941770648
2006,F,BiH,NUMBER,5.883780177
2007,F,BiH,NUMBER,6.07324704
2008,F,BiH,NUMBER,6.268458803
2009,F,BiH,NUMBER,6.526074083
2010,F,BiH,NUMBER,5.599655406
2011,F,BiH,NUMBER,4.777486911
2012,F,BiH,NUMBER,4.188614584
2013,F,BiH,NUMBER,4.848811368
2014,F,BiH,NUMBER,5.589257719
2015,F,BiH,NUMBER,6.084912184
2016,F,BiH,NUMBER,4.631229695
2017,F,BiH,NUMBER,6.264628941
2018,F,BiH,NUMBER,6.47932953
2019,F,BiH,NUMBER,6.492548325
1996,_T,FBIH,NUMBER,13.8
1997,_T,FBIH,NUMBER,12.97224813
1998,_T,FBIH,NUMBER,12.13468869
1999,_T,FBIH,NUMBER,11.15720212
2000,_T,FBIH,NUMBER,11.03578748
2001,_T,FBIH,NUMBER,8.909984179
2002,_T,FBIH,NUMBER,10.5371812
2003,_T,FBIH,NUMBER,8.718922652
2004,_T,FBIH,NUMBER,8.539325843
2005,_T,FBIH,NUMBER,8.844715966
2006,_T,FBIH,NUMBER,9.48986205
2007,_T,FBIH,NUMBER,8.887865531
2008,_T,FBIH,NUMBER,8.464223386
2009,_T,FBIH,NUMBER,7.550298957
2010,_T,FBIH,NUMBER,7.684746671
2011,_T,FBIH,NUMBER,6.642170718
2012,_T,FBIH,NUMBER,6.473546945
2013,_T,FBIH,NUMBER,7.346736163
2014,_T,FBIH,NUMBER,6.38832998
2015,_T,FBIH,NUMBER,7.95536729
2016,_T,FBIH,NUMBER,7.479012974
2017,_T,FBIH,NUMBER,8.171912833
2018,_T,FBIH,NUMBER,8.3602307
2019,_T,FBIH,NUMBER,9.267994894
1997,M,FBIH,NUMBER,15.36662769
1998,M,FBIH,NUMBER,14.37836515
1999,M,FBIH,NUMBER,12.2173852
2000,M,FBIH,NUMBER,12.45415648
2001,M,FBIH,NUMBER,9.556977403
2002,M,FBIH,NUMBER,11.56553805
2003,M,FBIH,NUMBER,10.09683026
2004,M,FBIH,NUMBER,9.323806204
2005,M,FBIH,NUMBER,10.01151768
2006,M,FBIH,NUMBER,11.33220309
2007,M,FBIH,NUMBER,10.09474896
2008,M,FBIH,NUMBER,9.377664109
2009,M,FBIH,NUMBER,7.325698889
2010,M,FBIH,NUMBER,9.08225932
2011,M,FBIH,NUMBER,7.717450518
2012,M,FBIH,NUMBER,7.620584544
2013,M,FBIH,NUMBER,8.468867289
2014,M,FBIH,NUMBER,6.18556701
2015,M,FBIH,NUMBER,8.498583569
2016,M,FBIH,NUMBER,8.517720775
2017,M,FBIH,NUMBER,8.490289841
2018,M,FBIH,NUMBER,8.314514473
2019,M,FBIH,NUMBER,9.526867908
1997,F,FBIH,NUMBER,10.3408187
1998,F,FBIH,NUMBER,9.711945032
1999,F,FBIH,NUMBER,10.05684303
2000,F,FBIH,NUMBER,9.524584826
2001,F,FBIH,NUMBER,8.225516237
2002,F,FBIH,NUMBER,9.453131902
