Year,UNIT_MEASURE,SEX,Entity,BIRTHS,Value
1996,NUMBER,_T,BIH,LIVE_BIRTH,12263
1997,NUMBER,_T,BIH,LIVE_BIRTH,13757
1998,NUMBER,_T,BIH,LIVE_BIRTH,13527
1999,NUMBER,_T,BIH,LIVE_BIRTH,14500
2000,NUMBER,_T,BIH,LIVE_BIRTH,14191
2001,NUMBER,_T,BIH,LIVE_BIRTH,13699
2002,NUMBER,_T,BIH,LIVE_BIRTH,12336
2003,NUMBER,_T,BIH,LIVE_BIRTH,10537
2004,NUMBER,_T,BIH,LIVE_BIRTH,10628
2005,NUMBER,_T,BIH,LIVE_BIRTH,10322
2006,NUMBER,_T,BIH,LIVE_BIRTH,10524
2007,NUMBER,_T,BIH,LIVE_BIRTH,10110
2008,NUMBER,_T,BIH,LIVE_BIRTH,10198
2009,NUMBER,_T,BIH,LIVE_BIRTH,10603
2010,NUMBER,_T,BIH,LIVE_BIRTH,10147
2011,NUMBER,_T,BIH,LIVE_BIRTH,9561
2012,NUMBER,_T,BIH,LIVE_BIRTH,9978
2013,NUMBER,_T,BIH,LIVE_BIRTH,9510
2014,NUMBER,_T,BIH,LIVE_BIRTH,9335
2015,NUMBER,_T,BIH,LIVE_BIRTH,9357
2016,NUMBER,_T,BIH,LIVE_BIRTH,9452
2017,NUMBER,_T,BIH,LIVE_BIRTH,9339
2018,NUMBER,_T,BIH,LIVE_BIRTH,9568
2019,NUMBER,_T,BIH,LIVE_BIRTH,9274
1996,NUMBER,M,BIH,LIVE_BIRTH,6368
1997,NUMBER,M,BIH,LIVE_BIRTH,7176
1998,NUMBER,M,BIH,LIVE_BIRTH,7081
1999,NUMBER,M,BIH,LIVE_BIRTH,7394
2000,NUMBER,M,BIH,LIVE_BIRTH,7319
2001,NUMBER,M,BIH,LIVE_BIRTH,7053
2002,NUMBER,M,BIH,LIVE_BIRTH,6365
2003,NUMBER,M,BIH,LIVE_BIRTH,5450
2004,NUMBER,M,BIH,LIVE_BIRTH,5515
2005,NUMBER,M,BIH,LIVE_BIRTH,5302
2006,NUMBER,M,BIH,LIVE_BIRTH,5351
2007,NUMBER,M,BIH,LIVE_BIRTH,5203
2008,NUMBER,M,BIH,LIVE_BIRTH,5262
2009,NUMBER,M,BIH,LIVE_BIRTH,5577
2010,NUMBER,M,BIH,LIVE_BIRTH,5184
2011,NUMBER,M,BIH,LIVE_BIRTH,5008
2012,NUMBER,M,BIH,LIVE_BIRTH,5089
2013,NUMBER,M,BIH,LIVE_BIRTH,4907
2014,NUMBER,M,BIH,LIVE_BIRTH,4846
2015,NUMBER,M,BIH,LIVE_BIRTH,4842
2016,NUMBER,M,BIH,LIVE_BIRTH,4931
2017,NUMBER,M,BIH,LIVE_BIRTH,4886
2018,NUMBER,M,BIH,LIVE_BIRTH,5001
2019,NUMBER,M,BIH,LIVE_BIRTH,4907
1996,NUMBER,F,BIH,LIVE_BIRTH,5895
1997,NUMBER,F,BIH,LIVE_BIRTH,6581
1998,NUMBER,F,BIH,LIVE_BIRTH,6446
1999,NUMBER,F,BIH,LIVE_BIRTH,7106
2000,NUMBER,F,BIH,LIVE_BIRTH,6872
2001,NUMBER,F,BIH,LIVE_BIRTH,6646
2002,NUMBER,F,BIH,LIVE_BIRTH,5971
2003,NUMBER,F,BIH,LIVE_BIRTH,5087
2004,NUMBER,F,BIH,LIVE_BIRTH,5113
2005,NUMBER,F,BIH,LIVE_BIRTH,5020
2006,NUMBER,F,BIH,LIVE_BIRTH,5173
2007,NUMBER,F,BIH,LIVE_BIRTH,4907
2008,NUMBER,F,BIH,LIVE_BIRTH,4936
2009,NUMBER,F,BIH,LIVE_BIRTH,5026
2010,NUMBER,F,BIH,LIVE_BIRTH,4963
2011,NUMBER,F,BIH,LIVE_BIRTH,4553
2012,NUMBER,F,BIH,LIVE_BIRTH,4889
2013,NUMBER,F,BIH,LIVE_BIRTH,4603
2014,NUMBER,F,BIH,LIVE_BIRTH,4489
2015,NUMBER,F,BIH,LIVE_BIRTH,4515
2016,NUMBER,F,BIH,LIVE_BIRTH,4521
2017,NUMBER,F,BIH,LIVE_BIRTH,4453
2018,NUMBER,F,BIH,LIVE_BIRTH,4567
2019,NUMBER,F,BIH,LIVE_BIRTH,4367
1996,NUMBER,_T,BIH,DEATHS,10931
1997,NUMBER,_T,BIH,DEATHS,11755
1998,NUMBER,_T,BIH,DEATHS,12123
1999,NUMBER,_T,BIH,DEATHS,12152
2000,NUMBER,_T,BIH,DEATHS,12960
2001,NUMBER,_T,BIH,DEATHS,12932
2002,NUMBER,_T,BIH,DEATHS,12980
2003,NUMBER,_T,BIH,DEATHS,12988
2004,NUMBER,_T,BIH,DEATHS,13082
2005,NUMBER,_T,BIH,DEATHS,13802
2006,NUMBER,_T,BIH,DEATHS,13232
2007,NUMBER,_T,BIH,DEATHS,14146
2008,NUMBER,_T,BIH,DEATHS,13501
2009,NUMBER,_T,BIH,DEATHS,13775
2010,NUMBER,_T,BIH,DEATHS,13517
2011,NUMBER,_T,BIH,DEATHS,13658
2012,NUMBER,_T,BIH,DEATHS,13796
2013,NUMBER,_T,BIH,DEATHS,13978
2014,NUMBER,_T,BIH,DEATHS,14409
2015,NUMBER,_T,BIH,DEATHS,15059
2016,NUMBER,_T,BIH,DEATHS,13970
2017,NUMBER,_T,BIH,DEATHS,14663
2018,NUMBER,_T,BIH,DEATHS,14763
2019,NUMBER,_T,BIH,DEATHS,15081
1996,NUMBER,M,BIH,NATURAL_CHANGE,6056
1997,NUMBER,M,BIH,NATURAL_CHANGE,6495
1998,NUMBER,M,BIH,NATURAL_CHANGE,6418
1999,NUMBER,M,BIH,NATURAL_CHANGE,6462
2000,NUMBER,M,BIH,NATURAL_CHANGE,6861
2001,NUMBER,M,BIH,NATURAL_CHANGE,7026
2002,NUMBER,M,BIH,NATURAL_CHANGE,6791
2003,NUMBER,M,BIH,NATURAL_CHANGE,6804
2004,NUMBER,M,BIH,NATURAL_CHANGE,6735
2005,NUMBER,M,BIH,NATURAL_CHANGE,7239
2006,NUMBER,M,BIH,NATURAL_CHANGE,6904
2007,NUMBER,M,BIH,NATURAL_CHANGE,7302
2008,NUMBER,M,BIH,NATURAL_CHANGE,7058
2009,NUMBER,M,BIH,NATURAL_CHANGE,7099
2010,NUMBER,M,BIH,NATURAL_CHANGE,6935
2011,NUMBER,M,BIH,NATURAL_CHANGE,7001
2012,NUMBER,M,BIH,NATURAL_CHANGE,7064
2013,NUMBER,M,BIH,NATURAL_CHANGE,7237
2014,NUMBER,M,BIH,NATURAL_CHANGE,7386
2015,NUMBER,M,BIH,NATURAL_CHANGE,7640
2016,NUMBER,M,BIH,NATURAL_CHANGE,7198
2017,NUMBER,M,BIH,NATURAL_CHANGE,7363
2018,NUMBER,M,BIH,NATURAL_CHANGE,7449
2019,NUMBER,M,BIH,NATURAL_CHANGE,7753
1996,NUMBER,F,BIH,NATURAL_CHANGE,4875
1997,NUMBER,F,BIH,NATURAL_CHANGE,5260
1998,NUMBER,F,BIH,NATURAL_CHANGE,5705
1999,NUMBER,F,BIH,NATURAL_CHANGE,5690
2000,NUMBER,F,BIH,NATURAL_CHANGE,6099
2001,NUMBER,F,BIH,NATURAL_CHANGE,5906
2002,NUMBER,F,BIH,NATURAL_CHANGE,6189
2003,NUMBER,F,BIH,NATURAL_CHANGE,6184
2004,NUMBER,F,BIH,NATURAL_CHANGE,6347
2005,NUMBER,F,BIH,NATURAL_CHANGE,6563
2006,NUMBER,F,BIH,NATURAL_CHANGE,6328
2007,NUMBER,F,BIH,NATURAL_CHANGE,6844
2008,NUMBER,F,BIH,NATURAL_CHANGE,6443
2009,NUMBER,F,BIH,NATURAL_CHANGE,6676
2010,NUMBER,F,BIH,NATURAL_CHANGE,6582
2011,NUMBER,F,BIH,NATURAL_CHANGE,6657
2012,NUMBER,F,BIH,NATURAL_CHANGE,6732
2013,NUMBER,F,BIH,NATURAL_CHANGE,6741
2014,NUMBER,F,BIH,NATURAL_CHANGE,7023
2015,NUMBER,F,BIH,NATURAL_CHANGE,7419
2016,NUMBER,F,BIH,NATURAL_CHANGE,6772
2017,NUMBER,F,BIH,NATURAL_CHANGE,7300
2018,NUMBER,F,BIH,NATURAL_CHANGE,7314
2019,NUMBER,F,BIH,NATURAL_CHANGE,7328
1996,NUMBER,_T,BIH,NATURAL_CHANGE,1332
1997,NUMBER,_T,BIH,NATURAL_CHANGE,2002
1998,NUMBER,_T,BIH,NATURAL_CHANGE,1404
1999,NUMBER,_T,BIH,NATURAL_CHANGE,2348
2000,NUMBER,_T,BIH,NATURAL_CHANGE,1231
2001,NUMBER,_T,BIH,NATURAL_CHANGE,767
