Year,UNIT_MEASURE,Entity,Year.1,Value
1971,NUMBER,BIH,1971,15.4
1972,NUMBER,BIH,1972,14.5
1973,NUMBER,BIH,1973,13.7
1974,NUMBER,BIH,1974,13.8
1975,NUMBER,BIH,1975,13.4
1976,NUMBER,BIH,1976,13.4
1977,NUMBER,BIH,1977,12.4
1978,NUMBER,BIH,1978,11.4
1979,NUMBER,BIH,1979,10.9
1980,NUMBER,BIH,1980,10.9
1981,NUMBER,BIH,1981,10.8
1982,NUMBER,BIH,1982,11.2
1983,NUMBER,BIH,1983,10.6
1984,NUMBER,BIH,1984,10.8
1985,NUMBER,BIH,1985,10.4
1986,NUMBER,BIH,1986,9.9
1987,NUMBER,BIH,1987,9.7
1988,NUMBER,BIH,1988,9.6
1989,NUMBER,BIH,1989,8.4
1990,NUMBER,BIH,1990,8.7
1991,NUMBER,BIH,1991,7.8
1996,NUMBER,BIH,1996,5.9
1997,NUMBER,BIH,1997,5.5
1998,NUMBER,BIH,1998,4.5
1999,NUMBER,BIH,1999,3.7
2000,NUMBER,BIH,2000,2.4
2001,NUMBER,BIH,2001,1.9
2002,NUMBER,BIH,2002,1.4
2003,NUMBER,BIH,2003,0.9
2004,NUMBER,BIH,2004,0.7
2005,NUMBER,BIH,2005,0.1
2006,NUMBER,BIH,2006,0.2
2007,NUMBER,BIH,2007,-0.3
2008,NUMBER,BIH,2008,0.0
2009,NUMBER,BIH,2009,-0.1
2010,NUMBER,BIH,2010,-0.4
2011,NUMBER,BIH,2011,-0.8
2012,NUMBER,BIH,2012,-0.8
2013,NUMBER,BIH,2013,-1.4
2014,NUMBER,BIH,2014,-1.6
2015,NUMBER,BIH,2015,-2.3
2016,NUMBER,BIH,2016,-1.8
2017,NUMBER,BIH,2017,-2.2
2018,NUMBER,BIH,2018,-2.4
2019,NUMBER,BIH,2019,-3.0
1996,NUMBER,FBIH,1996,8.9
1997,NUMBER,FBIH,1997,7.7
1998,NUMBER,FBIH,1998,6.8
1999,NUMBER,FBIH,1999,5.2
2000,NUMBER,FBIH,2000,3.6
2001,NUMBER,FBIH,2001,3.1
2002,NUMBER,FBIH,2002,2.6
2003,NUMBER,FBIH,2003,2.1
2004,NUMBER,FBIH,2004,1.7
2005,NUMBER,FBIH,2005,1.1
2006,NUMBER,FBIH,2006,1.3
2007,NUMBER,FBIH,2007,1.0
2008,NUMBER,FBIH,2008,1.5
2009,NUMBER,FBIH,2009,1.2
2010,NUMBER,FBIH,2010,0.8
2011,NUMBER,FBIH,2011,0.4
2012,NUMBER,FBIH,2012,0.3
2013,NUMBER,FBIH,2013,-0.1
2014,NUMBER,FBIH,2014,-0.2
2015,NUMBER,FBIH,2015,-1.1
2016,NUMBER,FBIH,2016,-0.7
2017,NUMBER,FBIH,2017,-0.8
2018,NUMBER,FBIH,2018,-1.2
2019,NUMBER,FBIH,2019,-1.8
1996,NUMBER,RS,1996,1.1
1997,NUMBER,RS,1997,1.6
1998,NUMBER,RS,1998,0.8
1999,NUMBER,RS,1999,1.5
2000,NUMBER,RS,2000,0.6
2001,NUMBER,RS,2001,0.1
2002,NUMBER,RS,2002,-0.5
2003,NUMBER,RS,2003,-2.1
2004,NUMBER,RS,2004,-2.1
2005,NUMBER,RS,2005,-2.9
2006,NUMBER,RS,2006,-2.3
2007,NUMBER,RS,2007,-3.4
2008,NUMBER,RS,2008,-2.8
2009,NUMBER,RS,2009,-2.7
2010,NUMBER,RS,2010,-2.9
2011,NUMBER,RS,2011,-3.5
2012,NUMBER,RS,2012,-3.3
2013,NUMBER,RS,2013,-3.8
2014,NUMBER,RS,2014,-4.3
2015,NUMBER,RS,2015,-4.9
2016,NUMBER,RS,2016,-3.9
2017,NUMBER,RS,2017,-4.6
2018,NUMBER,RS,2018,-4.6
2019,NUMBER,RS,2019,-5.1
2004,NUMBER,RS,2004,2.6
2005,NUMBER,RS,2005,2.0
2006,NUMBER,RS,2006,2.3
2007,NUMBER,RS,2007,2.1
2008,NUMBER,RS,2008,0.2
2009,NUMBER,RS,2009,0.3
2010,NUMBER,RS,2010,0.1
2011,NUMBER,RS,2011,-0.6
2012,NUMBER,RS,2012,0.5
2013,NUMBER,RS,2013,-0.5
2014,NUMBER,RS,2014,-1.0
2015,NUMBER,RS,2015,-2.2
2016,NUMBER,RS,2016,-1.3
2017,NUMBER,RS,2017,-2.4
2018,NUMBER,RS,2018,-2.1
2019,NUMBER,RS,2019,-2.8
