Year,UNIT_MEASURE,SEX,Entity,Value
1971,total_support_ratio,_T,BIH,65.4
1971,total_support_ratio,M,BIH,67.9
1971,total_support_ratio,F,BIH,63.0
1981,total_support_ratio,_T,BIH,52.3
1981,total_support_ratio,M,BIH,53.0
1981,total_support_ratio,F,BIH,51.6
1991,total_support_ratio,_T,BIH,48.3
1991,total_support_ratio,M,BIH,46.8
1991,total_support_ratio,F,BIH,49.7
2013,total_support_ratio,_T,BIH,42.1
2013,total_support_ratio,M,BIH,39.2
2013,total_support_ratio,F,BIH,44.9
1971,young_age_support_ratio,_T,BIH,57.0
1971,young_age_support_ratio,M,BIH,60.2
1971,young_age_support_ratio,F,BIH,53.9
1981,young_age_support_ratio,_T,BIH,42.5
1981,young_age_support_ratio,M,BIH,44.5
1981,young_age_support_ratio,F,BIH,40.6
1991,young_age_support_ratio,_T,BIH,35.6
1991,young_age_support_ratio,M,BIH,36.6
1991,young_age_support_ratio,F,BIH,34.6
2013,young_age_support_ratio,_T,BIH,21.9
2013,young_age_support_ratio,M,BIH,22.4
2013,young_age_support_ratio,F,BIH,21.3
1971,old_age_support_ratio,_T,BIH,8.4
1971,old_age_support_ratio,M,BIH,7.7
1971,old_age_support_ratio,F,BIH,9.1
1981,old_age_support_ratio,_T,BIH,9.8
1981,old_age_support_ratio,M,BIH,8.5
1981,old_age_support_ratio,F,BIH,11.0
1991,old_age_support_ratio,_T,BIH,12.7
1991,old_age_support_ratio,M,BIH,10.1
1991,old_age_support_ratio,F,BIH,15.2
2013,old_age_support_ratio,_T,BIH,20.2
2013,old_age_support_ratio,M,BIH,16.8
2013,old_age_support_ratio,F,BIH,23.6
1971,older_persons_to_youth_ratio,_T,BIH,14.8
1971,older_persons_to_youth_ratio,M,BIH,12.8
1971,older_persons_to_youth_ratio,F,BIH,16.9
1981,older_persons_to_youth_ratio,_T,BIH,23.1
1981,older_persons_to_youth_ratio,M,BIH,19.2
1981,older_persons_to_youth_ratio,F,BIH,27.2
1991,older_persons_to_youth_ratio,_T,BIH,35.6
1991,older_persons_to_youth_ratio,M,BIH,27.7
1991,older_persons_to_youth_ratio,F,BIH,43.8
2013,older_persons_to_youth_ratio,_T,BIH,92.3
2013,older_persons_to_youth_ratio,M,BIH,75.0
2013,older_persons_to_youth_ratio,F,BIH,110.6
2013,total_support_ratio,_T,FBIH,40.8
2013,total_support_ratio,M,FBIH,38.4
2013,total_support_ratio,F,FBIH,43.1
2013,young_age_support_ratio,_T,FBIH,22.6
2013,young_age_support_ratio,M,FBIH,23.3
2013,young_age_support_ratio,F,FBIH,22.0
2013,old_age_support_ratio,_T,FBIH,18.1
2013,old_age_support_ratio,M,FBIH,15.1
2013,old_age_support_ratio,F,FBIH,21.1
2013,older_persons_to_youth_ratio,_T,FBIH,80.1
2013,older_persons_to_youth_ratio,M,FBIH,65.0
2013,older_persons_to_youth_ratio,F,FBIH,96.1
2013,total_support_ratio,_T,RS,44.4
2013,total_support_ratio,M,RS,40.6
2013,total_support_ratio,F,RS,48.2
2013,young_age_support_ratio,_T,RS,20.4
2013,young_age_support_ratio,M,RS,20.8
2013,young_age_support_ratio,F,RS,20.1
2013,old_age_support_ratio,_T,RS,24.0
2013,old_age_support_ratio,M,RS,19.8
2013,old_age_support_ratio,F,RS,28.2
2013,older_persons_to_youth_ratio,_T,RS,117.4
2013,older_persons_to_youth_ratio,M,RS,95.6
2013,older_persons_to_youth_ratio,F,RS,140.3
2013,total_support_ratio,_T,BD,43.3
2013,total_support_ratio,M,BD,40.6
2013,total_support_ratio,F,BD,46.0
2013,young_age_support_ratio,_T,BD,22.4
2013,young_age_support_ratio,M,BD,23.3
2013,young_age_support_ratio,F,BD,21.6
2013,old_age_support_ratio,_T,BD,20.8
2013,old_age_support_ratio,M,BD,17.3
2013,old_age_support_ratio,F,BD,24.4
2013,older_persons_to_youth_ratio,_T,BD,92.8
2013,older_persons_to_youth_ratio,M,BD,74.5
2013,older_persons_to_youth_ratio,F,BD,112.7
