Year,SEX,UNIT_MEASURE,Ethnicity_national_affiliation,Value
2013,_T,NUMBER,Bosniak,1769592
2013,_T,NUMBER,Serb,1086733
2013,_T,NUMBER,Croat ,544780
2013,_T,NUMBER,Bosnian,37110
2013,_T,NUMBER,Romani,12583
2013,_T,NUMBER,Muslim,12121
2013,_T,NUMBER,Bosnian_and_Herzegovinian,11406
2013,_T,NUMBER,Albanian,2659
2013,_T,NUMBER,Yugoslav,2570
2013,_T,NUMBER,Ukrainian,2331
2013,_T,NUMBER,Montenegrin,1883
2013,_T,NUMBER,Turk,1108
2013,_T,NUMBER,Slovenian,937
2013,_T,NUMBER,Orthodox,826
2013,_T,NUMBER,Macedonian ,738
2013,_T,NUMBER,Others,10267
2013,_T,NUMBER,Undeclared,27055
2013,_T,NUMBER,Unknown,6460
2013,M,NUMBER,Bosniak,867492
2013,M,NUMBER,Serb,534030
2013,M,NUMBER,Croat ,267789
2013,M,NUMBER,Bosnian,18135
2013,M,NUMBER,Romani,6511
2013,M,NUMBER,Muslim,5888
2013,M,NUMBER,Bosnian_and_Herzegovinian,5663
2013,M,NUMBER,Albanian,1646
2013,M,NUMBER,Yugoslav,1350
2013,M,NUMBER,Ukrainian,1146
2013,M,NUMBER,Montenegrin,953
2013,M,NUMBER,Turk,738
2013,M,NUMBER,Slovenian,366
2013,M,NUMBER,Orthodox,376
2013,M,NUMBER,Macedonian ,351
2013,M,NUMBER,Others,5171
2013,M,NUMBER,Undeclared,11503
2013,M,NUMBER,Unknown,3162
2013,F,NUMBER,Bosniak,902100
2013,F,NUMBER,Serb,552703
2013,F,NUMBER,Croat ,276991
2013,F,NUMBER,Bosnian,18975
2013,F,NUMBER,Romani,6072
2013,F,NUMBER,Muslim,6233
2013,F,NUMBER,Bosnian_and_Herzegovinian,5743
2013,F,NUMBER,Albanian,1013
2013,F,NUMBER,Yugoslav,1220
2013,F,NUMBER,Ukrainian,1185
2013,F,NUMBER,Montenegrin,930
2013,F,NUMBER,Turk,370
2013,F,NUMBER,Slovenian,571
2013,F,NUMBER,Orthodox,450
2013,F,NUMBER,Macedonian ,387
2013,F,NUMBER,Others,5096
2013,F,NUMBER,Undeclared,15552
2013,F,NUMBER,Unknown,3298
