Year,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,UNIT_MEASURE,Value
1971,single_household,NUMBER,82305
1971,2_members,NUMBER,97312
1971,3_members,NUMBER,125680
1971,4_members,NUMBER,174650
1971,5_members,NUMBER,134703
1971,6_members,NUMBER,94479
1971,7_members,NUMBER,60558
1971,8+_members,NUMBER,78858
1981,single_household,NUMBER,97423
1981,2_members,NUMBER,143225
1981,3_members,NUMBER,181500
1981,4_members,NUMBER,264179
1981,5_members,NUMBER,151073
1981,6_members,NUMBER,90453
1981,7_members,NUMBER,48831
1981,8+_members,NUMBER,54005
1991,single_household,NUMBER,130222
1991,2_members,NUMBER,201096
1991,3_members,NUMBER,229788
1991,4_members,NUMBER,347705
1991,5_members,NUMBER,156474
1991,6_members,NUMBER,78561
1991,7_members,NUMBER,33655
1991,8+_members,NUMBER,29597
2013,single_household,NUMBER,217477
2013,2_members,NUMBER,277173
2013,3_members,NUMBER,232161
2013,4_members,NUMBER,238614
2013,5_members,NUMBER,107223
2013,6_members,NUMBER,49856
2013,7_members,NUMBER,18818
2013,8+_members,NUMBER,14230
