Year,SEX,AGE,UNIT_MEASURE,Value
2013,_T,0-14,NUMBER,4525.0
2013,_T,15-19,NUMBER,2886.0
2013,_T,20-29,NUMBER,6398.0
2013,_T,30-49,NUMBER,40196.0
2013,_T,50-59,NUMBER,57495.0
2013,_T,60-64,NUMBER,34559.0
2013,_T,65+,NUMBER,147999.0
2013,_T,0-14,_%,1.538812071
2013,_T,15-19,_%,0.981439036
2013,_T,20-29,_%,2.175761244
2013,_T,30-49,_%,13.66941216
2013,_T,50-59,_%,19.5522652
2013,_T,60-64,_%,11.7524434
2013,_T,65+,_%,50.3298669
2013,M,0-14,NUMBER,2606.0
2013,M,15-19,NUMBER,1641.0
2013,M,20-29,NUMBER,3821.0
2013,M,30-49,NUMBER,25762.0
2013,M,50-59,NUMBER,30653.0
2013,M,60-64,NUMBER,16157.0
2013,M,65+,NUMBER,52335.0
2013,M,0-14,_%,1.959766873
2013,M,15-19,_%,1.234066554
2013,M,20-29,_%,2.873472457
2013,M,30-49,_%,19.37356646
2013,M,50-59,_%,23.05170145
2013,M,60-64,_%,12.15040421
2013,M,65+,_%,39.357022
2013,F,0-14,NUMBER,1919.0
2013,F,15-19,NUMBER,1245.0
2013,F,20-29,NUMBER,2577.0
2013,F,30-49,NUMBER,14434.0
2013,F,50-59,NUMBER,26842.0
2013,F,60-64,NUMBER,18402.0
2013,F,65+,NUMBER,95664.0
2013,F,0-14,_%,1.191311312
2013,F,15-19,_%,0.772893477
2013,F,20-29,_%,1.599796378
2013,F,30-49,_%,8.960597953
2013,F,50-59,_%,16.66345921
2013,F,60-64,_%,11.42392431
2013,F,65+,_%,59.38801736
