Year,SEX,CAUSE_OF_DEATH,UNIT_MEASURE,Value
1999,_T,neoplasms,NUMBER,4591
1999,_T,diseases_of_the_circulatory,NUMBER,15911
1999,_T,diseases_of_the_respiratory,NUMBER,866
1999,_T,diseases_of_the_digestive,NUMBER,709
1999,_T,symptoms_signs_and_abnormal,NUMBER,2552
1999,_T,injuries_poisoning_and_consequences,NUMBER,1022
1999,_T,total,NUMBER,25651
1999,M,neoplasms,NUMBER,2752
1999,M,diseases_of_the_circulatory,NUMBER,7700
1999,M,diseases_of_the_respiratory,NUMBER,498
1999,M,diseases_of_the_digestive,NUMBER,445
1999,M,symptoms_signs_and_abnormal,NUMBER,1347
1999,M,injuries_poisoning_and_consequences,NUMBER,786
1999,M,total,NUMBER,13528
1999,F,neoplasms,NUMBER,1839
1999,F,diseases_of_the_circulatory,NUMBER,8211
1999,F,diseases_of_the_respiratory,NUMBER,368
1999,F,diseases_of_the_digestive,NUMBER,264
1999,F,symptoms_signs_and_abnormal,NUMBER,1205
1999,F,injuries_poisoning_and_consequences,NUMBER,236
1999,F,total,NUMBER,12123
2000,_T,neoplasms,NUMBER,5122
2000,_T,diseases_of_the_circulatory,NUMBER,16283
2000,_T,diseases_of_the_respiratory,NUMBER,805
2000,_T,diseases_of_the_digestive,NUMBER,848
2000,_T,symptoms_signs_and_abnormal,NUMBER,2860
2000,_T,injuries_poisoning_and_consequences,NUMBER,1091
2000,_T,total,NUMBER,27009
2000,M,neoplasms,NUMBER,3144
2000,M,diseases_of_the_circulatory,NUMBER,7810
2000,M,diseases_of_the_respiratory,NUMBER,464
2000,M,diseases_of_the_digestive,NUMBER,518
2000,M,symptoms_signs_and_abnormal,NUMBER,1484
2000,M,injuries_poisoning_and_consequences,NUMBER,812
2000,M,total,NUMBER,14232
2000,F,neoplasms,NUMBER,1978
2000,F,diseases_of_the_circulatory,NUMBER,8473
2000,F,diseases_of_the_respiratory,NUMBER,341
2000,F,diseases_of_the_digestive,NUMBER,330
2000,F,symptoms_signs_and_abnormal,NUMBER,1376
2000,F,injuries_poisoning_and_consequences,NUMBER,279
2000,F,total,NUMBER,12777
2001,_T,infectious_and_parasitic,NUMBER,257
2001,_T,neoplasms,NUMBER,5347
2001,_T,diseases_of_the_blood,NUMBER,20
2001,_T,endocrine_metabolic_and_nutritional,NUMBER,667
2001,_T,mental_and_behavioural_disorders,NUMBER,48
2001,_T,diseases_of_the_nervous,NUMBER,161
2001,_T,diseases_of_the_eye,NUMBER,1
2001,_T,diseases_of_the_circulatory,NUMBER,16328
2001,_T,diseases_of_the_respiratory,NUMBER,745
2001,_T,diseases_of_the_digestive,NUMBER,827
2001,_T,diseases_of_the_skin,NUMBER,17
2001,_T,diseases_of_the_musculoskeletal,NUMBER,14
2001,_T,diseases_of_the_genitourinary,NUMBER,397
2001,_T,pregnancy_childbirth_and_the,NUMBER,1
2001,_T,certain_conditions_originating,NUMBER,188
2001,_T,congenital_malformations_deformations,NUMBER,43
2001,_T,symptoms_signs_and_abnormal,NUMBER,3031
2001,_T,injuries_poisoning_and_consequences,NUMBER,1017
2001,_T,external_causes_of_mortality,NUMBER,261
2001,_T,factors_influencing_health_status,NUMBER,1
2001,_T,unknown,NUMBER,954
2001,_T,total,NUMBER,30325
2001,M,infectious_and_parasitic,NUMBER,157
2001,M,neoplasms,NUMBER,3288
2001,M,diseases_of_the_blood,NUMBER,7
2001,M,endocrine_metabolic_and_nutritional,NUMBER,240
2001,M,mental_and_behavioural_disorders,NUMBER,37
2001,M,diseases_of_the_nervous,NUMBER,79
2001,M,diseases_of_the_eye,NUMBER,1
