Year,UNIT_MEASURE,ADMIN_AREA,Value
2002,NUMBER,BiH,3.0
2002,NUMBER,FBIH,3.0
2003,NUMBER,BiH,3.0
2003,NUMBER,FBIH,3.0
2004,NUMBER,BiH,3.0
2004,NUMBER,FBIH,3.0
2005,NUMBER,BiH,7.0
2005,NUMBER,FBIH,4.0
2005,NUMBER,RS,3.0
2006,NUMBER,BiH,3.0
2006,NUMBER,FBIH,3.0
2007,NUMBER,BiH,4.0
2007,NUMBER,FBIH,4.0
2008,NUMBER,BiH,4.0
2008,NUMBER,FBIH,4.0
2009,NUMBER,BiH,2.0
2009,NUMBER,FBIH,2.0
2010,NUMBER,BiH,6.0
2010,NUMBER,FBIH,3.0
2010,NUMBER,RS,3.0
2011,NUMBER,BiH,7.0
2011,NUMBER,FBIH,5.0
2011,NUMBER,RS,2.0
2012,NUMBER,BiH,4.0
2012,NUMBER,FBIH,3.0
2012,NUMBER,RS,1.0
2013,NUMBER,BiH,7.0
2013,NUMBER,FBIH,4.0
2013,NUMBER,RS,3.0
2014,NUMBER,BiH,8.0
2014,NUMBER,FBIH,6.0
2014,NUMBER,RS,2.0
2015,NUMBER,BiH,6.0
2015,NUMBER,FBIH,4.0
2015,NUMBER,RS,2.0
2016,NUMBER,BiH,7.0
2016,NUMBER,FBIH,4.0
2016,NUMBER,RS,3.0
2017,NUMBER,BiH,3.0
2017,NUMBER,FBIH,1.0
2017,NUMBER,RS,2.0
2018,NUMBER,BiH,12.0
2018,NUMBER,FBIH,7.0
2018,NUMBER,RS,5.0
2019,NUMBER,BiH,4.0
2019,NUMBER,FBIH,4.0
