Year,UNIT_MEASURE,Entity,Value
1999,NUMBER,BiH,352
1999,NUMBER,RS,352
2000,NUMBER,BiH,341
2000,NUMBER,RS,341
2001,NUMBER,BiH,324
2001,NUMBER,RS,324
2002,NUMBER,BiH,313
2002,NUMBER,RS,313
2003,NUMBER,BiH,328
2003,NUMBER,RS,328
2004,NUMBER,BiH,359
2004,NUMBER,RS,359
2005,NUMBER,BiH,399
2005,NUMBER,RS,399
2006,NUMBER,BiH,467
2006,NUMBER,RS,467
2007,NUMBER,BiH,1037
2007,NUMBER,FBiH,500
2007,NUMBER,RS,537
2008,NUMBER,BiH,1083
2008,NUMBER,FBiH,500
2008,NUMBER,RS,583
2009,NUMBER,BiH,1156
2009,NUMBER,FBiH,527
2009,NUMBER,RS,629
2010,NUMBER,BiH,1209
2010,NUMBER,FBiH,554
2010,NUMBER,RS,655
2011,NUMBER,BiH,1179
2011,NUMBER,FBiH,516
2011,NUMBER,RS,663
2012,NUMBER,BiH,1274
2012,NUMBER,FBiH,593
2012,NUMBER,RS,681
2013,NUMBER,BiH,1350
2013,NUMBER,FBiH,665
2013,NUMBER,RS,685
2014,NUMBER,BiH,1356
2014,NUMBER,FBiH,671
2014,NUMBER,RS,685
2015,NUMBER,BiH,1355
2015,NUMBER,FBiH,673
2015,NUMBER,RS,682
2016,NUMBER,BiH,1377
2016,NUMBER,FBiH,676
2016,NUMBER,RS,701
2017,NUMBER,BiH,1404
2017,NUMBER,FBiH,735
2017,NUMBER,RS,669
2018,NUMBER,BiH,1498
2018,NUMBER,FBiH,798
2018,NUMBER,RS,670
2019,NUMBER,BiH,873
2019,NUMBER,FBiH,873
2018,NUMBER,BD,30
