Year,UNIT_MEASURE,QUANTITY,Entity,Value
1997,EUR,total_millions,BiH,3424
1998,EUR,total_millions,BiH,3879
1999,EUR,total_millions,BiH,4399
2000,EUR,total_millions,BiH,4914
2001,EUR,total_millions,BiH,5358
2002,EUR,total_millions,BiH,5957
2003,EUR,total_millions,BiH,6291
2004,EUR,total_millions,BiH,6901
2005,EUR,total_millions,BiH,9025
2006,EUR,total_millions,BiH,10255
2007,EUR,total_millions,BiH,11529
2008,EUR,total_millions,BiH,13048
2009,EUR,total_millions,BiH,12679
2010,EUR,total_millions,BiH,12969
2011,EUR,total_millions,BiH,13412
2012,EUR,total_millions,BiH,13408
2013,EUR,total_millions,BiH,13692
2014,EUR,total_millions,BiH,13989
2015,EUR,total_millions,BiH,14618
2016,EUR,total_millions,BiH,15290
2017,EUR,total_millions,BiH,16043
2018,EUR,total_millions,BiH,17100
2019,EUR,total_millions,BiH,18047
1997,EUR,per_capita,BiH,912
1998,EUR,per_capita,BiH,1062
1999,EUR,per_capita,BiH,1181
2000,EUR,per_capita,BiH,1300
2001,EUR,per_capita,BiH,1411
2002,EUR,per_capita,BiH,1556
2003,EUR,per_capita,BiH,1642
2004,EUR,per_capita,BiH,1796
2005,EUR,per_capita,BiH,2548
2006,EUR,per_capita,BiH,2895
2007,EUR,per_capita,BiH,3255
2008,EUR,per_capita,BiH,3684
2009,EUR,per_capita,BiH,3581
2010,EUR,per_capita,BiH,3664
2011,EUR,per_capita,BiH,3791
2012,EUR,per_capita,BiH,3793
2013,EUR,per_capita,BiH,3878
2014,EUR,per_capita,BiH,3967
2015,EUR,per_capita,BiH,4155
2016,EUR,per_capita,BiH,4355
2017,EUR,per_capita,BiH,4578
2018,NUMBER,per_capita,BiH,4891
2019,NUMBER,per_capita,BiH,5178
