Year,POVERTY_RATE,UNIT_MEASURE,Entity,Value
2004,households_in_poverty,_%,BiH,18.1
2007,households_in_poverty,_%,BiH,18.4
2011,households_in_poverty,_%,BiH,17.2
2015,households_in_poverty,_%,BiH,16.5
2004,population_in_poverty,_%,BiH,18.3
2007,population_in_poverty,_%,BiH,18.2
2011,population_in_poverty,_%,BiH,17.9
2015,population_in_poverty,_%,BiH,16.9
2007,males_in_poverty,_%,BiH,18.3
2011,males_in_poverty,_%,BiH,18.0
2015,males_in_poverty,_%,BiH,17.1
2007,females_in_poverty,_%,BiH,18.1
2011,females_in_poverty,_%,BiH,17.7
2015,females_in_poverty,_%,BiH,16.7
2004,households_in_poverty,_%,FBIH,18.3
2007,households_in_poverty,_%,FBIH,16.3
2011,households_in_poverty,_%,FBIH,16.0
2015,households_in_poverty,_%,FBIH,16.0
2004,population_in_poverty,_%,FBIH,18.8
2007,population_in_poverty,_%,FBIH,17.0
2011,population_in_poverty,_%,FBIH,17.1
2015,population_in_poverty,_%,FBIH,17.1
2007,males_in_poverty,_%,FBIH,17.1
2011,males_in_poverty,_%,FBIH,17.5
2015,males_in_poverty,_%,FBIH,18.8
2007,females_in_poverty,_%,FBIH,16.9
2011,females_in_poverty,_%,FBIH,16.7
2015,females_in_poverty,_%,FBIH,15.9
2004,households_in_poverty,_%,RS,18.3
2007,households_in_poverty,_%,RS,21.7
2011,households_in_poverty,_%,RS,19.6
2015,households_in_poverty,_%,RS,17.4
2004,population_in_poverty,_%,RS,17.8
2007,population_in_poverty,_%,RS,20.1
2011,population_in_poverty,_%,RS,19.5
2015,population_in_poverty,_%,RS,16.4
2007,males_in_poverty,_%,RS,20.2
2011,males_in_poverty,_%,RS,19.1
2015,males_in_poverty,_%,RS,14.5
2007,females_in_poverty,_%,RS,20.1
2011,females_in_poverty,_%,RS,19.8
2015,females_in_poverty,_%,RS,17.6
2004,households_in_poverty,_%,BD,7.8
2007,households_in_poverty,_%,BD,23.6
2011,households_in_poverty,_%,BD,12.2
2015,households_in_poverty,_%,BD,15.9
2004,population_in_poverty,_%,BD,9.5
2007,population_in_poverty,_%,BD,25.8
2011,population_in_poverty,_%,BD,14.7
2015,population_in_poverty,_%,BD,17.6
2007,males_in_poverty,_%,BD,23.4
2011,males_in_poverty,_%,BD,14.1
2015,males_in_poverty,_%,BD,15.3
2007,females_in_poverty,_%,BD,28.2
2011,females_in_poverty,_%,BD,15.3
2015,females_in_poverty,_%,BD,19.0
