Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,_T,Total,Banja Luka,185042
2013,NUMBER,M,Total,Banja Luka,89148
2013,NUMBER,F,Total,Banja Luka,95894
2013,NUMBER,_T,Total,Banovići,22773
2013,NUMBER,M,Total,Banovići,11392
2013,NUMBER,F,Total,Banovići,11381
2013,NUMBER,_T,Total,Berkovići,2114
2013,NUMBER,M,Total,Berkovići,1059
2013,NUMBER,F,Total,Berkovići,1055
2013,NUMBER,_T,Total,Bihać,56261
2013,NUMBER,M,Total,Bihać,27041
2013,NUMBER,F,Total,Bihać,29220
2013,NUMBER,_T,Total,Bijeljina,107715
2013,NUMBER,M,Total,Bijeljina,52827
2013,NUMBER,F,Total,Bijeljina,54888
2013,NUMBER,_T,Total,Bileća,10807
2013,NUMBER,M,Total,Bileća,5454
2013,NUMBER,F,Total,Bileća,5353
2013,NUMBER,_T,Total,Bosanska Krupa,25545
2013,NUMBER,M,Total,Bosanska Krupa,12548
2013,NUMBER,F,Total,Bosanska Krupa,12997
2013,NUMBER,_T,Total,Bosanski Petrovac,7328
2013,NUMBER,M,Total,Bosanski Petrovac,3678
2013,NUMBER,F,Total,Bosanski Petrovac,3650
2013,NUMBER,_T,Total,Bosansko Grahovo,2449
2013,NUMBER,M,Total,Bosansko Grahovo,1287
2013,NUMBER,F,Total,Bosansko Grahovo,1162
2013,NUMBER,_T,Total,Bratunac,20340
2013,NUMBER,M,Total,Bratunac,10091
2013,NUMBER,F,Total,Bratunac,10249
2013,NUMBER,_T,Total,Brčko,83516
2013,NUMBER,M,Total,Brčko,41250
2013,NUMBER,F,Total,Brčko,42266
2013,NUMBER,_T,Total,Breza,14168
2013,NUMBER,M,Total,Breza,6952
2013,NUMBER,F,Total,Breza,7216
2013,NUMBER,_T,Total,Brod,16619
2013,NUMBER,M,Total,Brod,8143
2013,NUMBER,F,Total,Brod,8476
2013,NUMBER,_T,Total,Bugojno,31470
2013,NUMBER,M,Total,Bugojno,15635
2013,NUMBER,F,Total,Bugojno,15835
2013,NUMBER,_T,Total,Busovača,17910
2013,NUMBER,M,Total,Busovača,9134
2013,NUMBER,F,Total,Busovača,8776
2013,NUMBER,_T,Total,Bužim,19340
2013,NUMBER,M,Total,Bužim,9885
2013,NUMBER,F,Total,Bužim,9455
2013,NUMBER,_T,Total,Cazin,66149
2013,NUMBER,M,Total,Cazin,33072
2013,NUMBER,F,Total,Cazin,33077
2013,NUMBER,_T,Total,Sarajevo - Centar,55181
2013,NUMBER,M,Total,Sarajevo - Centar,25369
2013,NUMBER,F,Total,Sarajevo - Centar,29812
2013,NUMBER,_T,Total,Čajniče,4895
2013,NUMBER,M,Total,Čajniče,2474
2013,NUMBER,F,Total,Čajniče,2421
2013,NUMBER,_T,Total,Čapljina,26157
2013,NUMBER,M,Total,Čapljina,12947
2013,NUMBER,F,Total,Čapljina,13210
2013,NUMBER,_T,Total,Čelić,10502
2013,NUMBER,M,Total,Čelić,5256
2013,NUMBER,F,Total,Čelić,5246
2013,NUMBER,_T,Total,Čelinac,15548
2013,NUMBER,M,Total,Čelinac,7728
2013,NUMBER,F,Total,Čelinac,7820
2013,NUMBER,_T,Total,Čitluk,18140
2013,NUMBER,M,Total,Čitluk,8937
2013,NUMBER,F,Total,Čitluk,9203
2013,NUMBER,_T,Total,Derventa,27404
2013,NUMBER,M,Total,Derventa,13397
2013,NUMBER,F,Total,Derventa,14007
2013,NUMBER,_T,Total,Doboj,71441
2013,NUMBER,M,Total,Doboj,34916
2013,NUMBER,F,Total,Doboj,36525
2013,NUMBER,_T,Total,Doboj-Istok,10248
2013,NUMBER,M,Total,Doboj-Istok,5061
2013,NUMBER,F,Total,Doboj-Istok,5187
2013,NUMBER,_T,Total,Doboj-Jug,4137
2013,NUMBER,M,Total,Doboj-Jug,2065
2013,NUMBER,F,Total,Doboj-Jug,2072
2013,NUMBER,_T,Total,Dobretići,1629
2013,NUMBER,M,Total,Dobretići,905
2013,NUMBER,F,Total,Dobretići,724
2013,NUMBER,_T,Total,Domaljevac-Šamac,4771
2013,NUMBER,M,Total,Domaljevac-Šamac,2373
2013,NUMBER,F,Total,Domaljevac-Šamac,2398
2013,NUMBER,_T,Total,Donji Vakuf,13985
2013,NUMBER,M,Total,Donji Vakuf,6922
2013,NUMBER,F,Total,Donji Vakuf,7063
2013,NUMBER,_T,Total,Donji Žabar,3809
2013,NUMBER,M,Total,Donji Žabar,1920
2013,NUMBER,F,Total,Donji Žabar,1889
2013,NUMBER,_T,Total,Drvar,7036
2013,NUMBER,M,Total,Drvar,3473
2013,NUMBER,F,Total,Drvar,3563
2013,NUMBER,_T,Total,Foča - FBiH,1933
2013,NUMBER,M,Total,Foča - FBiH,998
2013,NUMBER,F,Total,Foča - FBiH,935
2013,NUMBER,_T,Total,Foča - RS,18288
2013,NUMBER,M,Total,Foča - RS,9236
2013,NUMBER,F,Total,Foča - RS,9052
2013,NUMBER,_T,Total,Fojnica,12356
2013,NUMBER,M,Total,Fojnica,6197
