Year,UNIT_MEASURE,SEX,AGE,ENTITY,Value
2013,NUMBER,_T,0,FBIH,21718
2013,NUMBER,_T,1,FBIH,22690
2013,NUMBER,_T,2,FBIH,22691
2013,NUMBER,_T,3,FBIH,23664
2013,NUMBER,_T,4,FBIH,24080
2013,NUMBER,_T,5,FBIH,23892
2013,NUMBER,_T,6,FBIH,22901
2013,NUMBER,_T,7,FBIH,22965
2013,NUMBER,_T,8,FBIH,23147
2013,NUMBER,_T,9,FBIH,23147
2013,NUMBER,_T,10,FBIH,23884
2013,NUMBER,_T,11,FBIH,24043
2013,NUMBER,_T,12,FBIH,24989
2013,NUMBER,_T,13,FBIH,25785
2013,NUMBER,_T,14,FBIH,27352
2013,NUMBER,_T,15,FBIH,30464
2013,NUMBER,_T,16,FBIH,35091
2013,NUMBER,_T,17,FBIH,35286
2013,NUMBER,_T,18,FBIH,33903
2013,NUMBER,_T,19,FBIH,27137
2013,NUMBER,_T,20,FBIH,25325
