Year,SEX,Entity,UNIT_MEASURE,Value
1998,_T,BiH,Age,66.1
1999,_T,BiH,Age,66.6
2000,_T,BiH,Age,66.8
2001,_T,BiH,Age,67.2
2002,_T,BiH,Age,67.8
2003,_T,BiH,Age,68.4
2004,_T,BiH,Age,68.9
2005,_T,BiH,Age,69.3
2006,_T,BiH,Age,69.4
2007,_T,BiH,Age,69.6
2008,_T,BiH,Age,70.2
2009,_T,BiH,Age,70.8
2010,_T,BiH,Age,71.6
2011,_T,BiH,Age,72.1
2012,_T,BiH,Age,72.5
2013,_T,BiH,Age,72.7
2014,_T,BiH,Age,73.0
2015,_T,BiH,Age,73.4
2016,_T,BiH,Age,73.4
2017,_T,BiH,Age,73.9
2018,_T,BiH,Age,74.1
2019,_T,BiH,Age,74.1
2003,M,BiH,Age,31.6
2004,M,BiH,Age,48.0
2009,M,BiH,Age,63.3
2010,M,BiH,Age,64.0
2011,M,BiH,Age,64.2
2012,M,BiH,Age,64.6
2013,M,BiH,Age,65.0
2014,M,BiH,Age,65.8
2015,M,BiH,Age,66.3
2016,M,BiH,Age,66.8
2017,M,BiH,Age,66.8
2018,M,BiH,Age,66.9
2019,M,BiH,Age,67.4
1961,M,BiH,Age,68.1
1971,M,BiH,Age,68.9
1981,M,BiH,Age,69.4
1991,M,BiH,Age,69.8
1996,M,BiH,Age,70.0
1997,M,BiH,Age,70.4
1998,M,BiH,Age,70.7
1999,M,BiH,Age,70.7
2000,M,BiH,Age,71.2
2001,M,BiH,Age,71.4
2002,M,BiH,Age,71.5
2003,F,BiH,Age,34.5
2004,F,BiH,Age,51.6
2009,F,BiH,Age,69.2
2010,F,BiH,Age,69.5
2011,F,BiH,Age,69.7
2012,F,BiH,Age,70.2
2013,F,BiH,Age,70.7
2014,F,BiH,Age,71.2
2015,F,BiH,Age,71.7
2016,F,BiH,Age,72.2
2017,F,BiH,Age,72.2
2018,F,BiH,Age,72.5
2019,F,BiH,Age,73.3
2003,F,BiH,Age,73.6
2004,F,BiH,Age,74.5
2005,F,BiH,Age,75.0
2006,F,BiH,Age,75.3
2007,F,BiH,Age,75.5
2008,F,BiH,Age,75.8
2009,F,BiH,Age,76.1
2010,F,BiH,Age,76.2
2011,F,BiH,Age,76.5
2012,F,BiH,Age,76.8
2013,F,BiH,Age,76.9
1997,_T,FBIH,Age,64.3
1998,_T,FBIH,Age,63.8
1999,_T,FBIH,Age,65.7
2000,_T,FBIH,Age,66.5
2001,_T,FBIH,Age,67.1
2002,_T,FBIH,Age,67.3
2003,_T,FBIH,Age,68.2
2004,_T,FBIH,Age,68.6
2005,_T,FBIH,Age,69.1
2006,_T,FBIH,Age,69.0
2007,_T,FBIH,Age,69.3
2008,_T,FBIH,Age,69.5
2009,_T,FBIH,Age,70.2
2010,_T,FBIH,Age,70.5
2011,_T,FBIH,Age,70.8
2012,_T,FBIH,Age,71.3
2013,_T,FBIH,Age,71.6
2014,_T,FBIH,Age,72.0
2015,_T,FBIH,Age,72.3
2016,_T,FBIH,Age,72.3
2017,_T,FBIH,Age,72.5
2018,_T,FBIH,Age,73.0
2019,_T,FBIH,Age,73.0
2008,M,FBIH,Age,61.6
2009,M,FBIH,Age,61.3
2010,M,FBIH,Age,63.2
2011,M,FBIH,Age,64.1
2012,M,FBIH,Age,64.5
2013,M,FBIH,Age,64.6
2014,M,FBIH,Age,65.5
2015,M,FBIH,Age,66.0
2016,M,FBIH,Age,66.4
2017,M,FBIH,Age,66.5
2018,M,FBIH,Age,66.8
2019,M,FBIH,Age,66.7
1961,M,FBIH,Age,67.5
1971,M,FBIH,Age,67.7
1981,M,FBIH,Age,68.2
1991,M,FBIH,Age,68.9
1996,M,FBIH,Age,69.0
1997,M,FBIH,Age,69.4
1998,M,FBIH,Age,69.6
1999,M,FBIH,Age,69.7
2000,M,FBIH,Age,70.1
2001,M,FBIH,Age,70.5
2002,M,FBIH,Age,70.5
2008,F,FBIH,Age,67.5
2009,F,FBIH,Age,66.8
2010,F,FBIH,Age,68.5
2011,F,FBIH,Age,69.3
2012,F,FBIH,Age,69.9
2013,F,FBIH,Age,70.3
2014,F,FBIH,Age,71.1
2015,F,FBIH,Age,71.3
2016,F,FBIH,Age,72.0
2017,F,FBIH,Age,71.7
2018,F,FBIH,Age,72.0
2019,F,FBIH,Age,72.5
2003,F,FBIH,Age,73.0
