Year,ADMIN_AREA,UNIT_MEASURE,Value
1971,BiH,number_birth_rate,9.4
1981,BiH,number_birth_rate,8.9
1991,BiH,number_birth_rate,6.5
1996,BiH,number_birth_rate,5.8
1997,BiH,number_birth_rate,6.2
1998,BiH,number_birth_rate,6.1
1999,BiH,number_birth_rate,6.0
2000,BiH,number_birth_rate,5.8
2001,BiH,number_birth_rate,5.3
2002,BiH,number_birth_rate,5.3
2003,BiH,number_birth_rate,5.4
2004,BiH,number_birth_rate,5.8
2005,BiH,number_birth_rate,5.6
2006,BiH,number_birth_rate,5.6
2007,BiH,number_birth_rate,6.12
2008,BiH,number_birth_rate,5.77
2009,BiH,number_birth_rate,5.37
2010,BiH,number_birth_rate,5.08
2011,BiH,number_birth_rate,4.99
2012,BiH,number_birth_rate,4.75
2013,BiH,number_birth_rate,5.0
2014,BiH,number_birth_rate,5.3
2015,BiH,number_birth_rate,5.6
2016,BiH,number_birth_rate,5.5
2017,BiH,number_birth_rate,5.7
2018,BiH,number_birth_rate,5.7
2019,BiH,number_birth_rate,5.4
1996,FBIH,number_birth_rate,6.5
1997,FBIH,number_birth_rate,6.8
1998,FBIH,number_birth_rate,6.7
1999,FBIH,number_birth_rate,6.3
2000,FBIH,number_birth_rate,6.0
2001,FBIH,number_birth_rate,5.5
2002,FBIH,number_birth_rate,5.6
2003,FBIH,number_birth_rate,5.6
2004,FBIH,number_birth_rate,5.9
2005,FBIH,number_birth_rate,5.8
2006,FBIH,number_birth_rate,5.6
2007,FBIH,number_birth_rate,6.4
2008,FBIH,number_birth_rate,6.4
2009,FBIH,number_birth_rate,5.9
2010,FBIH,number_birth_rate,5.6
2011,FBIH,number_birth_rate,5.4
2012,FBIH,number_birth_rate,5.2
2013,FBIH,number_birth_rate,4.9
2014,FBIH,number_birth_rate,5.4
2015,FBIH,number_birth_rate,5.9
2016,FBIH,number_birth_rate,5.8
2017,FBIH,number_birth_rate,5.9
2018,FBIH,number_birth_rate,5.9
2019,FBIH,number_birth_rate,5.6
1996,RS,number_birth_rate,5.2
1997,RS,number_birth_rate,5.8
1998,RS,number_birth_rate,6.0
1999,RS,number_birth_rate,6.6
2000,RS,number_birth_rate,6.4
2001,RS,number_birth_rate,6.0
2002,RS,number_birth_rate,6.1
2003,RS,number_birth_rate,5.7
2004,RS,number_birth_rate,6.0
2005,RS,number_birth_rate,5.7
2006,RS,number_birth_rate,5.8
2007,RS,number_birth_rate,6.0
2008,RS,number_birth_rate,5.43
2009,RS,number_birth_rate,5.2
2010,RS,number_birth_rate,4.9
2011,RS,number_birth_rate,4.94
2012,RS,number_birth_rate,4.54
2013,RS,number_birth_rate,4.67
2014,RS,number_birth_rate,4.99
2015,RS,number_birth_rate,5.07
2016,RS,number_birth_rate,4.81
2017,RS,number_birth_rate,5.2
2018,RS,number_birth_rate,5.2
2019,RS,number_birth_rate,5.1
2006,BD,number_birth_rate,8.9
2007,BD,number_birth_rate,9.41
2008,BD,number_birth_rate,8.98
2009,BD,number_birth_rate,8.85
2010,BD,number_birth_rate,8.2
2011,BD,number_birth_rate,8.1
2012,BD,number_birth_rate,9.29
2013,BD,number_birth_rate,7.5
2014,BD,number_birth_rate,7.9
2015,BD,number_birth_rate,8.0
2016,BD,number_birth_rate,7.8
2017,BD,number_birth_rate,8.6
2018,BD,number_birth_rate,8.0
2019,BD,number_birth_rate,8.5
