Year,Entity,SEX,INFANT_MORTALITY,UNIT_MEASURE,Value
1971,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,22.0
1981,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,17.2
1991,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,14.9
1996,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,14.01468
1997,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,12.41812509
1998,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,10.97607039
1999,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,10.14977393
2000,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,9.680762328
2001,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.609300846
2002,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,9.385449743
2003,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.60628938
2004,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.197519274
2005,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.728853207
2006,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.492727647
2007,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.827249889
2008,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.876170412
2009,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.483357453
2010,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.442376521
2011,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,5.784162711
2012,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,5.438289243
2013,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,5.898839786
2014,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,5.153957975
2015,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.113537118
2016,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,5.897359441
2017,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.490066225
2018,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.210336987
2019,BiH,_T,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.699576869
1996,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,14.75530781
1997,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,14.58670989
1998,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,12.89220918
1999,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,11.18506193
2000,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,10.7806145
2001,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,8.195876289
2002,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,10.43886976
2003,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,8.40152755
2004,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,8.327358959
2005,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.473169635
2006,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,9.004388215
2007,BiH,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.528230866
