Year,Entity,UNIT_MEASURE,Value
1971,BiH,NUMBER,9.4
1981,BiH,NUMBER,8.9
1991,BiH,NUMBER,6.5
1996,BiH,NUMBER,5.8
1997,BiH,NUMBER,6.2
1998,BiH,NUMBER,6.1
1999,BiH,NUMBER,6.0
2000,BiH,NUMBER,5.8
2001,BiH,NUMBER,5.3
2002,BiH,NUMBER,5.3
2003,BiH,NUMBER,5.4
2004,BiH,NUMBER,5.8
2005,BiH,NUMBER,5.6
2006,BiH,NUMBER,5.6
2007,BiH,NUMBER,6.12
2008,BiH,NUMBER,5.77
2009,BiH,NUMBER,5.37
2010,BiH,NUMBER,5.08
2011,BiH,NUMBER,4.99
2012,BiH,NUMBER,4.75
2013,BiH,NUMBER,5.0
2014,BiH,NUMBER,5.3
2015,BiH,NUMBER,5.6
2016,BiH,NUMBER,5.5
2017,BiH,NUMBER,5.7
2018,BiH,NUMBER,5.7
2019,BiH,NUMBER,5.4
1996,FBIH,NUMBER,6.5
1997,FBIH,NUMBER,6.8
1998,FBIH,NUMBER,6.7
1999,FBIH,NUMBER,6.3
2000,FBIH,NUMBER,6.0
2001,FBIH,NUMBER,5.5
2002,FBIH,NUMBER,5.6
2003,FBIH,NUMBER,5.6
2004,FBIH,NUMBER,5.9
2005,FBIH,NUMBER,5.8
2006,FBIH,NUMBER,5.6
2007,FBIH,NUMBER,6.4
2008,FBIH,NUMBER,6.4
2009,FBIH,NUMBER,5.9
2010,FBIH,NUMBER,5.6
2011,FBIH,NUMBER,5.4
2012,FBIH,NUMBER,5.2
2013,FBIH,NUMBER,4.9
2014,FBIH,NUMBER,5.4
2015,FBIH,NUMBER,5.9
2016,FBIH,NUMBER,5.8
2017,FBIH,NUMBER,5.9
2018,FBIH,NUMBER,5.9
2019,FBIH,NUMBER,5.6
1996,RS,NUMBER,5.2
1997,RS,NUMBER,5.8
1998,RS,NUMBER,6.0
1999,RS,NUMBER,6.6
2000,RS,NUMBER,6.4
2001,RS,NUMBER,6.0
2002,RS,NUMBER,6.1
2003,RS,NUMBER,5.7
2004,RS,NUMBER,6.0
2005,RS,NUMBER,5.7
2006,RS,NUMBER,5.8
2007,RS,NUMBER,6.0
2008,RS,NUMBER,5.43
2009,RS,NUMBER,5.2
2010,RS,NUMBER,4.9
2011,RS,NUMBER,4.94
2012,RS,NUMBER,4.54
2013,RS,NUMBER,4.67
2014,RS,NUMBER,4.99
2015,RS,NUMBER,5.07
2016,RS,NUMBER,4.81
2017,RS,NUMBER,5.2
2018,RS,NUMBER,5.2
2019,RS,NUMBER,5.1
2006,BD,NUMBER,8.9
2007,BD,NUMBER,9.41
2008,BD,NUMBER,8.98
2009,BD,NUMBER,8.85
2010,BD,NUMBER,8.2
2011,BD,NUMBER,8.1
2012,BD,NUMBER,9.29
2013,BD,NUMBER,7.5
2014,BD,NUMBER,7.9
2015,BD,NUMBER,8.0
2016,BD,NUMBER,7.8
2017,BD,NUMBER,8.6
2018,BD,NUMBER,8.0
2019,BD,NUMBER,8.5
