Year,SEX,UNIT_MEASURE,Value
2020,_T,_%,10.9
2025,_T,_%,11.9
2030,_T,_%,13.1
2035,_T,_%,14.5
2040,_T,_%,16.0
2045,_T,_%,17.5
2050,_T,_%,18.8
2055,_T,_%,19.8
2060,_T,_%,20.7
2065,_T,_%,21.5
2070,_T,_%,22.2
2020,M,_%,11.4
2025,M,_%,12.5
2030,M,_%,13.8
2035,M,_%,15.3
2040,M,_%,16.9
2045,M,_%,18.5
2050,M,_%,19.8
2055,M,_%,20.9
2060,M,_%,21.9
2065,M,_%,22.6
2070,M,_%,23.1
2020,F,_%,10.52
2025,F,_%,11.42
2030,F,_%,12.48
2035,F,_%,13.75
2040,F,_%,15.19
2045,F,_%,16.66
2050,F,_%,17.9
2055,F,_%,18.93
2060,F,_%,19.79
2065,F,_%,20.64
2070,F,_%,21.5
