Year,SEX,UNIT_MEASURE,Religion,Value
2013,_T,NUMBER,Islam,1790454
2013,_T,NUMBER,Orthodox,1085760
2013,_T,NUMBER,Catholic,536333
2013,_T,NUMBER,Muslim,22068
2013,_T,NUMBER,Roman_Catholic,6799
2013,_T,NUMBER,Serbian,3898
2013,_T,NUMBER,jehovah_s_witnesses,1171
2013,_T,NUMBER,Greek_Catholic,982
2013,_T,NUMBER,Protestant,655
2013,_T,NUMBER,Romani,612
2013,_T,NUMBER,Christian,567
2013,_T,NUMBER,Bosniak,411
2013,_T,NUMBER,Croat,275
2013,_T,NUMBER,Adventist,193
2013,_T,NUMBER,Bosnian,154
2013,_T,NUMBER,Agnostic,10816
2013,_T,NUMBER,Atheist,27853
2013,_T,NUMBER,Others,2870
2013,_T,NUMBER,Undeclared,32700
2013,_T,NUMBER,Unknown,6588
2013,M,NUMBER,Islam,878336
2013,M,NUMBER,Orthodox,532426
2013,M,NUMBER,Catholic,262423
2013,M,NUMBER,Muslim,11259
2013,M,NUMBER,Roman_Catholic,3426
2013,M,NUMBER,Serbian,1812
2013,M,NUMBER,jehovah_s_witnesses,437
2013,M,NUMBER,Greek_Catholic,499
2013,M,NUMBER,Protestant,312
2013,M,NUMBER,Romani,334
2013,M,NUMBER,Christian,296
2013,M,NUMBER,Bosniak,207
2013,M,NUMBER,Croat,125
2013,M,NUMBER,Adventist,80
2013,M,NUMBER,Bosnian,88
2013,M,NUMBER,Agnostic,5142
2013,M,NUMBER,Atheist,15119
2013,M,NUMBER,Others,1604
2013,M,NUMBER,Undeclared,15086
2013,M,NUMBER,Unknown,3259
2013,F,NUMBER,Islam,912118
2013,F,NUMBER,Orthodox,553334
2013,F,NUMBER,Catholic,273910
2013,F,NUMBER,Muslim,10809
2013,F,NUMBER,Roman_Catholic,3373
2013,F,NUMBER,Serbian,2086
2013,F,NUMBER,jehovah_s_witnesses,734
2013,F,NUMBER,Greek_Catholic,483
2013,F,NUMBER,Protestant,343
2013,F,NUMBER,Romani,278
2013,F,NUMBER,Christian,271
2013,F,NUMBER,Bosniak,204
2013,F,NUMBER,Croat,150
2013,F,NUMBER,Adventist,113
2013,F,NUMBER,Bosnian,66
2013,F,NUMBER,Agnostic,5674
2013,F,NUMBER,Atheist,12734
2013,F,NUMBER,Others,1266
2013,F,NUMBER,Undeclared,17614
2013,F,NUMBER,Unknown,3329
