Year,SOURCE,UNIT_MEASURE,Value
2013,piped_water_in_the_dwelling_unit_connected_to_community_scheme,NUMBER,740276.0
2013,piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,NUMBER,223814.0
2013,piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,NUMBER,138002.0
2013,drinking_fountain_connected_to_community_scheme,NUMBER,2358.0
2013,drinking_fountain_connected_to_own_pump_water_scheme,NUMBER,2033.0
2013,street_drinking_fountain,NUMBER,2393.0
2013,dug_well,NUMBER,9878.0
2013,drilled_(pipe)_well,NUMBER,1737.0
2013,artesian_well,NUMBER,670.0
2013,regulated_water_spring,NUMBER,3662.0
2013,container_(water_tank)_,NUMBER,1101.0
2013,bottled_water_from_shop,NUMBER,1098.0
2013,other,NUMBER,6470.0
2013,total,NUMBER,113349200.0
2013,piped_water_in_the_dwelling_unit_connected_to_community_scheme,_%,65.30932728
2013,piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,_%,19.74552974
2013,piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,_%,12.17494257
2013,drinking_fountain_connected_to_community_scheme,_%,0.208029699
2013,drinking_fountain_connected_to_own_pump_water_scheme,_%,0.179357243
2013,street_drinking_fountain,_%,0.211117502
2013,dug_well,_%,0.87146623
2013,drilled_(pipe)_well,_%,0.153243252
2013,artesian_well,_%,0.059109372
2013,regulated_water_spring,_%,0.323072417
2013,container_(water_tank)_,_%,0.09713346
2013,bottled_water_from_shop,_%,0.096868791
2013,other,_%,0.570802441
2013,total,_%,100.0
2013,public_sewage,NUMBER,542792.0
2013,closed_septic_tank,NUMBER,332937.0
2013,closed_septic_tank_with_overflow,NUMBER,98294.0
2013,other_arrangements,NUMBER,122568.0
2013,no_sewage,NUMBER,36901.0
2013,total,NUMBER,1133492.0
2013,public_sewage,_%,47.88670763
2013,closed_septic_tank,_%,29.37268194
2013,closed_septic_tank_with_overflow,_%,8.67178595
2013,other_arrangements,_%,10.81330967
2013,no_sewage,_%,3.255514816
2013,total,_%,100.0
2013,flush_toilet,NUMBER,1458826.0
2013,no_flush_toilet,NUMBER,19751.0
2013,no_toilet,NUMBER,129421.0
2013,total,NUMBER,1607998.0
2013,flush_toilet,_%,90.72312279
2013,no_flush_toilet,_%,1.228297548
2013,no_toilet,_%,8.048579662
2013,total,_%,100.0
