Year,UNIT_MEASURE,SEX,AGE,Value
2013,NUMBER,_T,_ALL,89794
2013,NUMBER,M,_ALL,12237
2013,NUMBER,F,_ALL,77557
2013,NUMBER,_T, 10-14,579
2013,NUMBER,M, 10-14,318
2013,NUMBER,F, 10-14,261
2013,NUMBER,_T, 15-19,763
2013,NUMBER,M, 15-19,408
2013,NUMBER,F, 15-19,355
2013,NUMBER,_T, 20-24,825
2013,NUMBER,M, 20-24,419
2013,NUMBER,F, 20-24,406
2013,NUMBER,_T, 25-29,1025
2013,NUMBER,M, 25-29,539
2013,NUMBER,F, 25-29,486
2013,NUMBER,_T, 30-34,1082
2013,NUMBER,M, 30-34,551
2013,NUMBER,F, 30-34,531
2013,NUMBER,_T, 35-39,1032
2013,NUMBER,M, 35-39,525
2013,NUMBER,F, 35-39,507
2013,NUMBER,_T,40-44,1143
2013,NUMBER,M,40-44,519
2013,NUMBER,F,40-44,624
2013,NUMBER,_T, 45-49,1533
2013,NUMBER,M, 45-49,632
2013,NUMBER,F, 45-49,901
2013,NUMBER,_T, 50-54,2532
2013,NUMBER,M, 50-54,679
2013,NUMBER,F, 50-54,1853
2013,NUMBER,_T, 55-59,4132
2013,NUMBER,M, 55-59,764
2013,NUMBER,F, 55-59,3368
2013,NUMBER,_T, 60-64,6736
2013,NUMBER,M, 60-64,771
2013,NUMBER,F, 60-64,5965
2013,NUMBER,_T, 65-69,9306
2013,NUMBER,M, 65-69,863
2013,NUMBER,F, 65-69,8443
2013,NUMBER,_T, 70-74,16476
2013,NUMBER,M, 70-74,1311
2013,NUMBER,F, 70-74,15165
2013,NUMBER,_T, 75+,42630
2013,NUMBER,M, 75+,3938
2013,NUMBER,F, 75+,38692
