Year,UNIT_MEASURE,school_year_beginning,Type_of_school,SEX,Value
2013,NUMBER,2011/2012,_T,_T,163284
2013,NUMBER,2012/2013,_T,_T,166662
2013,NUMBER,2013/2014,_T,_T,156350
2013,NUMBER,2014/2015,_T,_T,143881
2013,NUMBER,2015/2016,_T,_T,133228
2013,NUMBER,2016/2017,_T,_T,126824
2013,NUMBER,2017/2018,_T,_T,124148
2013,NUMBER,2018/2019,_T,_T,117475
2013,NUMBER,2019/2020,_T,_T,112796
2013,NUMBER,2020/2021,_T,_T,110404
2013,NUMBER,2011/2012,gymnasium,_T,41081
2013,NUMBER,2012/2013,gymnasium,_T,42225
2013,NUMBER,2013/2014,gymnasium,_T,40065
2013,NUMBER,2014/2015,gymnasium,_T,37132
2013,NUMBER,2015/2016,gymnasium,_T,33321
2013,NUMBER,2016/2017,gymnasium,_T,30615
2013,NUMBER,2017/2018,gymnasium,_T,29591
2013,NUMBER,2018/2019,gymnasium,_T,26731
2013,NUMBER,2019/2020,gymnasium,_T,24817
2013,NUMBER,2020/2021,gymnasium,_T,23867
2013,NUMBER,2011/2012,technical_schools,_T,83704
2013,NUMBER,2012/2013,technical_schools,_T,86539
2013,NUMBER,2013/2014,technical_schools,_T,82743
2013,NUMBER,2014/2015,technical_schools,_T,77388
2013,NUMBER,2015/2016,technical_schools,_T,72109
2013,NUMBER,2016/2017,technical_schools,_T,68743
2013,NUMBER,2017/2018,technical_schools,_T,67895
2013,NUMBER,2018/2019,technical_schools,_T,64706
2013,NUMBER,2019/2020,technical_schools,_T,62846
2013,NUMBER,2020/2021,technical_schools,_T,61811
2013,NUMBER,2011/2012,art_schools,_T,1514
2013,NUMBER,2012/2013,art_schools,_T,1520
2013,NUMBER,2013/2014,art_schools,_T,1445
2013,NUMBER,2014/2015,art_schools,_T,1291
2013,NUMBER,2015/2016,art_schools,_T,1216
2013,NUMBER,2016/2017,art_schools,_T,1203
2013,NUMBER,2017/2018,art_schools,_T,1154
2013,NUMBER,2018/2019,art_schools,_T,1166
2013,NUMBER,2019/2020,art_schools,_T,1139
2013,NUMBER,2020/2021,art_schools,_T,1151
2013,NUMBER,2011/2012,religion_schools,_T,2095
2013,NUMBER,2012/2013,religion_schools,_T,2266
2013,NUMBER,2013/2014,religion_schools,_T,2258
2013,NUMBER,2014/2015,religion_schools,_T,2222
2013,NUMBER,2015/2016,religion_schools,_T,2189
2013,NUMBER,2016/2017,religion_schools,_T,2227
2013,NUMBER,2017/2018,religion_schools,_T,2309
2013,NUMBER,2018/2019,religion_schools,_T,2245
2013,NUMBER,2019/2020,religion_schools,_T,2197
2013,NUMBER,2020/2021,religion_schools,_T,2196
2013,NUMBER,2011/2012,vocational_schools,_T,34479
2013,NUMBER,2012/2013,vocational_schools,_T,33672
2013,NUMBER,2013/2014,vocational_schools,_T,29414
2013,NUMBER,2014/2015,vocational_schools,_T,25463
2013,NUMBER,2015/2016,vocational_schools,_T,23995
2013,NUMBER,2016/2017,vocational_schools,_T,23642
2013,NUMBER,2017/2018,vocational_schools,_T,22819
2013,NUMBER,2018/2019,vocational_schools,_T,22280
2013,NUMBER,2019/2020,vocational_schools,_T,21481
2013,NUMBER,2020/2021,vocational_schools,_T,21054
2013,NUMBER,2011/2012,high_schools_for_children_with_special_needs,_T,411
2013,NUMBER,2012/2013,high_schools_for_children_with_special_needs,_T,440
2013,NUMBER,2013/2014,high_schools_for_children_with_special_needs,_T,425
2013,NUMBER,2014/2015,high_schools_for_children_with_special_needs,_T,385
2013,NUMBER,2015/2016,high_schools_for_children_with_special_needs,_T,398
2013,NUMBER,2016/2017,high_schools_for_children_with_special_needs,_T,394
2013,NUMBER,2017/2018,high_schools_for_children_with_special_needs,_T,380
2013,NUMBER,2018/2019,high_schools_for_children_with_special_needs,_T,347
2013,NUMBER,2019/2020,high_schools_for_children_with_special_needs,_T,316
2013,NUMBER,2020/2021,high_schools_for_children_with_special_needs,_T,325
2013,NUMBER,2011/2012,_T,M,82745
2013,NUMBER,2012/2013,_T,M,84420
2013,NUMBER,2013/2014,_T,M,78882
2013,NUMBER,2014/2015,_T,M,72095
2013,NUMBER,2015/2016,_T,M,66708
2013,NUMBER,2016/2017,_T,M,63232
2013,NUMBER,2017/2018,_T,M,61934
2013,NUMBER,2018/2019,_T,M,58821
2013,NUMBER,2019/2020,_T,M,56328
2013,NUMBER,2020/2021,_T,M,55068
2013,NUMBER,2011/2012,gymnasium,M,15329
2013,NUMBER,2012/2013,gymnasium,M,15779
2013,NUMBER,2013/2014,gymnasium,M,14829
2013,NUMBER,2014/2015,gymnasium,M,13802
2013,NUMBER,2015/2016,gymnasium,M,12424
2013,NUMBER,2016/2017,gymnasium,M,11379
2013,NUMBER,2017/2018,gymnasium,M,10929
2013,NUMBER,2018/2019,gymnasium,M,9694
2013,NUMBER,2019/2020,gymnasium,M,8899
2013,NUMBER,2020/2021,gymnasium,M,8451
2013,NUMBER,2011/2012,technical_schools,M,41624
2013,NUMBER,2012/2013,technical_schools,M,43010
2013,NUMBER,2013/2014,technical_schools,M,41216
2013,NUMBER,2014/2015,technical_schools,M,38340
2013,NUMBER,2015/2016,technical_schools,M,35563
2013,NUMBER,2016/2017,technical_schools,M,33308
2013,NUMBER,2017/2018,technical_schools,M,32926
2013,NUMBER,2018/2019,technical_schools,M,31248
2013,NUMBER,2019/2020,technical_schools,M,30030
2013,NUMBER,2020/2021,technical_schools,M,29382
2013,NUMBER,2011/2012,art_schools,M,657
2013,NUMBER,2012/2013,art_schools,M,645
2013,NUMBER,2013/2014,art_schools,M,581
2013,NUMBER,2014/2015,art_schools,M,512
2013,NUMBER,2015/2016,art_schools,M,471
2013,NUMBER,2016/2017,art_schools,M,454
2013,NUMBER,2017/2018,art_schools,M,432
2013,NUMBER,2018/2019,art_schools,M,447
2013,NUMBER,2019/2020,art_schools,M,403
2013,NUMBER,2020/2021,art_schools,M,411
2013,NUMBER,2011/2012,religion_schools,M,1089
2013,NUMBER,2012/2013,religion_schools,M,1138
2013,NUMBER,2013/2014,religion_schools,M,1149
2013,NUMBER,2014/2015,religion_schools,M,1106
2013,NUMBER,2015/2016,religion_schools,M,1070
2013,NUMBER,2016/2017,religion_schools,M,1099
2013,NUMBER,2017/2018,religion_schools,M,1121
2013,NUMBER,2018/2019,religion_schools,M,1075
2013,NUMBER,2019/2020,religion_schools,M,1053
2013,NUMBER,2020/2021,religion_schools,M,1027
2013,NUMBER,2011/2012,vocational_schools,M,23787
2013,NUMBER,2012/2013,vocational_schools,M,23567
2013,NUMBER,2013/2014,vocational_schools,M,20832
2013,NUMBER,2014/2015,vocational_schools,M,18088
2013,NUMBER,2015/2016,vocational_schools,M,16937
2013,NUMBER,2016/2017,vocational_schools,M,16746
2013,NUMBER,2017/2018,vocational_schools,M,16292
2013,NUMBER,2018/2019,vocational_schools,M,16137
2013,NUMBER,2019/2020,vocational_schools,M,15739
2013,NUMBER,2020/2021,vocational_schools,M,15588
2013,NUMBER,2011/2012,high_schools_for_children_with_special_needs,M,259
