Year,UNIT_MEASURE,QUANTITY,Entity,Value
1997,BAM,total_millions,BiH,6752
1998,BAM,total_millions,BiH,7650
1999,BAM,total_millions,BiH,8604
2000,BAM,total_millions,BiH,9611
2001,BAM,total_millions,BiH,10480
2002,BAM,total_millions,BiH,11651
2003,BAM,total_millions,BiH,12303
2004,BAM,total_millions,BiH,13497
2005,BAM,total_millions,BiH,17649
2006,BAM,total_millions,BiH,20056
2007,BAM,total_millions,BiH,22548
2008,BAM,total_millions,BiH,25519
2009,BAM,total_millions,BiH,24799
2010,BAM,total_millions,BiH,25365
2011,BAM,total_millions,BiH,26231
2012,BAM,total_millions,BiH,26223
2013,BAM,total_millions,BiH,26779
2014,BAM,total_millions,BiH,27358
2015,BAM,total_millions,BiH,28589
2016,BAM,total_millions,BiH,29905
2017,BAM,total_millions,BiH,31377
2018,BAM,total_millions,BiH,33445
2019,BAM,total_millions,BiH,35295
1997,BAM,total_millions,FBIH,4943
1998,BAM,total_millions,FBIH,5606
1999,BAM,total_millions,FBIH,6142
2000,BAM,total_millions,FBIH,6723
2001,BAM,total_millions,FBIH,7274
2002,BAM,total_millions,FBIH,7943
2003,BAM,total_millions,FBIH,8268
2004,BAM,total_millions,FBIH,8897
2005,BAM,total_millions,FBIH,11506
2006,BAM,total_millions,FBIH,13036
2007,BAM,total_millions,FBIH,14629
2008,BAM,total_millions,FBIH,16426
2009,BAM,total_millions,FBIH,15987
2010,BAM,total_millions,FBIH,16461
2011,BAM,total_millions,FBIH,16927
2012,BAM,total_millions,FBIH,17013
2013,BAM,total_millions,FBIH,17379
2014,BAM,total_millions,FBIH,17827
2015,BAM,total_millions,FBIH,18688
2016,BAM,total_millions,FBIH,19540
2017,BAM,total_millions,FBIH,20540
2018,BAM,total_millions,FBIH,21984
2019,BAM,total_millions,FBIH,23179
1997,BAM,total_millions,RS,1809
1998,BAM,total_millions,RS,2044
1999,BAM,total_millions,RS,2462
2000,BAM,total_millions,RS,2734
2001,BAM,total_millions,RS,2993
2002,BAM,total_millions,RS,3417
2003,BAM,total_millions,RS,3717
2004,BAM,total_millions,RS,4226
2005,BAM,total_millions,RS,5695
2006,BAM,total_millions,RS,6550
2007,BAM,total_millions,RS,7366
2008,BAM,total_millions,RS,8507
2009,BAM,total_millions,RS,8257
2010,BAM,total_millions,RS,8336
2011,BAM,total_millions,RS,8703
2012,BAM,total_millions,RS,8615
2013,BAM,total_millions,RS,8793
2014,BAM,total_millions,RS,8887
2015,BAM,total_millions,RS,9205
2016,BAM,total_millions,RS,9631
2017,BAM,total_millions,RS,10077
2018,BAM,total_millions,RS,10680
2019,BAM,total_millions,RS,11251
2000,BAM,total_millions,BD,154
2001,BAM,total_millions,BD,213
2002,BAM,total_millions,BD,291
2003,BAM,total_millions,BD,318
2004,BAM,total_millions,BD,374
2005,BAM,total_millions,BD,448
2006,BAM,total_millions,BD,470
2007,BAM,total_millions,BD,553
2008,BAM,total_millions,BD,586
2009,BAM,total_millions,BD,555
2010,BAM,total_millions,BD,568
2011,BAM,total_millions,BD,601
2012,BAM,total_millions,BD,595
2013,BAM,total_millions,BD,607
2014,BAM,total_millions,BD,644
2015,BAM,total_millions,BD,696
2016,BAM,total_millions,BD,734
2017,BAM,total_millions,BD,760
2018,BAM,total_millions,BD,781
2019,BAM,total_millions,BD,865
1997,EUR,total_millions,BiH,3424
1998,EUR,total_millions,BiH,3879
1999,EUR,total_millions,BiH,4399
2000,EUR,total_millions,BiH,4914
2001,EUR,total_millions,BiH,5358
2002,EUR,total_millions,BiH,5957
2003,EUR,total_millions,BiH,6291
2004,EUR,total_millions,BiH,6901
2005,EUR,total_millions,BiH,9025
2006,EUR,total_millions,BiH,10255
2007,EUR,total_millions,BiH,11529
2008,EUR,total_millions,BiH,13048
2009,EUR,total_millions,BiH,12679
2010,EUR,total_millions,BiH,12969
2011,EUR,total_millions,BiH,13412
2012,EUR,total_millions,BiH,13408
2013,EUR,total_millions,BiH,13692
2014,EUR,total_millions,BiH,13989
2015,EUR,total_millions,BiH,14618
2016,EUR,total_millions,BiH,15290
2017,EUR,total_millions,BiH,16043
2018,EUR,total_millions,BiH,17100
2019,EUR,total_millions,BiH,18047
1997,USD,total_millions,BiH,3894
1998,USD,total_millions,BiH,4343
1999,USD,total_millions,BiH,4691
2000,USD,total_millions,BiH,4536
2001,USD,total_millions,BiH,4795
2002,USD,total_millions,BiH,5610
2003,USD,total_millions,BiH,7097
2004,USD,total_millions,BiH,8567
2005,USD,total_millions,BiH,11221
2006,USD,total_millions,BiH,12865
2007,USD,total_millions,BiH,15773
2008,USD,total_millions,BiH,19093
2009,USD,total_millions,BiH,17628
2010,USD,total_millions,BiH,17174
2011,USD,total_millions,BiH,18655
2012,USD,total_millions,BiH,17222
2013,USD,total_millions,BiH,18173
2014,USD,total_millions,BiH,18566
2015,USD,total_millions,BiH,16220
2016,USD,total_millions,BiH,16914
2017,USD,total_millions,BiH,18079
2018,USD,total_millions,BiH,20177
2019,USD,total_millions,BiH,20201
