Year,Value,UNIT_MEASURE
NUMBER,88.2,BiH
NUMBER,93.3,BiH
NUMBER,56.3,BiH
NUMBER,79.02670112,BiH
NUMBER,87.68640057,BiH
NUMBER,88.77714489,BiH
NUMBER,88.09425949,BiH
NUMBER,104.7187469,BiH
NUMBER,112.9112414,BiH
NUMBER,92.50952588,BiH
NUMBER,68.443286,BiH
NUMBER,81.25172827,BiH
NUMBER,77.1592019,BiH
NUMBER,77.72197157,BiH
NUMBER,61.80307887,BiH
NUMBER,67.94940144,BiH
NUMBER,85.76838442,BiH
NUMBER,120.5366465,BiH
NUMBER,125.8020291,BiH
NUMBER,148.0451682,BiH
NUMBER,144.0755243,BiH
NUMBER,150.513055,BiH
NUMBER,143.9397872,BiH
NUMBER,151.3345686,BiH
NUMBER,155.2408217,BiH
NUMBER,147.2140144,BiH
NUMBER,25.7282875,FBIH
NUMBER,68.36436087,FBIH
NUMBER,77.94383754,FBIH
NUMBER,84.07420371,FBIH
NUMBER,84.92874622,FBIH
NUMBER,100.7994984,FBIH
NUMBER,110.4818062,FBIH
NUMBER,89.60464051,FBIH
NUMBER,62.57758306,FBIH
NUMBER,70.92511013,FBIH
NUMBER,71.70304334,FBIH
NUMBER,69.62452728,FBIH
NUMBER,62.91501777,FBIH
NUMBER,58.88807608,FBIH
NUMBER,76.53218355,FBIH
NUMBER,96.98943522,FBIH
NUMBER,97.51243781,FBIH
NUMBER,119.8488709,FBIH
NUMBER,110.2487064,FBIH
NUMBER,115.7878508,FBIH
NUMBER,112.9788898,FBIH
NUMBER,132.7535786,FBIH
NUMBER,139.5758365,FBIH
NUMBER,136.3932822,FBIH
NUMBER,95.07911163,RS
NUMBER,102.1430559,RS
NUMBER,93.50057013,RS
NUMBER,92.64590421,RS
NUMBER,115.6149882,RS
NUMBER,117.2404258,RS
NUMBER,109.9128379,RS
NUMBER,89.17821644,RS
NUMBER,105.8737151,RS
NUMBER,76.67638484,RS
NUMBER,84.026505,RS
NUMBER,49.52351195,RS
NUMBER,74.21301582,RS
NUMBER,89.64799723,RS
NUMBER,152.7059635,RS
NUMBER,164.851671,RS
NUMBER,192.427291,RS
NUMBER,189.9364589,RS
NUMBER,193.8931298,RS
NUMBER,184.2531008,RS
NUMBER,165.4350017,RS
NUMBER,161.4146832,RS
NUMBER,158.0212985,RS
NUMBER,90.0621118,BD
NUMBER,122.1374046,BD
NUMBER,122.7621483,BD
NUMBER,127.0553064,BD
NUMBER,135.2154532,BD
NUMBER,132.0224719,BD
NUMBER,120.5882353,BD
NUMBER,207.4626866,BD
NUMBER,249.1909385,BD
NUMBER,324.6329527,BD
NUMBER,335.7041252,BD
NUMBER,307.073955,BD
NUMBER,378.5822021,BD
NUMBER,464.1791045,BD
NUMBER,442.5727412,BD
NUMBER,410.8635097,BD
NUMBER,471.5189873,BD
NUMBER,312.1869783,BD
