Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
0-14,0-14,0-14,0-14,0-14,0-14,24,4
0-15,0-15,0-15,0-15,0-15,0-15,1,1
0-18,0-18,0-18,0-18,0-18,0-18,6,1
0-4,0-4,0-4,0-4,0-4,0-4,434,3
0,0,0,0,0,0,12,2
1,1,1,1,1,1,13,3
10-14,10-14,10-14,10-14,10-14,10-14,438,3
10,10,10,10,10,10,12,2
100-104,100-104,100-104,100-104,100-104,100-104,12,2
100+,100+,100+,100+,100+,100+,12,2
100,100,100,100,100,100,12,2
101,101,101,101,101,101,12,2
102,102,102,102,102,102,12,2
103,103,103,103,103,103,12,2
104,104,104,104,104,104,12,2
105-109,105-109,105-109,105-109,105-109,105-109,12,2
105,105,105,105,105,105,12,2
106,106,106,106,106,106,12,2
107,107,107,107,107,107,12,2
108,108,108,108,108,108,12,2
109,109,109,109,109,109,12,2
11,11,11,11,11,11,12,2
110-114,110-114,110-114,110-114,110-114,110-114,12,2
110,110,110,110,110,110,12,2
111,111,111,111,111,111,12,2
112,112,112,112,112,112,12,2
113,113,113,113,113,113,12,2
114,114,114,114,114,114,12,2
115-119,115-119,115-119,115-119,115-119,115-119,6,1
115-120,115-120,115-120,115-120,115-120,115-120,6,1
115,115,115,115,115,115,12,2
116,116,116,116,116,116,12,2
117,117,117,117,117,117,12,2
118,118,118,118,118,118,12,2
119,119,119,119,119,119,12,2
12,12,12,12,12,12,12,2
120+,120+,120+,120+,120+,120+,12,2
120,120,120,120,120,120,6,1
13 - 14,13 - 14,13 - 14,13 - 14,13 - 14,13 - 14,1,1
13,13,13,13,13,13,12,2
14,14,14,14,14,14,12,2
15-19,15-19,15-19,15-19,15-19,15-19,451,6
15 - 19,15 - 19,15 - 19,15 - 19,15 - 19,15 - 19,1,1
15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,9,3
15-29,15-29,15-29,15-29,15-29,15-29,12,2
15-49,15-49,15-49,15-49,15-49,15-49,12,2
15-64,15-64,15-64,15-64,15-64,15-64,12,2
15 - 64,15 - 64,15 - 64,15 - 64,15 - 64,15 - 64,9,3
15+,15+,15+,15+,15+,15+,10,4
15,15,15,15,15,15,12,2
16,16,16,16,16,16,12,2
17,17,17,17,17,17,12,2
18-24,18-24,18-24,18-24,18-24,18-24,1,1
18,18,18,18,18,18,12,2
19,19,19,19,19,19,12,2
2,2,2,2,2,2,13,3
20-24,20-24,20-24,20-24,20-24,20-24,439,4
20-29,20-29,20-29,20-29,20-29,20-29,12,2
20,20,20,20,20,20,12,2
21,21,21,21,21,21,12,2
22,22,22,22,22,22,12,2
23,23,23,23,23,23,12,2
24,24,24,24,24,24,12,2
25-29,25-29,25-29,25-29,25-29,25-29,439,4
25-34,25-34,25-34,25-34,25-34,25-34,1,1
25 - 49,25 - 49,25 - 49,25 - 49,25 - 49,25 - 49,9,3
25,25,25,25,25,25,12,2
26,26,26,26,26,26,12,2
27,27,27,27,27,27,12,2
28,28,28,28,28,28,12,2
29,29,29,29,29,29,12,2
3,3,3,3,3,3,12,2
30-24,30-24,30-24,30-24,30-24,30-24,426,1
30-34,30-34,30-34,30-34,30-34,30-34,13,3
30-49,30-49,30-49,30-49,30-49,30-49,12,2
30,30,30,30,30,30,12,2
31,31,31,31,31,31,12,2
32,32,32,32,32,32,12,2
33,33,33,33,33,33,12,2
34,34,34,34,34,34,12,2
35-39,35-39,35-39,35-39,35-39,35-39,439,4
35-44,35-44,35-44,35-44,35-44,35-44,1,1
35,35,35,35,35,35,12,2
36,36,36,36,36,36,12,2
37,37,37,37,37,37,12,2
38,38,38,38,38,38,12,2
39,39,39,39,39,39,12,2
4,4,4,4,4,4,12,2
40-44,40-44,40-44,40-44,40-44,40-44,439,4
40,40,40,40,40,40,12,2
41,41,41,41,41,41,12,2
42,42,42,42,42,42,12,2
43,43,43,43,43,43,12,2
44,44,44,44,44,44,12,2
45-49,45-49,45-49,45-49,45-49,45-49,439,4
45-54,45-54,45-54,45-54,45-54,45-54,1,1
45,45,45,45,45,45,12,2
46,46,46,46,46,46,12,2
47,47,47,47,47,47,12,2
48,48,48,48,48,48,12,2
49,49,49,49,49,49,12,2
5-9,5-9,5-9,5-9,5-9,5-9,438,3
5,5,5,5,5,5,12,2
50-54,50-54,50-54,50-54,50-54,50-54,438,3
50-59,50-59,50-59,50-59,50-59,50-59,12,2
50 - 64,50 - 64,50 - 64,50 - 64,50 - 64,50 - 64,9,3
50+,50+,50+,50+,50+,50+,1,1
50,50,50,50,50,50,12,2
51,51,51,51,51,51,12,2
52,52,52,52,52,52,12,2
53,53,53,53,53,53,12,2
54,54,54,54,54,54,12,2
55-59,55-59,55-59,55-59,55-59,55-59,438,3
55-64,55-64,55-64,55-64,55-64,55-64,1,1
55,55,55,55,55,55,12,2
56,56,56,56,56,56,12,2
57,57,57,57,57,57,12,2
58,58,58,58,58,58,12,2
59,59,59,59,59,59,12,2
6,6,6,6,6,6,12,2
60-64,60-64,60-64,60-64,60-64,60-64,450,5
60,60,60,60,60,60,12,2
61,61,61,61,61,61,12,2
62,62,62,62,62,62,12,2
63,63,63,63,63,63,12,2
64,64,64,64,64,64,12,2
65-69,65-69,65-69,65-69,65-69,65-69,438,3
65+,65+,65+,65+,65+,65+,34,8
65,65,65,65,65,65,12,2
66,66,66,66,66,66,12,2
67,67,67,67,67,67,12,2
68,68,68,68,68,68,12,2
69,69,69,69,69,69,12,2
7,7,7,7,7,7,12,2
70-74,70-74,70-74,70-74,70-74,70-74,438,3
70,70,70,70,70,70,12,2
71,71,71,71,71,71,12,2
72,72,72,72,72,72,12,2
73,73,73,73,73,73,12,2
74,74,74,74,74,74,12,2
75-79,75-79,75-79,75-79,75-79,75-79,438,3
75+,75+,75+,75+,75+,75+,12,2
75,75,75,75,75,75,12,2
76,76,76,76,76,76,12,2
77,77,77,77,77,77,12,2
78,78,78,78,78,78,12,2
79,79,79,79,79,79,12,2
8,8,8,8,8,8,12,2
80-84,80-84,80-84,80-84,80-84,80-84,438,3
80,80,80,80,80,80,12,2
81,81,81,81,81,81,12,2
82,82,82,82,82,82,12,2
83,83,83,83,83,83,12,2
84,84,84,84,84,84,12,2
85-89,85-89,85-89,85-89,85-89,85-89,12,2
85+,85+,85+,85+,85+,85+,438,3
85,85,85,85,85,85,12,2
86,86,86,86,86,86,12,2
87,87,87,87,87,87,12,2
88,88,88,88,88,88,12,2
89,89,89,89,89,89,12,2
