Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
1025,1025,1025,1025,1025,1,1
1031,1031,1031,1031,1031,1,1
1052,1052,1052,1052,1052,1,1
1098,1098,1098,1098,1098,1,1
1106,1106,1106,1106,1106,1,1
1143,1143,1143,1143,1143,1,1
1163,1163,1163,1163,1163,1,1
1174,1174,1174,1174,1174,1,1
1176,1176,1176,1176,1176,1,1
1180,1180,1180,1180,1180,1,1
1201,1201,1201,1201,1201,1,1
1221,1221,1221,1221,1221,1,1
1286,1286,1286,1286,1286,1,1
1321,1321,1321,1321,1321,1,1
1364,1364,1364,1364,1364,1,1
1369,1369,1369,1369,1369,1,1
139,139,139,139,139,1,1
1402,1402,1402,1402,1402,1,1
1424,1424,1424,1424,1424,1,1
1445,1445,1445,1445,1445,1,1
1502,1502,1502,1502,1502,1,1
1523,1523,1523,1523,1523,1,1
154,154,154,154,154,1,1
1659,1659,1659,1659,1659,1,1
1673,1673,1673,1673,1673,1,1
1676,1676,1676,1676,1676,1,1
1725,1725,1725,1725,1725,1,1
1763,1763,1763,1763,1763,1,1
1823,1823,1823,1823,1823,1,1
1826,1826,1826,1826,1826,1,1
1835,1835,1835,1835,1835,1,1
187,187,187,187,187,1,1
191,191,191,191,191,1,1
1918,1918,1918,1918,1918,1,1
1929,1929,1929,1929,1929,1,1
1964,1964,1964,1964,1964,1,1
199,199,199,199,199,1,1
1995,1995,1995,1995,1995,1,1
2126,2126,2126,2126,2126,1,1
2272,2272,2272,2272,2272,1,1
2294,2294,2294,2294,2294,1,1
2309,2309,2309,2309,2309,1,1
236,236,236,236,236,1,1
251,251,251,251,251,1,1
2609,2609,2609,2609,2609,1,1
2686,2686,2686,2686,2686,1,1
2773,2773,2773,2773,2773,1,1
2790,2790,2790,2790,2790,1,1
289,289,289,289,289,1,1
295,295,295,295,295,1,1
2963,2963,2963,2963,2963,1,1
298,298,298,298,298,1,1
3022,3022,3022,3022,3022,1,1
3091,3091,3091,3091,3091,1,1
311,311,311,311,311,1,1
317,317,317,317,317,1,1
378,378,378,378,378,1,1
455,455,455,455,455,1,1
517,517,517,517,517,1,1
526,526,526,526,526,1,1
58,58,58,58,58,1,1
596,596,596,596,596,1,1
637,637,637,637,637,1,1
655,655,655,655,655,1,1
708,708,708,708,708,1,1
721,721,721,721,721,1,1
734,734,734,734,734,1,1
738,738,738,738,738,1,1
744,744,744,744,744,1,1
805,805,805,805,805,1,1
80,80,80,80,80,1,1
82,82,82,82,82,1,1
830,830,830,830,830,1,1
848,848,848,848,848,1,1
857,857,857,857,857,1,1
85,85,85,85,85,1,1
878,878,878,878,878,1,1
886,886,886,886,886,1,1
91,91,91,91,91,1,1
920,920,920,920,920,1,1
933,933,933,933,933,1,1
938,938,938,938,938,1,1
94,94,94,94,94,1,1
963,963,963,963,963,1,1
966,966,966,966,966,1,1
96,96,96,96,96,1,1
985,985,985,985,985,1,1
994,994,994,994,994,1,1
BD,BD,Brčko Distrikt BiH,Брчко Дистрикт БиХ,Brčko Distrikt BiH,417,22
BiH,BiH,BiH,BiH,BiH,136,23
FBIH,FBIH,Federacija BiH,Федерација БиХ,Federacija BiH,447,20
FBiH,FBiH,FBiH,FBiH,FBiH,29,3
RS,RS,Republika Srpska,Република Српска,Republika Srpska,471,23
