Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Albanian,Albanian,Albanian,Albanian,Albanian,3,1
Bosniak,Bosniak,Bosniak,Bosniak,Bosniak,3,1
Bosnian,Bosnian,Bosnian,Bosnian,Bosnian,3,1
Bosnian_and_Herzegovinian,Bosnian and Herzegovinian,Bosnian_and_Herzegovinian,Bosnian_and_Herzegovinian,Bosnian_and_Herzegovinian,3,1
Croat ,Croat ,Croat ,Croat ,Croat ,3,1
Macedonian ,Macedonian ,Macedonian ,Macedonian ,Macedonian ,3,1
Montenegrin,Montenegrin,Montenegrin,Montenegrin,Montenegrin,3,1
Muslim,Muslim,Muslim,Muslim,Muslim,3,1
Orthodox,Orthodox,Orthodox,Orthodox,Orthodox,3,1
Others,Others,Others,Others,Others,3,1
Romani,Romani,Romani,Romani,Romani,3,1
Serb,Serb,Serb,Serb,Serb,3,1
Slovenian,Slovenian,Slovenian,Slovenian,Slovenian,3,1
Turk,Turk,Turk,Turk,Turk,3,1
Ukrainian,Ukrainian,Ukrainian,Ukrainian,Ukrainian,3,1
Undeclared,Undeclared,Undeclared,Undeclared,Undeclared,3,1
Unknown,Unknown,Unknown,Unknown,Unknown,3,1
Yugoslav,Yugoslav,Yugoslav,Yugoslav,Yugoslav,3,1
