Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),7,1
women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),4,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_18-24_years_of_age,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_18-24_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_18-24_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_18-24_years_of_age,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_25-34_years_of_age,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_25-34_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_25-34_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_25-34_years_of_age,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_35-44_years_of_age,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_35-44_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_35-44_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_35-44_years_of_age,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_45-54_years_of_age,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_45-54_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_45-54_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_45-54_years_of_age,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_55-64_years_of_age,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_55-64_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_55-64_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_55-64_years_of_age,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_65+_years_of_age,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_65+_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_65+_years_of_age,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_65+_years_of_age,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_rural_areas,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_rural_areas,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_rural_areas,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_rural_areas,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_urban_areas,,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_urban_areas,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_urban_areas,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_urban_areas,3,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),4,1
women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),4,1
women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),,women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),4,1
women_who_have_experienced_economic_violence_after_the_age_of_15_(past_12_months),,women_who_have_experienced_economic_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_economic_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_economic_violence_after_the_age_of_15_(past_12_months),3,1
women_who_have_experienced_physical_violence_after_the_age_of_15_(ever),,women_who_have_experienced_physical_violence_after_the_age_of_15_(ever),women_who_have_experienced_physical_violence_after_the_age_of_15_(ever),women_who_have_experienced_physical_violence_after_the_age_of_15_(ever),3,1
women_who_have_experienced_physical_violence_after_the_age_of_15_(past_12_months),,women_who_have_experienced_physical_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_physical_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_physical_violence_after_the_age_of_15_(past_12_months),3,1
women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),7,1
women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),3,1
women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),,women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),6,1
women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),4,1
women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(past_12_months),,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(past_12_months),women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(past_12_months),women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(past_12_months),3,1
women_who_have_experienced_physical_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),,women_who_have_experienced_physical_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),women_who_have_experienced_physical_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),women_who_have_experienced_physical_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),3,1
women_who_have_experienced_psychological_violence_after_the_age_of_15_(ever),,women_who_have_experienced_psychological_violence_after_the_age_of_15_(ever),women_who_have_experienced_psychological_violence_after_the_age_of_15_(ever),women_who_have_experienced_psychological_violence_after_the_age_of_15_(ever),3,1
women_who_have_experienced_psychological_violence_after_the_age_of_15_(past_12_months),,women_who_have_experienced_psychological_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_psychological_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_psychological_violence_after_the_age_of_15_(past_12_months),3,1
women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),7,1
women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),3,1
women_who_have_experienced_psychological_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),,women_who_have_experienced_psychological_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),women_who_have_experienced_psychological_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),women_who_have_experienced_psychological_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),3,1
women_who_have_experienced_psychological_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),,women_who_have_experienced_psychological_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),women_who_have_experienced_psychological_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),women_who_have_experienced_psychological_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),3,1
women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),4,1
women_who_have_experienced_sexual_harassment_after_the_age_of_15_(past_12_months),,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(past_12_months),women_who_have_experienced_sexual_harassment_after_the_age_of_15_(past_12_months),women_who_have_experienced_sexual_harassment_after_the_age_of_15_(past_12_months),3,1
women_who_have_experienced_sexual_violence_after_the_age_of_15_(ever),,women_who_have_experienced_sexual_violence_after_the_age_of_15_(ever),women_who_have_experienced_sexual_violence_after_the_age_of_15_(ever),women_who_have_experienced_sexual_violence_after_the_age_of_15_(ever),3,1
women_who_have_experienced_sexual_violence_after_the_age_of_15_(past_12_months),,women_who_have_experienced_sexual_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_sexual_violence_after_the_age_of_15_(past_12_months),women_who_have_experienced_sexual_violence_after_the_age_of_15_(past_12_months),3,1
women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),7,1
