Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
female_population,female_population,female_population,female_population,female_population,3,1
male_population,male_population,male_population,male_population,male_population,3,1
number_of_beds_in_hospitals_per_100000_population,number_of_beds_in_hospitals_per_100000_population,number_of_beds_in_hospitals_per_100000_population,number_of_beds_in_hospitals_per_100000_population,number_of_beds_in_hospitals_per_100000_population,3,1
number_of_beds_in_hospitals,number_of_beds_in_hospitals,number_of_beds_in_hospitals,number_of_beds_in_hospitals,number_of_beds_in_hospitals,4,1
number_of_caesarean_sections_per_1000_live_births,number_of_caesarean_sections_per_1000_live_births,number_of_caesarean_sections_per_1000_live_births,number_of_caesarean_sections_per_1000_live_births,number_of_caesarean_sections_per_1000_live_births,2,1
number_of_caesarean_sections,number_of_caesarean_sections,number_of_caesarean_sections,number_of_caesarean_sections,number_of_caesarean_sections,2,1
number_of_general_practitioners,number_of_general_practitioners,number_of_general_practitioners,number_of_general_practitioners,number_of_general_practitioners,4,1
number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,3,1
number_of_medical_doctors_providing_health_care_in_public_institutions,number_of_medical_doctors_providing_health_care_in_public_institutions,number_of_medical_doctors_providing_health_care_in_public_institutions,number_of_medical_doctors_providing_health_care_in_public_institutions,number_of_medical_doctors_providing_health_care_in_public_institutions,4,1
number_of_midwives,number_of_midwives,number_of_midwives,number_of_midwives,number_of_midwives,4,1
number_of_new_cases_of_AIDS_clinically_diagnosed,number_of_new_cases_of_AIDS_clinically_diagnosed,number_of_new_cases_of_AIDS_clinically_diagnosed,number_of_new_cases_of_AIDS_clinically_diagnosed,number_of_new_cases_of_AIDS_clinically_diagnosed,3,1
number_of_new_cases_of_cervical_cancer_per_100000_female_population,number_of_new_cases_of_cervical_cancer_per_100000_female_population,number_of_new_cases_of_cervical_cancer_per_100000_female_population,number_of_new_cases_of_cervical_cancer_per_100000_female_population,number_of_new_cases_of_cervical_cancer_per_100000_female_population,2,1
number_of_new_cases_of_cervical_cancer,number_of_new_cases_of_cervical_cancer,number_of_new_cases_of_cervical_cancer,number_of_new_cases_of_cervical_cancer,number_of_new_cases_of_cervical_cancer,3,1
number_of_new_cases_of_female_breast_cancer_per_100000,number_of_new_cases_of_female_breast_cancer_per_100000,number_of_new_cases_of_female_breast_cancer_per_100000,number_of_new_cases_of_female_breast_cancer_per_100000,number_of_new_cases_of_female_breast_cancer_per_100000,2,1
number_of_new_cases_of_female_breast_cancer,number_of_new_cases_of_female_breast_cancer,number_of_new_cases_of_female_breast_cancer,number_of_new_cases_of_female_breast_cancer,number_of_new_cases_of_female_breast_cancer,3,1
number_of_new_cases_of_gonorrhea,number_of_new_cases_of_gonorrhea,number_of_new_cases_of_gonorrhea,number_of_new_cases_of_gonorrhea,number_of_new_cases_of_gonorrhea,3,1
number_of_new_cases_of_HIV_per_100000_population,number_of_new_cases_of_HIV_per_100000_population,number_of_new_cases_of_HIV_per_100000_population,number_of_new_cases_of_HIV_per_100000_population,number_of_new_cases_of_HIV_per_100000_population,2,1
number_of_new_cases_of_HIV,number_of_new_cases_of_HIV,number_of_new_cases_of_HIV,number_of_new_cases_of_HIV,number_of_new_cases_of_HIV,3,1
number_of_new_cases_of_syphilis,number_of_new_cases_of_syphilis,number_of_new_cases_of_syphilis,number_of_new_cases_of_syphilis,number_of_new_cases_of_syphilis,3,1
number_of_population_per_general_practitioner,number_of_population_per_general_practitioner,number_of_population_per_general_practitioner,number_of_population_per_general_practitioner,number_of_population_per_general_practitioner,3,1
total_population_(as_per_Public_Health_Institute_or_NSO_reports),total_population_(as_per_Public_Health_Institute_or_NSO_reports),total_population_(as_per_Public_Health_Institute_or_NSO_reports),total_population_(as_per_Public_Health_Institute_or_NSO_reports),total_population_(as_per_Public_Health_Institute_or_NSO_reports),3,1
