Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
Albanian,Albanian,Albanian,Albanian,Albanian,Albanian,3,1
Bosniak,Bosniak,Bosniak,Bosniak,Bosniak,Bosniak,3,1
Bosnian ,Bosnian ,Bosnian ,Bosnian ,Bosnian ,Bosnian ,3,1
Bosnian_Croatian,Bosnian_Croatian,Bosnian_Croatian,Bosnian_Croatian,Bosnian_Croatian,Bosnian_Croatian,3,1
Bosnian_Croatian_Serbian,Bosnian_Croatian_Serbian,Bosnian_Croatian_Serbian,Bosnian_Croatian_Serbian,Bosnian_Croatian_Serbian,Bosnian_Croatian_Serbian,3,1
Bosnian_Herzegovinian,Bosnian_Herzegovinian,Bosnian_Herzegovinian,Bosnian_Herzegovinian,Bosnian_Herzegovinian,Bosnian_Herzegovinian,3,1
Bosnian_Serbian_Croatian,Bosnian_Serbian_Croatian,Bosnian_Serbian_Croatian,Bosnian_Serbian_Croatian,Bosnian_Serbian_Croatian,Bosnian_Serbian_Croatian,3,1
Croatian,Croatian,Croatian,Croatian,Croatian,Croatian,3,1
Croato_Serbian,Croato_Serbian,Croato_Serbian,Croato_Serbian,Croato_Serbian,Croato_Serbian,3,1
German,German,German,German,German,German,3,1
Other,Other,Other,Other,Other,Other,3,1
Romani,Romani,Romani,Romani,Romani,Romani,3,1
Serbian,Serbian,Serbian,Serbian,Serbian,Serbian,3,1
Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,2,1
Serbo_Croatian,Serbo_Croatian,Serbo_Croatian,Serbo_Croatian,Serbo_Croatian,Serbo_Croatian,1,1
Turkish,Turkish,Turkish,Turkish,Turkish,Turkish,3,1
Ukranian,Ukranian,Ukranian,Ukranian,Ukranian,Ukranian,3,1
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,1
