Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Banja Luka,Banja Luka,Banja Luka,Banja Luka,Banja Luka,19,1
Bihać,Bihać,Bihać,Bihać,Bihać,19,1
Bijeljina,Bijeljina,Bijeljina,Bijeljina,Bijeljina,19,1
Brčko,Brčko,Brčko,Brčko,Brčko,19,1
Bugojno,Bugojno,Bugojno,Bugojno,Bugojno,19,1
Cazin,Cazin,Cazin,Cazin,Cazin,19,1
Centar Sarajevo,Centar Sarajevo,Centar Sarajevo,Centar Sarajevo,Centar Sarajevo,19,1
Doboj,Doboj,Doboj,Doboj,Doboj,19,1
Gračanica,Gračanica,Gračanica,Gračanica,Gračanica,19,1
Gradačac,Gradačac,Gradačac,Gradačac,Gradačac,19,1
Gradiška,Gradiška,Gradiška,Gradiška,Gradiška,19,1
Ilidža,Ilidža,Ilidža,Ilidža,Ilidža,19,1
Kakanj,Kakanj,Kakanj,Kakanj,Kakanj,19,1
Kalesija,Kalesija,Kalesija,Kalesija,Kalesija,19,1
Laktaši,Laktaši,Laktaši,Laktaši,Laktaši,19,1
Livno,Livno,Livno,Livno,Livno,19,1
Lukavac,Lukavac,Lukavac,Lukavac,Lukavac,19,1
Mostar,Mostar,Mostar,Mostar,Mostar,19,1
Novi Grad Sarajevo,Novi Grad Sarajevo,Novi Grad Sarajevo,Novi Grad Sarajevo,Novi Grad Sarajevo,19,1
Novo Sarajevo,Novo Sarajevo,Novo Sarajevo,Novo Sarajevo,Novo Sarajevo,19,1
Prijedor,Prijedor,Prijedor,Prijedor,Prijedor,19,1
Prnjavor,Prnjavor,Prnjavor,Prnjavor,Prnjavor,19,1
Sanski Most,Sanski Most,Sanski Most,Sanski Most,Sanski Most,19,1
Srebrenik,Srebrenik,Srebrenik,Srebrenik,Srebrenik,19,1
Stari Grad Sarajevo,Stari Grad Sarajevo,Stari Grad Sarajevo,Stari Grad Sarajevo,Stari Grad Sarajevo,19,1
Tešanj,Tešanj,Tešanj,Tešanj,Tešanj,19,1
Teslić,Teslić,Teslić,Teslić,Teslić,19,1
Tomislavgrad,Tomislavgrad,Tomislavgrad,Tomislavgrad,Tomislavgrad,19,1
Travnik,Travnik,Travnik,Travnik,Travnik,19,1
Tuzla,Tuzla,Tuzla,Tuzla,Tuzla,19,1
Velika Kladuša,Velika Kladuša,Velika Kladuša,Velika Kladuša,Velika Kladuša,19,1
Visoko,Visoko,Visoko,Visoko,Visoko,19,1
Zavidovići,Zavidovići,Zavidovići,Zavidovići,Zavidovići,19,1
Zenica,Zenica,Zenica,Zenica,Zenica,19,1
Žepče,Žepče,Žepče,Žepče,Žepče,19,1
Živinice,Živinice,Živinice,Živinice,Živinice,19,1
Zvornik,Zvornik,Zvornik,Zvornik,Zvornik,19,1
