Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
0-14,0-14,0-14,0-14,0-14,2,1
0-18,0-18,0-18,0-18,0-18,2,1
0-4,0-4,0-4,0-4,0-4,10,2
10-14,10-14,10-14,10-14,10-14,10,2
100-104,100-104,100-104,100-104,100-104,10,2
100+,100+,100+,100+,100+,2,1
105-109,105-109,105-109,105-109,105-109,10,2
110-114,110-114,110-114,110-114,110-114,10,2
115-119,115-119,115-119,115-119,115-119,2,1
115-120,115-120,115-120,115-120,115-120,8,1
120+,120+,120+,120+,120+,2,1
15-19,15-19,15-19,15-19,15-19,10,2
15-29,15-29,15-29,15-29,15-29,2,1
15-49,15-49,15-49,15-49,15-49,2,1
15-64,15-64,15-64,15-64,15-64,2,1
20-24,20-24,20-24,20-24,20-24,10,2
25-29,25-29,25-29,25-29,25-29,10,2
30-34,30-34,30-34,30-34,30-34,10,2
35-39,35-39,35-39,35-39,35-39,10,2
40-44,40-44,40-44,40-44,40-44,10,2
45-49,45-49,45-49,45-49,45-49,10,2
5-9,5-9,5-9,5-9,5-9,10,2
50-54,50-54,50-54,50-54,50-54,10,2
55-59,55-59,55-59,55-59,55-59,10,2
60-64,60-64,60-64,60-64,60-64,10,2
65-69,65-69,65-69,65-69,65-69,10,2
65+,65+,65+,65+,65+,2,1
70-74,70-74,70-74,70-74,70-74,10,2
75-79,75-79,75-79,75-79,75-79,10,2
75+,75+,75+,75+,75+,2,1
80-84,80-84,80-84,80-84,80-84,10,2
85-89,85-89,85-89,85-89,85-89,10,2
85+,85+,85+,85+,85+,2,1
90-94,90-94,90-94,90-94,90-94,10,2
95-99,95-99,95-99,95-99,95-99,10,2
