Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
0-14,0-14,0-14,0-14,0-14,24,1
0-18,0-18,0-18,0-18,0-18,24,1
0-4,0-4,0-4,0-4,0-4,28,2
10-14,10-14,10-14,10-14,10-14,28,2
100-104,100-104,100-104,100-104,100-104,24,1
100+,100+,100+,100+,100+,24,1
105-109,105-109,105-109,105-109,105-109,24,1
110-114,110-114,110-114,110-114,110-114,24,1
115-119,115-119,115-119,115-119,115-119,24,1
120+,120+,120+,120+,120+,24,1
15-19,15-19,15-19,15-19,15-19,28,2
15-29,15-29,15-29,15-29,15-29,24,1
15-49,15-49,15-49,15-49,15-49,24,1
15-64,15-64,15-64,15-64,15-64,24,1
20-24,20-24,20-24,20-24,20-24,28,2
25-29,25-29,25-29,25-29,25-29,28,2
30-34,30-34,30-34,30-34,30-34,28,2
35-39,35-39,35-39,35-39,35-39,28,2
40-44,40-44,40-44,40-44,40-44,28,2
45-49,45-49,45-49,45-49,45-49,28,2
5-9,5-9,5-9,5-9,5-9,28,2
50-54,50-54,50-54,50-54,50-54,28,2
55-59,55-59,55-59,55-59,55-59,28,2
60-64,60-64,60-64,60-64,60-64,28,2
65-69,65-69,65-69,65-69,65-69,28,2
65+,65+,65+,65+,65+,24,1
70-74,70-74,70-74,70-74,70-74,28,2
75-79,75-79,75-79,75-79,75-79,24,1
75+,75+,75+,75+,75+,28,2
80-84,80-84,80-84,80-84,80-84,24,1
85-89,85-89,85-89,85-89,85-89,24,1
85+,85+,85+,85+,85+,24,1
90-94,90-94,90-94,90-94,90-94,24,1
95-99,95-99,95-99,95-99,95-99,24,1
unknown,Unknown,Nepoznato,Непознато,Nepoznato,4,1
