Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
2011/2012,2011/2012,2011/2012,2011/2012,2011/2012,2011/2012,33,5
2012/2013,2012/2013,2012/2013,2012/2013,2012/2013,2012/2013,33,5
2013/2014,2013/2014,2013/2014,2013/2014,2013/2014,2013/2014,33,5
2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,33,5
2015/2016,2015/2016,2015/2016,2015/2016,2015/2016,2015/2016,33,5
2016/2017,2016/2017,2016/2017,2016/2017,2016/2017,2016/2017,33,5
2017/2018,2017/2018,2017/2018,2017/2018,2017/2018,2017/2018,33,5
2018/2019,2018/2019,2018/2019,2018/2019,2018/2019,2018/2019,33,5
2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,33,5
2020/2021,2020/2021,2020/2021,2020/2021,2020/2021,2020/2021,33,5
