Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
artesian_well,Artesian well,artesian_well,artesian_well,artesian_well,2,1
bottled_water_from_shop,Bottled water from shop,bottled_water_from_shop,bottled_water_from_shop,bottled_water_from_shop,2,1
closed_septic_tank_with_overflow,Closed septic tank with overflow,closed_septic_tank_with_overflow,closed_septic_tank_with_overflow,closed_septic_tank_with_overflow,2,1
closed_septic_tank,Closed septic tank,closed_septic_tank,closed_septic_tank,closed_septic_tank,2,1
container_(water_tank)_,Container (water tank),container_(water_tank)_,container_(water_tank)_,container_(water_tank)_,2,1
drilled_(pipe)_well,Drilled (pipe) well,drilled_(pipe)_well,drilled_(pipe)_well,drilled_(pipe)_well,2,1
drinking_fountain_connected_to_community_scheme,Drinking fountain connected to community scheme,drinking_fountain_connected_to_community_scheme,drinking_fountain_connected_to_community_scheme,drinking_fountain_connected_to_community_scheme,2,1
drinking_fountain_connected_to_own_pump_water_scheme,Drinking fountain connected to own pump water scheme,drinking_fountain_connected_to_own_pump_water_scheme,drinking_fountain_connected_to_own_pump_water_scheme,drinking_fountain_connected_to_own_pump_water_scheme,2,1
dug_well,Dug well,dug_well,dug_well,dug_well,2,1
flush_toilet,flush_toilet,flush_toilet,flush_toilet,flush_toilet,2,1
no_flush_toilet,no_flush_toilet,no_flush_toilet,no_flush_toilet,no_flush_toilet,2,1
no_sewage,No sewage,no_sewage,no_sewage,no_sewage,2,1
no_toilet,no_toilet,no_toilet,no_toilet,no_toilet,2,1
other_arrangements,Other arrangements,other_arrangements,other_arrangements,other_arrangements,2,1
other,Other,other,other,other,2,1
piped_water_in_the_dwelling_unit_connected_to_community_scheme,Piped water in the dwelling unit connected to community scheme,piped_water_in_the_dwelling_unit_connected_to_community_scheme,piped_water_in_the_dwelling_unit_connected_to_community_scheme,piped_water_in_the_dwelling_unit_connected_to_community_scheme,2,1
piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,Piped water in the dwelling unit connected to own pump water system,piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,piped_water_in_the_dwelling_unit_connected_to_own_pump_water_system,2,1
piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,Piped water in the dwelling unit connected to rural or local water supply system,piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,piped_water_in_the_dwelling_unit_connected_to_rural_or_local_water_supply_system,2,1
public_sewage,Public sewage,public_sewage,public_sewage,public_sewage,2,1
regulated_water_spring,Regulated water spring,regulated_water_spring,regulated_water_spring,regulated_water_spring,2,1
street_drinking_fountain,Street drinking fountain,street_drinking_fountain,street_drinking_fountain,street_drinking_fountain,2,1
total,Total,Ukupno,Укупно,Ukupno,2,1
